# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11027347320488
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     1.01%     0.02%  java             [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     0.98%     0.02%  java             [kernel.kallsyms]         [k] do_syscall_64
     0.96%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] grab_cache_page_write_begin
     0.96%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] pagecache_get_page
     0.96%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] __mark_inode_dirty
     0.94%     0.00%  java             [kernel.kallsyms]         [k] do_try_to_free_pages
     0.94%     0.00%  java             [kernel.kallsyms]         [k] shrink_node
     0.94%     0.00%  java             [kernel.kallsyms]         [k] try_to_free_pages
     0.94%     0.00%  java             [kernel.kallsyms]         [k] shrink_lruvec
     0.94%     0.00%  java             [kernel.kallsyms]         [k] evict_pages
     0.94%     0.34%  java             [kernel.kallsyms]         [k] _raw_spin_lock
     0.93%     0.92%  java             [kernel.kallsyms]         [k] clear_page_erms
     0.92%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_dirty_inode
     0.91%     0.68%  Sampler Reader   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     0.91%     0.07%  localfetcher#1   [kernel.kallsyms]         [k] add_to_page_cache_lru
     0.90%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages
     0.90%     0.90%  LocalJobRunner   libc.so.6                 [.] 0x00000000001b2eae
     0.90%     0.89%  LocalJobRunner   [kernel.kallsyms]         [k] sync_regs
     0.89%     0.61%  LocalJobRunner   [kernel.kallsyms]         [k] __add_to_page_cache_locked
     0.87%     0.00%  kswapd1          [kernel.kallsyms]         [k] kthread
     0.87%     0.00%  kswapd1          [kernel.kallsyms]         [k] ret_from_fork
     0.87%     0.00%  kswapd1          [kernel.kallsyms]         [k] kswapd
     0.87%     0.00%  kswapd1          [kernel.kallsyms]         [k] balance_pgdat
     0.86%     0.00%  java             [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     0.86%     0.29%  LocalJobRunner   [kernel.kallsyms]         [k] charge_memcg
     0.85%     0.00%  java             [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     0.83%     0.01%  java             [kernel.kallsyms]         [k] shrink_page_list
     0.80%     0.80%  java             [kernel.kallsyms]         [k] copy_page
     0.80%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_node
     0.79%     0.63%  pool-4-thread-1  [kernel.kallsyms]         [k] __add_to_page_cache_locked
     0.79%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] kthread
     0.79%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] ret_from_fork
     0.79%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] worker_thread
     0.79%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] process_one_work
     0.79%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] wb_workfn
     0.79%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] wb_writeback
     0.79%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] __writeback_inodes_wb
     0.79%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] __writeback_single_inode
     0.79%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] writeback_sb_inodes
     0.79%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] do_writepages
     0.78%     0.05%  kworker/u98:1-e  [kernel.kallsyms]         [k] ext4_writepages
     0.78%     0.76%  localfetcher#1   [kernel.kallsyms]         [k] clear_page_erms
     0.71%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] __x64_sys_read
     0.71%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ksys_read
     0.71%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] vfs_read
     0.71%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_file_read_iter
     0.71%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] generic_file_read_iter
     0.71%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] new_sync_read
     0.71%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] filemap_read
     0.70%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_lruvec
     0.70%     0.01%  java             [kernel.kallsyms]         [k] __remove_mapping
     0.69%     0.00%  kswapd1          [kernel.kallsyms]         [k] evict_pages
     0.68%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] asm_exc_page_fault
     0.68%     0.08%  LocalJobRunner   [kernel.kallsyms]         [k] lru_cache_add
     0.68%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] kthread
     0.68%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ret_from_fork
     0.68%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] worker_thread
     0.68%     0.01%  java             [kernel.kallsyms]         [k] __x64_sys_sched_yield
