# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8625147750795
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                     
# ........  ........  ...............  ..........................  ...........................................................................................................................................................................
#
     0.93%     0.02%  mariadbd         [kernel.kallsyms]           [k] schedule_hrtimeout_range_clock
     0.92%     0.06%  mariadbd         [kernel.kallsyms]           [k] blk_mq_submit_bio
     0.92%     0.02%  mariadbd         [kernel.kallsyms]           [k] __sys_recvfrom
     0.91%     0.01%  mariadbd         [kernel.kallsyms]           [k] blk_mq_end_request
     0.90%     0.60%  mariadbd         [kernel.kallsyms]           [k] __audit_syscall_exit
     0.89%     0.03%  swapper          [kernel.kallsyms]           [k] _nohz_idle_balance.constprop.0.isra.0
     0.89%     0.76%  mariadbd         [kernel.kallsyms]           [k] finish_task_switch.isra.0
     0.89%     0.01%  mariadbd         [kernel.kallsyms]           [k] bio_iov_iter_get_pages
     0.88%     0.03%  mariadbd         [kernel.kallsyms]           [k] __bio_iov_iter_get_pages
     0.87%     0.05%  swapper          [kernel.kallsyms]           [k] blk_update_request
     0.84%     0.00%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_pwrite64
     0.84%     0.00%  mariadbd         [kernel.kallsyms]           [k] vfs_write
     0.84%     0.00%  mariadbd         [kernel.kallsyms]           [k] new_sync_write
     0.83%     0.00%  mariadbd         [kernel.kallsyms]           [k] ext4_buffered_write_iter
     0.83%     0.03%  mariadbd         [kernel.kallsyms]           [k] ext4_iomap_begin
     0.83%     0.03%  mariadbd         [kernel.kallsyms]           [k] blk_update_request
     0.83%     0.83%  mariadbd         [kernel.kallsyms]           [k] available_idle_cpu
     0.80%     0.02%  swapper          [kernel.kallsyms]           [k] perf_event_task_tick
     0.79%     0.01%  mariadbd         [kernel.kallsyms]           [k] unix_stream_recvmsg
     0.79%     0.01%  mariadbd         [kernel.kallsyms]           [k] amd_pmu_disable_all
     0.79%     0.37%  swapper          [kernel.kallsyms]           [k] flush_smp_call_function_queue
     0.79%     0.10%  swapper          [kernel.kallsyms]           [k] perf_adjust_freq_unthr_context
     0.79%     0.01%  mariadbd         [kernel.kallsyms]           [k] generic_perform_write
     0.78%     0.08%  mariadbd         [kernel.kallsyms]           [k] unix_stream_read_generic
     0.78%     0.22%  mariadbd         [kernel.kallsyms]           [k] enqueue_entity
     0.78%     0.78%  swapper          [kernel.kallsyms]           [k] get_typical_interval
     0.76%     0.03%  mariadbd         [kernel.kallsyms]           [k] wake_affine
     0.75%     0.04%  mariadbd         [kernel.kallsyms]           [k] load_balance
     0.73%     0.20%  mariadbd         [kernel.kallsyms]           [k] switch_fpu_return
     0.72%     0.10%  mariadbd         [kernel.kallsyms]           [k] select_idle_cpu
     0.71%     0.01%  mariadbd         [kernel.kallsyms]           [k] sock_alloc_send_pskb
     0.71%     0.08%  swapper          [kernel.kallsyms]           [k] update_blocked_averages
     0.70%     0.18%  swapper          [kernel.kallsyms]           [k] tick_nohz_next_event
     0.69%     0.04%  mariadbd         [kernel.kallsyms]           [k] alloc_skb_with_frags
     0.67%     0.05%  mariadbd         [kernel.kallsyms]           [k] nvme_map_data
     0.67%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] __wake_up_common_lock
     0.67%     0.06%  swapper          [kernel.kallsyms]           [k] tick_nohz_stop_tick
     0.66%     0.02%  swapper          [kernel.kallsyms]           [k] amd_pmu_disable_all
     0.65%     0.05%  tclsh8.6         [kernel.kallsyms]           [k] __wake_up_common
     0.65%     0.04%  mariadbd         [kernel.kallsyms]           [k] __alloc_skb
     0.65%     0.61%  swapper          [kernel.kallsyms]           [k] _raw_spin_lock
     0.65%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] schedule_hrtimeout_range_clock
     0.64%     0.03%  mariadbd         [kernel.kallsyms]           [k] iomap_dio_bio_end_io
     0.64%     0.64%  swapper          [kernel.kallsyms]           [k] read_tsc
     0.64%     0.02%  mariadbd         [kernel.kallsyms]           [k] iov_iter_get_pages
     0.64%     0.19%  swapper          [kernel.kallsyms]           [k] set_next_entity
     0.64%     0.01%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_io_getevents
     0.63%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] sock_def_readable
     0.63%     0.09%  swapper          [kernel.kallsyms]           [k] clockevents_program_event
     0.62%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] schedule
     0.62%     0.01%  mariadbd         [kernel.kallsyms]           [k] do_io_getevents
     0.62%     0.51%  mariadbd         [kernel.kallsyms]           [k] ext4_es_lookup_extent
     0.61%     0.08%  swapper          [kernel.kallsyms]           [k] __hrtimer_start_range_ns
     0.61%     0.01%  mariadbd         [kernel.kallsyms]           [k] internal_get_user_pages_fast
     0.60%     0.04%  tclsh8.6         [kernel.kallsyms]           [k] pollwake
     0.60%     0.08%  tclsh8.6         [kernel.kallsyms]           [k] __schedule
     0.59%     0.03%  mariadbd         [kernel.kallsyms]           [k] lockless_pages_from_mm
     0.59%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] try_to_wake_up
     0.58%     0.02%  mariadbd         [kernel.kallsyms]           [k] read_events
     0.58%     0.02%  mariadbd         [kernel.kallsyms]           [k] find_busiest_group
     0.56%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] sock_alloc_send_pskb
     0.56%     0.04%  mariadbd         [kernel.kallsyms]           [k] update_sd_lb_stats.constprop.0
     0.54%     0.04%  tclsh8.6         [kernel.kallsyms]           [k] alloc_skb_with_frags
     0.53%     0.53%  mariadbd         [kernel.kallsyms]           [k] __restore_fpregs_from_fpstate
     0.53%     0.29%  mariadbd         [kernel.kallsyms]           [k] x86_pmu_disable_all
     0.53%     0.15%  mariadbd         [kernel.kallsyms]           [k] gup_pgd_range
     0.52%     0.07%  swapper          [kernel.kallsyms]           [k] tick_nohz_idle_enter
     0.51%     0.40%  mariadbd         [kernel.kallsyms]           [k] update_sg_lb_stats
     0.51%     0.51%  mariadbd         [kernel.kallsyms]           [k] update_cfs_group
     0.50%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] __alloc_skb
     0.50%     0.49%  mariadbd         [kernel.kallsyms]           [k] _raw_spin_lock_irqsave
     0.50%     0.50%  mariadbd         libpthread-2.28.so          [.] __pthread_mutex_lock
     0.50%     0.04%  swapper          [kernel.kallsyms]           [k] sched_clock_cpu
     0.50%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_dio_write_checks
     0.48%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_da_write_begin
     0.47%     0.02%  swapper          [kernel.kallsyms]           [k] iomap_dio_bio_end_io
     0.46%     0.42%  swapper          [kernel.kallsyms]           [k] switch_mm_irqs_off
     0.46%     0.10%  mariadbd         [kernel.kallsyms]           [k] task_tick_fair
     0.46%     0.46%  mariadbd         libpthread-2.28.so          [.] __lll_lock_wait
     0.45%     0.06%  swapper          [kernel.kallsyms]           [k] rebalance_domains
     0.45%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] consume_skb
     0.45%     0.45%  mariadbd         [kernel.kallsyms]           [k] cpuacct_charge
     0.45%     0.30%  mariadbd         [kernel.kallsyms]           [k] ktime_get
     0.44%     0.44%  swapper          [kernel.kallsyms]           [k] native_sched_clock
     0.44%     0.02%  swapper          [kernel.kallsyms]           [k] try_to_wake_up
     0.44%     0.01%  mariadbd         [kernel.kallsyms]           [k] __mark_inode_dirty
     0.44%     0.12%  mariadbd         [kernel.kallsyms]           [k] default_send_IPI_single_phys
     0.42%     0.09%  mariadbd         [kernel.kallsyms]           [k] __irq_exit_rcu
     0.42%     0.33%  swapper          [kernel.kallsyms]           [k] __hrtimer_next_event_base
     0.42%     0.42%  swapper          [kernel.kallsyms]           [k] __update_load_avg_cfs_rq
     0.42%     0.42%  swapper          [kernel.kallsyms]           [k] llist_reverse_order
     0.42%     0.04%  swapper          [kernel.kallsyms]           [k] hrtimer_next_event_without
     0.42%     0.11%  swapper          [kernel.kallsyms]           [k] finish_task_switch.isra.0
     0.42%     0.25%  swapper          [kernel.kallsyms]           [k] x86_pmu_disable_all
     0.42%     0.42%  mariadbd         [kernel.kallsyms]           [k] __switch_to
     0.41%     0.31%  swapper          [kernel.kallsyms]           [k] asm_sysvec_reschedule_ipi
     0.41%     0.19%  swapper          [kernel.kallsyms]           [k] __update_blocked_fair
     0.40%     0.06%  mariadbd         [kernel.kallsyms]           [k] select_idle_core
     0.40%     0.23%  mariadbd         [kernel.kallsyms]           [k] mark_wake_futex
     0.40%     0.03%  swapper          [kernel.kallsyms]           [k] quiet_vmstat
     0.39%     0.07%  swapper          [kernel.kallsyms]           [k] ttwu_do_wakeup
     0.39%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_dirty_inode
     0.39%     0.06%  swapper          [kernel.kallsyms]           [k] load_balance
     0.38%     0.38%  swapper          [kernel.kallsyms]           [k] _raw_spin_lock_irqsave
     0.38%     0.04%  mariadbd         [kernel.kallsyms]           [k] ttwu_do_wakeup
     0.38%     0.06%  mariadbd         [kernel.kallsyms]           [k] kmem_cache_alloc_node
     0.38%     0.12%  mariadbd         [kernel.kallsyms]           [k] set_task_cpu
     0.38%     0.10%  mariadbd         [kernel.kallsyms]           [k] wake_affine_weight
     0.37%     0.04%  mariadbd         [kernel.kallsyms]           [k] gup_pud_range.constprop.0
     0.37%     0.37%  mariadbd         [kernel.kallsyms]           [k] __update_load_avg_cfs_rq
     0.37%     0.11%  swapper          [kernel.kallsyms]           [k] need_update
     0.37%     0.01%  swapper          [kernel.kallsyms]           [k] irq_enter_rcu
     0.36%     0.36%  swapper          [kernel.kallsyms]           [k] __switch_to_asm
     0.36%     0.32%  swapper          [kernel.kallsyms]           [k] irqentry_enter
     0.36%     0.01%  mariadbd         [kernel.kallsyms]           [k] __smp_call_single_queue
     0.35%     0.35%  mariadbd         [kernel.kallsyms]           [k] copy_user_generic_string
     0.35%     0.05%  mariadbd         [kernel.kallsyms]           [k] exit_to_user_mode_loop
     0.35%     0.35%  mariadbd         [kernel.kallsyms]           [k] llist_add_batch
     0.35%     0.06%  swapper          [kernel.kallsyms]           [k] tick_irq_enter
     0.35%     0.07%  swapper          [kernel.kallsyms]           [k] __remove_hrtimer
     0.35%     0.02%  mariadbd         [kernel.kallsyms]           [k] nvme_pci_setup_prps
     0.34%     0.05%  mariadbd         [kernel.kallsyms]           [k] check_preempt_curr
     0.34%     0.34%  swapper          [kernel.kallsyms]           [k] __switch_to
     0.33%     0.33%  mariadbd         [kernel.kallsyms]           [k] save_fpregs_to_fpstate
     0.33%     0.01%  mariadbd         [kernel.kallsyms]           [k] consume_skb
     0.33%     0.10%  mariadbd         [kernel.kallsyms]           [k] gup_pmd_range.constprop.0
     0.33%     0.01%  mariadbd         [kernel.kallsyms]           [k] touch_atime
     0.33%     0.09%  swapper          [kernel.kallsyms]           [k] get_next_timer_interrupt
     0.33%     0.03%  mariadbd         [kernel.kallsyms]           [k] pick_next_task_idle
     0.33%     0.20%  mariadbd         [kernel.kallsyms]           [k] dma_pool_alloc
     0.32%     0.07%  swapper          [kernel.kallsyms]           [k] check_preempt_curr
     0.32%     0.03%  swapper          [kernel.kallsyms]           [k] hrtimer_cancel
     0.32%     0.32%  mariadbd         [kernel.kallsyms]           [k] __default_send_IPI_dest_field
     0.31%     0.23%  swapper          [kernel.kallsyms]           [k] irqtime_account_irq
     0.31%     0.28%  swapper          [kernel.kallsyms]           [k] update_rq_clock_task
     0.30%     0.21%  mariadbd         [kernel.kallsyms]           [k] plist_add
     0.30%     0.05%  tclsh8.6         [kernel.kallsyms]           [k] kmem_cache_alloc_node
     0.30%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] syscall_exit_to_user_mode
     0.29%     0.24%  mariadbd         [kernel.kallsyms]           [k] __update_idle_core
     0.29%     0.00%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_fdatasync
     0.29%     0.00%  mariadbd         [kernel.kallsyms]           [k] ext4_sync_file
     0.29%     0.17%  mariadbd         [kernel.kallsyms]           [k] update_rq_clock_task
     0.29%     0.00%  mariadbd         [kernel.kallsyms]           [k] __ext4_mark_inode_dirty
     0.29%     0.28%  mariadbd         [kernel.kallsyms]           [k] __update_load_avg_se
     0.29%     0.01%  mariadbd         [kernel.kallsyms]           [k] irqentry_exit_to_user_mode
     0.29%     0.20%  mariadbd         [kernel.kallsyms]           [k] kfree
     0.28%     0.28%  mariadbd         [kernel.kallsyms]           [k] update_cfs_rq_h_load
     0.27%     0.27%  swapper          [kernel.kallsyms]           [k] __update_load_avg_se
     0.27%     0.02%  mariadbd         [kernel.kallsyms]           [k] __softirqentry_text_start
     0.26%     0.01%  swapper          [kernel.kallsyms]           [k] find_busiest_group
     0.26%     0.00%  mariadbd         [kernel.kallsyms]           [k] pagecache_get_page
     0.26%     0.26%  mariadbd         [kernel.kallsyms]           [k] amd_pmu_addr_offset
     0.26%     0.04%  tclsh8.6         [kernel.kallsyms]           [k] skb_release_data
     0.26%     0.02%  mariadbd         [kernel.kallsyms]           [k] update_blocked_averages
     0.26%     0.26%  mariadbd         [kernel.kallsyms]           [k] __entry_text_start
     0.26%     0.01%  mariadbd         [kernel.kallsyms]           [k] obj_cgroup_charge
     0.26%     0.14%  mariadbd         [kernel.kallsyms]           [k] migrate_task_rq_fair
     0.25%     0.25%  swapper          [kernel.kallsyms]           [k] resched_curr
     0.25%     0.04%  swapper          [kernel.kallsyms]           [k] hrtimer_try_to_cancel.part.0
     0.25%     0.02%  mariadbd         [kernel.kallsyms]           [k] submit_bio_noacct
     0.25%     0.04%  swapper          [kernel.kallsyms]           [k] update_sd_lb_stats.constprop.0
     0.25%     0.07%  mariadbd         [kernel.kallsyms]           [k] amd_pmu_wait_on_overflow
     0.24%     0.21%  mariadbd         [kernel.kallsyms]           [k] up_read
     0.24%     0.24%  mariadbd         mariadbd                    [.] crc32c_3way
     0.24%     0.01%  swapper          [kernel.kallsyms]           [k] nvme_pci_complete_rq
     0.23%     0.01%  mariadbd         [kernel.kallsyms]           [k] file_update_time
     0.23%     0.06%  mariadbd         [kernel.kallsyms]           [k] submit_bio_checks
     0.23%     0.08%  swapper          [kernel.kallsyms]           [k] cpuidle_governor_latency_req
     0.23%     0.03%  mariadbd         [kernel.kallsyms]           [k] mempool_alloc
     0.23%     0.23%  mariadbd         [kernel.kallsyms]           [k] try_grab_compound_head
     0.22%     0.06%  swapper          [kernel.kallsyms]           [k] amd_pmu_wait_on_overflow
     0.22%     0.01%  mariadbd         [kernel.kallsyms]           [k] asm_sysvec_call_function_single
     0.22%     0.22%  mariadbd         libpthread-2.28.so          [.] __pthread_mutex_unlock_usercnt
