# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 984K of event 'cycles'
# Event count (approx.): 2239420905167
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
     0.56%     0.00%  GC Thread#3      [kernel.kallsyms]                   [k] tick_sched_handle
     0.56%     0.01%  GC Thread#17     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.56%     0.00%  kswapd0          [kernel.kallsyms]                   [k] prune_icache_sb
     0.56%     0.00%  kswapd0          [kernel.kallsyms]                   [k] inode_lru_isolate
     0.56%     0.01%  GC Thread#5      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.56%     0.02%  GC Thread#19     [kernel.kallsyms]                   [k] update_process_times
     0.56%     0.00%  GC Thread#18     [kernel.kallsyms]                   [k] __run_hrtimer
     0.56%     0.06%  Executor task l  [kernel.kallsyms]                   [k] lru_cache_add
     0.56%     0.01%  kswapd0          [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     0.56%     0.00%  GC Thread#1      [kernel.kallsyms]                   [k] __run_hrtimer
     0.56%     0.00%  GC Thread#15     [kernel.kallsyms]                   [k] tick_sched_timer
     0.56%     0.01%  GC Thread#14     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.55%     0.02%  GC Thread#3      [kernel.kallsyms]                   [k] update_process_times
     0.55%     0.00%  G1 Refine#0      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.55%     0.00%  GC Thread#2      [kernel.kallsyms]                   [k] tick_sched_timer
     0.55%     0.00%  GC Thread#12     [kernel.kallsyms]                   [k] __run_hrtimer
     0.55%     0.01%  GC Thread#8      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.55%     0.00%  GC Thread#16     [kernel.kallsyms]                   [k] __run_hrtimer
     0.55%     0.00%  GC Thread#21     [kernel.kallsyms]                   [k] __run_hrtimer
     0.55%     0.00%  GC Thread#20     [kernel.kallsyms]                   [k] __run_hrtimer
     0.55%     0.01%  GC Thread#9      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.55%     0.00%  GC Thread#17     [kernel.kallsyms]                   [k] __run_hrtimer
     0.55%     0.00%  GC Thread#11     [kernel.kallsyms]                   [k] __run_hrtimer
     0.55%     0.00%  GC Thread#5      [kernel.kallsyms]                   [k] __run_hrtimer
     0.54%     0.00%  GC Thread#6      [kernel.kallsyms]                   [k] tick_sched_timer
     0.54%     0.01%  GC Thread#22     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.54%     0.00%  GC Thread#14     [kernel.kallsyms]                   [k] __run_hrtimer
     0.54%     0.00%  GC Thread#13     [kernel.kallsyms]                   [k] tick_sched_timer
     0.54%     0.00%  GC Thread#9      [kernel.kallsyms]                   [k] __run_hrtimer
     0.54%     0.00%  GC Thread#8      [kernel.kallsyms]                   [k] __run_hrtimer
     0.54%     0.00%  G1 Refine#0      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.54%     0.00%  GC Thread#18     [kernel.kallsyms]                   [k] tick_sched_timer
     0.54%     0.00%  GC Thread#1      [kernel.kallsyms]                   [k] tick_sched_timer
     0.53%     0.01%  Executor task l  [kernel.kallsyms]                   [k] alloc_empty_file
     0.53%     0.03%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_call_function_single
     0.53%     0.00%  GC Thread#21     [kernel.kallsyms]                   [k] tick_sched_timer
     0.53%     0.00%  GC Thread#16     [kernel.kallsyms]                   [k] tick_sched_timer
     0.53%     0.00%  GC Thread#22     [kernel.kallsyms]                   [k] __run_hrtimer
     0.53%     0.00%  GC Thread#20     [kernel.kallsyms]                   [k] tick_sched_timer
     0.53%     0.00%  GC Thread#12     [kernel.kallsyms]                   [k] tick_sched_timer
     0.53%     0.01%  GC Thread#10     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.53%     0.01%  GC Thread#4      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.53%     0.00%  GC Thread#11     [kernel.kallsyms]                   [k] tick_sched_timer
     0.53%     0.00%  GC Thread#5      [kernel.kallsyms]                   [k] tick_sched_timer
