# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 1913745323191
#
# Children      Self  Command          Shared Object         Symbol                                           
# ........  ........  ...............  ....................  .................................................
#
     0.57%     0.00%  postgres         [kernel.kallsyms]     [k] free_unref_page_commit.constprop.0
     0.55%     0.01%  postgres         [kernel.kallsyms]     [k] dequeue_task
     0.54%     0.01%  postgres         [kernel.kallsyms]     [k] dequeue_task_fair
     0.54%     0.09%  kcompactd1       [kernel.kallsyms]     [k] try_to_migrate_one
     0.53%     0.01%  postgres         [kernel.kallsyms]     [k] dequeue_entity
     0.53%     0.00%  postgres         [kernel.kallsyms]     [k] read_pages
     0.51%     0.32%  postgres         [kernel.kallsyms]     [k] unlock_page_memcg
     0.50%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_sync_file
     0.50%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __sys_sendto
     0.50%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __x64_sys_sendto
     0.49%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] sock_sendmsg
     0.49%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] unix_stream_sendmsg
     0.48%     0.01%  postgres         [kernel.kallsyms]     [k] ext4_readahead
     0.47%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_mpage_readpages
     0.47%     0.00%  postgres         [kernel.kallsyms]     [k] file_write_and_wait_range
     0.47%     0.06%  postgres         [kernel.kallsyms]     [k] update_curr
     0.46%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     0.46%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     0.46%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     0.46%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     0.46%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     0.46%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_sendto
     0.46%     0.00%  postgres         [kernel.kallsyms]     [k] __sys_sendto
     0.45%     0.00%  postgres         [kernel.kallsyms]     [k] do_writepages
     0.45%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_writepages
     0.45%     0.00%  postgres         [kernel.kallsyms]     [k] filemap_fdatawrite_wbc
     0.44%     0.00%  postgres         [kernel.kallsyms]     [k] __softirqentry_text_start
     0.44%     0.09%  postgres         [kernel.kallsyms]     [k] update_blocked_averages
     0.44%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up_common
     0.44%     0.01%  swapper          [kernel.kallsyms]     [k] switch_mm_irqs_off
     0.43%     0.42%  postgres         [kernel.kallsyms]     [k] xas_load
     0.43%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] sock_def_readable
     0.43%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up_common_lock
     0.43%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up_sync_key
