# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1357731480738
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
     0.09%     0.00%  kcompactd1  [kernel.kallsyms]  [k] compact_lock_irqsave
     0.09%     0.09%  postgres    [kernel.kallsyms]  [k] workingset_age_nonresident
     0.09%     0.00%  postgres    [kernel.kallsyms]  [k] workingset_activation
     0.09%     0.07%  postgres    [kernel.kallsyms]  [k] __activate_page
     0.09%     0.09%  swapper     [unknown]          [.] 0000000000000000
     0.08%     0.01%  postgres    [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.08%     0.00%  postgres    [kernel.kallsyms]  [k] __sys_sendto
     0.08%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_sendto
     0.08%     0.00%  postgres    [kernel.kallsyms]  [k] sock_sendmsg
     0.08%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_da_write_begin
     0.08%     0.02%  tclsh8.6    [kernel.kallsyms]  [k] __handle_mm_fault
     0.08%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] asm_exc_page_fault
     0.08%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_user_addr_fault
     0.08%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] exc_page_fault
     0.08%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] handle_mm_fault
     0.07%     0.07%  kcompactd1  [kernel.kallsyms]  [k] page_remove_rmap
     0.06%     0.00%  postgres    [kernel.kallsyms]  [k] asm_exc_page_fault
     0.06%     0.00%  postgres    [kernel.kallsyms]  [k] do_user_addr_fault
     0.06%     0.00%  postgres    [kernel.kallsyms]  [k] exc_page_fault
     0.06%     0.00%  postgres    [kernel.kallsyms]  [k] handle_mm_fault
     0.06%     0.00%  postgres    [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.06%     0.00%  postgres    [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.06%     0.00%  kcompactd1  [kernel.kallsyms]  [k] remove_migration_pte
