# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 808077467991
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     0.04%     0.01%  postgres         [kernel.kallsyms]  [k] wait_on_page_bit_common
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] pick_next_task_fair
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] clear_page_erms
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.04%     0.04%  kcompactd1       [kernel.kallsyms]  [k] up_read
     0.04%     0.04%  kcompactd1       [kernel.kallsyms]  [k] PageHuge
     0.04%     0.04%  kcompactd1       [kernel.kallsyms]  [k] migrate_page_states
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]  [k] migrate_page_copy
     0.04%     0.04%  kcompactd1       [kernel.kallsyms]  [k] llist_add_batch
     0.04%     0.04%  kcompactd0       [kernel.kallsyms]  [k] __mod_node_page_state
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] __mod_lruvec_state
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] page_remove_rmap
     0.04%     0.04%  kcompactd0       [kernel.kallsyms]  [k] do_memsw_account
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wake
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] next_uptodate_page
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] newidle_balance
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] migrate_pages
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] __free_one_page
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] free_pcppages_bulk
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] free_unref_page
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] ___pmd_free_tlb
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]  [k] clear_page_erms
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_read
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] ksys_read
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] default_wake_function
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] pollwake
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.03%     0.00%  kcompactd1       [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.03%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_lock_irqsave
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] __restore_fpregs_from_fpstate
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] switch_fpu_return
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] lru_add_drain_cpu
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] lru_add_drain
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] native_irq_return_iret
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]  [k] vma_interval_tree_iter_next
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]  [k] get_pfnblock_flags_mask
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]  [k] down_read
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] llist_add_batch
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]  [k] isolate_migratepages_block
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] rebalance_domains
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] page_counter_charge
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] mem_cgroup_migrate
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page_copy
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page_states
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]  [k] copy_page
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] lock_page_memcg
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] page_add_file_rmap
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] __mod_zone_page_state
