# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 9560623236151
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.52%     0.17%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.48%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.48%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.47%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.47%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] try_to_wake_up
     0.46%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.46%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.46%     0.46%  ReadStage-38     [kernel.kallsyms]                   [k] available_idle_cpu
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] __common_interrupt
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] __read_end_io
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] __wake_up_common
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] __wake_up_locked_key_bookmark
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] asm_common_interrupt
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] bio_endio
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] blk_mq_end_request
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] blk_update_request
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] common_interrupt
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] handle_edge_irq
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] handle_irq_event
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] mpage_end_io
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] nvme_complete_rq
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] nvme_irq
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] nvme_process_cq
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] unlock_page
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] wake_page_function
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] wake_up_page_bit
     0.46%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] wake_up_state
     0.46%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_out
     0.46%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_output
     0.45%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output2
     0.45%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_finish_output
     0.45%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output
     0.45%     0.01%  swapper          [kernel.kallsyms]                   [k] tick_nohz_get_sleep_length
     0.45%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.45%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_push
     0.45%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_softirq
     0.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     0.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __napi_poll
     0.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __netif_receive_skb
     0.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __netif_receive_skb_one_core
     0.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] net_rx_action
     0.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] process_backlog
     0.43%     0.02%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_v4_rcv
     0.43%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_deliver
     0.43%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_deliver_finish
     0.43%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_protocol_deliver_rcu
     0.43%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_rcv
     0.43%     0.01%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.42%     0.02%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.41%     0.41%  Thread-84        [kernel.kallsyms]                   [k] do_syscall_64
     0.41%     0.00%  Thread-84        [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.40%     0.40%  swapper          [unknown]                           [.] 0000000000000000
     0.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_finish_plug
     0.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_flush_plug_list
     0.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.40%     0.01%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.40%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __alloc_pages
     0.40%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] alloc_pages
     0.40%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sk_page_frag_refill
     0.40%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] skb_page_frag_refill
     0.39%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.39%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.38%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.38%     0.38%  epollEventLoopG  [kernel.kallsyms]                   [k] clear_page_erms
     0.38%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_queue_rq
     0.37%     0.00%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.37%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.37%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.37%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.37%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
     0.37%     0.01%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.36%     0.36%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __inet_lookup_established
     0.35%     0.30%  swapper          [kernel.kallsyms]                   [k] tick_nohz_next_event
     0.35%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.35%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.35%     0.01%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.34%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_readahead
     0.34%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.34%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.33%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.33%     0.01%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.33%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.32%     0.01%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
