# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 497107380826
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................
#
     0.76%     0.48%  mariadbd         [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.76%     0.03%  mariadbd         [kernel.kallsyms]    [k] swap_readpage
     0.75%     0.14%  mariadbd         [kernel.kallsyms]    [k] switch_fpu_return
     0.74%     0.02%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     0.74%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.74%     0.06%  mariadbd         [kernel.kallsyms]    [k] __alloc_skb
     0.74%     0.06%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.73%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_iomap_begin
     0.73%     0.05%  swapper          [kernel.kallsyms]    [k] hrtimer_start_range_ns
     0.72%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.72%     0.31%  swapper          [kernel.kallsyms]    [k] ktime_get
     0.72%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] sock_def_readable
     0.72%     0.72%  mariadbd         [kernel.kallsyms]    [k] __default_send_IPI_dest_field
     0.70%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] try_to_wake_up
     0.70%     0.02%  mariadbd         [kernel.kallsyms]    [k] __read_swap_cache_async
     0.69%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] pollwake
     0.69%     0.11%  mariadbd         [kernel.kallsyms]    [k] __irq_exit_rcu
     0.68%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] __alloc_skb
     0.68%     0.01%  swapper          [kernel.kallsyms]    [k] blk_mq_end_request
     0.67%     0.54%  swapper          [kernel.kallsyms]    [k] switch_mm_irqs_off
     0.67%     0.01%  swapper          [kernel.kallsyms]    [k] perf_event_task_tick
     0.66%     0.04%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_end_io
     0.66%     0.07%  swapper          [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     0.65%     0.10%  mariadbd         [kernel.kallsyms]    [k] task_tick_fair
     0.65%     0.52%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     0.63%     0.06%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_loop
     0.61%     0.61%  mariadbd         [kernel.kallsyms]    [k] __restore_fpregs_from_fpstate
     0.60%     0.60%  swapper          [kernel.kallsyms]    [k] get_typical_interval
     0.60%     0.47%  mariadbd         [kernel.kallsyms]    [k] xas_load
     0.59%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_getevents
     0.59%     0.06%  swapper          [kernel.kallsyms]    [k] blk_update_request
     0.59%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_da_write_begin
     0.58%     0.17%  swapper          [kernel.kallsyms]    [k] set_next_entity
     0.58%     0.05%  mariadbd         [kernel.kallsyms]    [k] nvme_map_data
     0.57%     0.00%  mariadbd         [kernel.kallsyms]    [k] do_io_getevents
     0.57%     0.34%  mariadbd         [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.56%     0.02%  swapper          [kernel.kallsyms]    [k] amd_pmu_disable_all
     0.56%     0.56%  mariadbd         [kernel.kallsyms]    [k] update_cfs_group
     0.56%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.54%     0.02%  swapper          [kernel.kallsyms]    [k] _nohz_idle_balance.constprop.0.isra.0
     0.54%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_restart_sched_tick
     0.54%     0.51%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.53%     0.07%  swapper          [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.52%     0.00%  mariadbd         [kernel.kallsyms]    [k] __sysvec_call_function_single
     0.51%     0.01%  mariadbd         [kernel.kallsyms]    [k] read_events
     0.50%     0.14%  swapper          [kernel.kallsyms]    [k] tick_nohz_next_event
     0.50%     0.04%  mariadbd         [kernel.kallsyms]    [k] lockless_pages_from_mm
     0.49%     0.49%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.49%     0.48%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_se
     0.49%     0.01%  mariadbd         [kernel.kallsyms]    [k] default_send_IPI_mask_sequence_phys
     0.48%     0.15%  mariadbd         [kernel.kallsyms]    [k] wake_affine_weight
     0.47%     0.01%  mariadbd         [kernel.kallsyms]    [k] __mark_inode_dirty
     0.47%     0.19%  mariadbd         [kernel.kallsyms]    [k] set_task_cpu
     0.47%     0.08%  tclsh8.6         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.46%     0.46%  swapper          [kernel.kallsyms]    [k] __switch_to_asm
     0.46%     0.02%  mariadbd         [kernel.kallsyms]    [k] sched_ttwu_pending
     0.46%     0.02%  mariadbd         [kernel.kallsyms]    [k] irqentry_exit_to_user_mode
     0.46%     0.00%  kswapd0          [kernel.kallsyms]    [k] arch_tlbbatch_flush
     0.46%     0.00%  kswapd0          [kernel.kallsyms]    [k] try_to_unmap_flush_dirty
     0.45%     0.02%  mariadbd         [kernel.kallsyms]    [k] __softirqentry_text_start
     0.45%     0.45%  mariadbd         [kernel.kallsyms]    [k] copy_user_generic_string
     0.45%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] consume_skb
     0.45%     0.04%  mariadbd         [kernel.kallsyms]    [k] update_blocked_averages
     0.43%     0.43%  mariadbd         libpthread-2.28.so   [.] __lll_lock_wait
     0.43%     0.07%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function
     0.43%     0.43%  mariadbd         [kernel.kallsyms]    [k] __list_del_entry_valid
     0.43%     0.43%  swapper          [kernel.kallsyms]    [k] read_tsc
     0.43%     0.11%  mariadbd         [kernel.kallsyms]    [k] gup_pgd_range
     0.42%     0.28%  mariadbd         [kernel.kallsyms]    [k] ktime_get
     0.42%     0.06%  mariadbd         [kernel.kallsyms]    [k] mapping_get_entry
     0.42%     0.03%  swapper          [kernel.kallsyms]    [k] quiet_vmstat
     0.41%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_dirty_inode
     0.41%     0.07%  mariadbd         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.41%     0.41%  mariadbd         libpthread-2.28.so   [.] __pthread_mutex_lock
     0.40%     0.36%  swapper          [kernel.kallsyms]    [k] _raw_spin_lock
     0.40%     0.03%  swapper          [kernel.kallsyms]    [k] update_blocked_averages
     0.40%     0.12%  kswapd0          [kernel.kallsyms]    [k] smp_call_function_many_cond
