# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11344016313642
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.69%     0.53%  pool-4-thread-1  [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.69%     0.00%  java             [kernel.kallsyms]   [k] try_to_migrate
     0.69%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] process_one_work
     0.69%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] ext4_end_io_rsv_work
     0.68%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] ext4_release_io_end
     0.68%     0.10%  kworker/u96:0-e  [kernel.kallsyms]   [k] ext4_finish_bio
     0.67%     0.00%  kworker/u98:1-e  [kernel.kallsyms]   [k] kthread
     0.67%     0.00%  kworker/u98:1-e  [kernel.kallsyms]   [k] ret_from_fork
     0.67%     0.00%  kworker/u98:1-e  [kernel.kallsyms]   [k] worker_thread
     0.67%     0.00%  kworker/u98:1-e  [kernel.kallsyms]   [k] process_one_work
     0.67%     0.00%  kworker/u98:1-e  [kernel.kallsyms]   [k] wb_workfn
     0.67%     0.00%  kworker/u98:1-e  [kernel.kallsyms]   [k] wb_writeback
     0.67%     0.00%  kworker/u98:1-e  [kernel.kallsyms]   [k] __writeback_inodes_wb
     0.67%     0.00%  kworker/u98:1-e  [kernel.kallsyms]   [k] writeback_sb_inodes
     0.67%     0.00%  kworker/u98:1-e  [kernel.kallsyms]   [k] __writeback_single_inode
     0.67%     0.00%  kworker/u98:1-e  [kernel.kallsyms]   [k] do_writepages
     0.66%     0.04%  kworker/u98:1-e  [kernel.kallsyms]   [k] ext4_writepages
     0.66%     0.00%  java             [kernel.kallsyms]   [k] __alloc_pages_slowpath.constprop.0
     0.63%     0.01%  java             [kernel.kallsyms]   [k] __x64_sys_sched_yield
     0.62%     0.60%  LocalJobRunner   [kernel.kallsyms]   [k] __ptep_modify_prot_start
     0.62%     0.00%  VM Thread        [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.62%     0.00%  VM Thread        [kernel.kallsyms]   [k] do_syscall_64
     0.61%     0.00%  java             [kernel.kallsyms]   [k] try_to_free_pages
     0.61%     0.15%  LocalJobRunner   [kernel.kallsyms]   [k] __pagevec_lru_add
     0.61%     0.00%  java             [kernel.kallsyms]   [k] do_try_to_free_pages
     0.61%     0.00%  java             [kernel.kallsyms]   [k] shrink_node
     0.61%     0.00%  java             [kernel.kallsyms]   [k] shrink_lruvec
     0.61%     0.00%  java             [kernel.kallsyms]   [k] evict_pages
     0.60%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] alloc_pages
     0.60%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __page_cache_alloc
     0.60%     0.02%  java             [kernel.kallsyms]   [k] do_sched_yield
     0.59%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] asm_exc_page_fault
     0.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_read
     0.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_read
     0.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_read
     0.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_read
     0.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_read_iter
     0.59%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] filemap_read
     0.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_file_read_iter
     0.57%     0.05%  InMemoryMerger   [kernel.kallsyms]   [k] add_to_page_cache_lru
     0.57%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_end
     0.56%     0.40%  java             [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.56%     0.39%  localfetcher#1   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.56%     0.00%  VM Thread        [kernel.kallsyms]   [k] __x64_sys_mmap
     0.56%     0.00%  VM Thread        [kernel.kallsyms]   [k] ksys_mmap_pgoff
     0.56%     0.00%  VM Thread        [kernel.kallsyms]   [k] vm_mmap_pgoff
     0.56%     0.00%  VM Thread        [kernel.kallsyms]   [k] do_mmap
     0.56%     0.00%  VM Thread        [kernel.kallsyms]   [k] mmap_region
     0.56%     0.00%  VM Thread        [kernel.kallsyms]   [k] __do_munmap
     0.56%     0.00%  VM Thread        [kernel.kallsyms]   [k] unmap_region
     0.56%     0.01%  java             [kernel.kallsyms]   [k] schedule
     0.55%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_write_end
     0.55%     0.00%  VM Thread        [kernel.kallsyms]   [k] unmap_vmas
     0.55%     0.00%  VM Thread        [kernel.kallsyms]   [k] unmap_single_vma
     0.55%     0.08%  VM Thread        [kernel.kallsyms]   [k] unmap_page_range
