# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8025463247800
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.56%     0.09%  LocalJobRunner   [kernel.kallsyms]         [k] __schedule
     0.55%     0.02%  VM Thread        [kernel.kallsyms]         [k] handle_mm_fault
     0.55%     0.06%  kswapd0          [kernel.kallsyms]         [k] shrink_page_list
     0.54%     0.49%  java             [kernel.kallsyms]         [k] page_counter_cancel
     0.54%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] move_to_new_page
     0.54%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] futex_wait
     0.54%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_page
     0.54%     0.01%  Sampler Reader   [kernel.kallsyms]         [k] handle_mm_fault
     0.53%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_lruvec
     0.52%     0.00%  kswapd1          [kernel.kallsyms]         [k] evict_pages
     0.51%     0.06%  LocalJobRunner   [kernel.kallsyms]         [k] futex_wake
     0.51%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_slab
     0.50%     0.01%  kswapd0          [kernel.kallsyms]         [k] do_shrink_slab
     0.50%     0.04%  Sampler Reader   [kernel.kallsyms]         [k] __handle_mm_fault
     0.49%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] do_syscall_64
     0.49%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     0.49%     0.36%  java             [kernel.kallsyms]         [k] error_entry
     0.49%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ksys_write
     0.49%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] __x64_sys_write
     0.49%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] vfs_write
     0.49%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_file_write_iter
     0.49%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] new_sync_write
     0.49%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     0.49%     0.12%  VM Thread        [kernel.kallsyms]         [k] __handle_mm_fault
     0.49%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] generic_perform_write
     0.49%     0.49%  LocalJobRunner   [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.49%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ondemand_readahead
     0.48%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_ra_unbounded
     0.48%     0.39%  LocalJobRunner   [kernel.kallsyms]         [k] rmqueue_bulk
     0.47%     0.41%  LocalJobRunner   [kernel.kallsyms]         [k] get_mem_cgroup_from_mm
     0.46%     0.16%  LocalJobRunner   [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.46%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kthread
     0.46%     0.00%  kcompactd1       [kernel.kallsyms]         [k] ret_from_fork
     0.46%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kcompactd
