# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1584055210371
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     0.36%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_write
     0.36%     0.00%  postgres         [kernel.kallsyms]  [k] generic_perform_write
     0.31%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] do_futex
     0.31%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_futex
     0.31%     0.10%  postgres         [kernel.kallsyms]  [k] set_page_dirty
     0.30%     0.30%  swapper          [unknown]          [.] 0000000000000000
     0.30%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] _raw_spin_lock
     0.30%     0.02%  kcompactd0       [kernel.kallsyms]  [k] ptep_clear_flush
     0.30%     0.28%  tclsh8.6         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.29%     0.24%  postgres         [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.29%     0.28%  postgres         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.29%     0.29%  kcompactd0       [kernel.kallsyms]  [k] _raw_spin_lock
     0.28%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     0.28%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     0.28%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     0.28%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     0.28%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     0.27%     0.00%  kcompactd0       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.26%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wait
     0.25%     0.00%  kcompactd0       [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.25%     0.00%  kcompactd0       [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.25%     0.23%  swapper          [kernel.kallsyms]  [k] poll_idle
     0.25%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wait_setup
     0.24%     0.24%  swapper          [kernel.kallsyms]  [k] psi_group_change
     0.24%     0.24%  kcompactd0       [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.22%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_da_write_begin
     0.21%     0.13%  postgres         [kernel.kallsyms]  [k] PageHuge
     0.21%     0.00%  swapper          [kernel.kallsyms]  [k] psi_task_change
