# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 118K of event 'cycles'
# Event count (approx.): 1652674654523
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ........  ...............  ...................  .............................................................................................................................................................................
#
     0.77%     0.40%  mariadbd         [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.76%     0.03%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_end_io
     0.76%     0.14%  mariadbd         [kernel.kallsyms]    [k] __find_get_block_slow
     0.76%     0.52%  mariadbd         [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.74%     0.01%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     0.74%     0.02%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     0.71%     0.02%  mariadbd         [kernel.kallsyms]    [k] sched_ttwu_pending
     0.69%     0.01%  swapper          [kernel.kallsyms]    [k] perf_event_task_tick
     0.67%     0.09%  swapper          [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     0.67%     0.04%  swapper          [kernel.kallsyms]    [k] hrtimer_start_range_ns
     0.67%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_da_write_begin
     0.63%     0.02%  mariadbd         [kernel.kallsyms]    [k] consume_skb
     0.62%     0.09%  mariadbd         [kernel.kallsyms]    [k] task_tick_fair
     0.61%     0.11%  mariadbd         [kernel.kallsyms]    [k] __irq_exit_rcu
     0.60%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_getevents
     0.60%     0.13%  mariadbd         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.58%     0.02%  mariadbd         [kernel.kallsyms]    [k] do_io_getevents
     0.58%     0.58%  mariadbd         [kernel.kallsyms]    [k] __restore_fpregs_from_fpstate
     0.57%     0.15%  mariadbd         [kernel.kallsyms]    [k] mapping_get_entry
     0.57%     0.04%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_loop
     0.57%     0.56%  mariadbd         [kernel.kallsyms]    [k] copy_user_generic_string
     0.57%     0.41%  mariadbd         [kernel.kallsyms]    [k] ktime_get
     0.57%     0.57%  swapper          [kernel.kallsyms]    [k] get_typical_interval
     0.56%     0.04%  mariadbd         [kernel.kallsyms]    [k] nvme_map_data
     0.56%     0.10%  tclsh8.6         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.56%     0.10%  swapper          [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.55%     0.01%  swapper          [kernel.kallsyms]    [k] amd_pmu_disable_all
