# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 87K of event 'cycles'
# Event count (approx.): 1205267086608
#
# Children      Self  Command          Shared Object         Symbol                                                                                                      
# ........  ........  ...............  ....................  ............................................................................................................
#
     0.85%     0.04%  swapper          [kernel.kallsyms]     [k] update_process_times
     0.84%     0.00%  mariadbd         [kernel.kallsyms]     [k] __sysvec_call_function_single
     0.82%     0.01%  mariadbd         [kernel.kallsyms]     [k] bio_iov_iter_get_pages
     0.81%     0.05%  swapper          [kernel.kallsyms]     [k] tick_nohz_idle_exit
     0.81%     0.02%  mariadbd         [kernel.kallsyms]     [k] __bio_iov_iter_get_pages
     0.80%     0.42%  swapper          [kernel.kallsyms]     [k] ktime_get
     0.79%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] consume_skb
     0.78%     0.02%  mariadbd         [kernel.kallsyms]     [k] ext4_iomap_begin
     0.77%     0.18%  mariadbd         [kernel.kallsyms]     [k] switch_fpu_return
     0.77%     0.07%  mariadbd         [kernel.kallsyms]     [k] exit_to_user_mode_loop
     0.76%     0.05%  mariadbd         [kernel.kallsyms]     [k] sched_ttwu_pending
     0.76%     0.02%  mariadbd         [kernel.kallsyms]     [k] wake_affine
     0.75%     0.12%  mariadbd         [kernel.kallsyms]     [k] task_tick_fair
     0.75%     0.04%  swapper          [kernel.kallsyms]     [k] hrtimer_start_range_ns
     0.73%     0.02%  swapper          [kernel.kallsyms]     [k] scheduler_tick
     0.72%     0.03%  mariadbd         [kernel.kallsyms]     [k] iomap_dio_bio_end_io
     0.71%     0.38%  mariadbd         [kernel.kallsyms]     [k] x86_pmu_disable_all
     0.68%     0.12%  mariadbd         [kernel.kallsyms]     [k] kmem_cache_alloc_node
     0.67%     0.02%  mariadbd         [kernel.kallsyms]     [k] consume_skb
     0.65%     0.00%  mariadbd         [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.63%     0.16%  swapper          [kernel.kallsyms]     [k] tick_nohz_next_event
     0.62%     0.01%  swapper          [kernel.kallsyms]     [k] perf_event_task_tick
     0.62%     0.11%  mariadbd         [kernel.kallsyms]     [k] __irq_exit_rcu
     0.61%     0.07%  swapper          [kernel.kallsyms]     [k] perf_adjust_freq_unthr_context
     0.61%     0.01%  mariadbd         [kernel.kallsyms]     [k] iov_iter_get_pages
     0.61%     0.61%  swapper          [kernel.kallsyms]     [k] get_typical_interval
     0.60%     0.60%  mariadbd         [kernel.kallsyms]     [k] update_cfs_group
     0.59%     0.06%  mariadbd         [kernel.kallsyms]     [k] nvme_map_data
     0.59%     0.59%  mariadbd         [kernel.kallsyms]     [k] __restore_fpregs_from_fpstate
     0.59%     0.01%  mariadbd         [kernel.kallsyms]     [k] internal_get_user_pages_fast
     0.59%     0.11%  swapper          [kernel.kallsyms]     [k] finish_task_switch.isra.0
