# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 6600941935438
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     1.12%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] __page_cache_alloc
     1.12%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] alloc_pages
     1.12%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] do_page_cache_ra
     1.12%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] filemap_fault
     1.12%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] get_page_from_freelist
     1.12%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     1.02%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     1.02%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     1.02%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
     1.02%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_kernel
     1.02%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_reservations
     0.96%     0.09%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     0.96%     0.96%  swapper          [kernel.kallsyms]                   [k] local_touch_nmi
     0.95%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_futex
     0.90%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] do_futex
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __common_interrupt
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __read_end_io
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] asm_common_interrupt
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] bio_endio
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] blk_mq_end_request
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] blk_update_request
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] common_interrupt
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] handle_edge_irq
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] handle_irq_event
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] mpage_end_io
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] nvme_complete_rq
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] nvme_irq
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] nvme_process_cq
     0.88%     0.88%  epollEventLoopG  [kernel.kallsyms]                   [k] kmem_cache_free
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] bio_free
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] bio_put
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] bvec_free
     0.78%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait
     0.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     0.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     0.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
