# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 865K of event 'cycles'
# Event count (approx.): 1671706037415
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                      
# ........  ........  ...............  ................................................  ............................................................................................................................................................
#
     0.73%     0.00%  G1 Refine#1      [kernel.kallsyms]                                 [k] tick_sched_timer
     0.73%     0.01%  G1 Refine#2      [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.71%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] __alloc_pages
     0.71%     0.55%  Executor task l  [kernel.kallsyms]                                 [k] xas_load
     0.71%     0.00%  G1 Refine#3      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.71%     0.01%  G1 Conc#5        [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.70%     0.01%  G1 Conc#4        [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.70%     0.01%  G1 Conc#2        [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.70%     0.00%  GC Thread#18     [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.70%     0.01%  G1 Conc#0        [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.70%     0.01%  G1 Conc#5        [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.69%     0.00%  GC Thread#18     [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#6      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.69%     0.01%  G1 Conc#3        [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#10     [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.69%     0.00%  G1 Refine#3      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#0      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.69%     0.01%  G1 Conc#1        [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.69%     0.01%  G1 Conc#4        [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.69%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] __unmap_and_move
