# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3321962884426
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                           
# ........  ........  ...............  ...................................  .................................................................................................................................................................
#
     0.50%     0.02%  Executor task l  [kernel.kallsyms]                    [k] zero_user_segments
     0.50%     0.02%  Executor task l  [kernel.kallsyms]                    [k] create_page_buffers
     0.49%     0.00%  Executor task l  [kernel.kallsyms]                    [k] generic_update_time
     0.49%     0.06%  kswapd0          [kernel.kallsyms]                    [k] free_unref_page_list
     0.48%     0.06%  kswapd0          [kernel.kallsyms]                    [k] page_cache_delete
     0.48%     0.03%  Executor task l  [kernel.kallsyms]                    [k] create_empty_buffers
     0.47%     0.05%  Executor task l  [kernel.kallsyms]                    [k] nvme_map_data
     0.46%     0.02%  Executor task l  [kernel.kallsyms]                    [k] syscall_exit_to_user_mode
     0.46%     0.45%  Executor task l  [kernel.kallsyms]                    [k] xas_start
     0.45%     0.45%  Executor task l  [kernel.kallsyms]                    [k] check_cpu_stall
     0.45%     0.03%  Executor task l  [kernel.kallsyms]                    [k] alloc_page_buffers
     0.44%     0.11%  Executor task l  [kernel.kallsyms]                    [k] clockevents_program_event
     0.43%     0.09%  kswapd0          [kernel.kallsyms]                    [k] isolate_lru_pages
     0.43%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_reserve_inode_write
     0.43%     0.08%  Executor task l  [kernel.kallsyms]                    [k] blk_update_request
     0.43%     0.43%  Executor task l  [kernel.kallsyms]                    [k] cpuacct_charge
     0.42%     0.31%  Executor task l  [kernel.kallsyms]                    [k] __mod_memcg_lruvec_state
     0.42%     0.05%  Executor task l  [kernel.kallsyms]                    [k] xa_load
     0.41%     0.02%  Executor task l  [kernel.kallsyms]                    [k] alloc_buffer_head
     0.40%     0.40%  Executor task l  [kernel.kallsyms]                    [k] __irqentry_text_end
     0.40%     0.05%  Executor task l  [kernel.kallsyms]                    [k] rcu_core
     0.39%     0.12%  Executor task l  [kernel.kallsyms]                    [k] xa_get_order
     0.38%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_get_block_prep
     0.37%     0.37%  kswapd0          [kernel.kallsyms]                    [k] __list_del_entry_valid
     0.37%     0.04%  Executor task l  [kernel.kallsyms]                    [k] __block_commit_write.constprop.0.isra.0
     0.37%     0.01%  Executor task l  [kernel.kallsyms]                    [k] irqentry_exit_to_user_mode
     0.36%     0.11%  Executor task l  [kernel.kallsyms]                    [k] timerqueue_del
     0.36%     0.03%  Executor task l  [kernel.kallsyms]                    [k] ext4_map_blocks
     0.36%     0.05%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_map_blocks.constprop.0
     0.36%     0.03%  kswapd0          [kernel.kallsyms]                    [k] free_pcppages_bulk
     0.35%     0.04%  kswapd0          [kernel.kallsyms]                    [k] xas_store
     0.35%     0.35%  Executor task l  [kernel.kallsyms]                    [k] update_irq_load_avg
     0.35%     0.14%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_do_timer
     0.35%     0.20%  Executor task l  [kernel.kallsyms]                    [k] start_this_handle
     0.35%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] wb_workfn
     0.35%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] wb_do_writeback
     0.35%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] wb_writeback
     0.35%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] __writeback_inodes_wb
     0.35%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] writeback_sb_inodes
     0.35%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] __writeback_single_inode
     0.35%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] do_writepages
     0.35%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] ext4_writepages
