# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 130K of event 'cycles'
# Event count (approx.): 2636509785394
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.30%     0.05%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.30%     0.02%  swapper          [kernel.kallsyms]                   [k] tick_nohz_get_sleep_length
     0.30%     0.01%  swapper          [kernel.kallsyms]                   [k] blk_mq_end_request
     0.29%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.28%     0.16%  swapper          [kernel.kallsyms]                   [k] update_load_avg
     0.28%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.28%     0.28%  Native-Transpor  [kernel.kallsyms]                   [k] __restore_fpregs_from_fpstate
     0.28%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     0.28%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
     0.27%     0.00%  kswapd0          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.27%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.27%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm
     0.27%     0.06%  kswapd0          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.27%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.27%     0.02%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.27%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.26%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] perf_iterate_sb
     0.26%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_out
     0.26%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_call_function
     0.26%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     0.26%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.26%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     0.26%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_task_change
     0.26%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.26%     0.23%  kswapd0          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.25%     0.08%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_entity
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     0.25%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] lru_cache_add
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.25%     0.02%  swapper          [kernel.kallsyms]                   [k] blk_update_request
     0.25%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_output
     0.25%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.25%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output
     0.25%     0.17%  kswapd0          [kernel.kallsyms]                   [k] isolate_pages
     0.25%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_sleeper_start_expires
     0.24%     0.03%  swapper          [kernel.kallsyms]                   [k] sched_ttwu_pending
     0.24%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_finish_output
     0.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.23%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output2
     0.23%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_start_range_ns
     0.23%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] skb_copy_datagram_iter
     0.23%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __skb_datagram_iter
     0.22%     0.00%  swapper          [kernel.kallsyms]                   [k] bio_endio
     0.22%     0.00%  swapper          [kernel.kallsyms]                   [k] mpage_end_io
     0.22%     0.21%  Native-Transpor  [kernel.kallsyms]                   [k] xas_load
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task
     0.22%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.22%     0.02%  kswapd1          [kernel.kallsyms]                   [k] __remove_mapping
     0.22%     0.03%  kswapd0          [kernel.kallsyms]                   [k] xas_store
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] simple_copy_to_iter
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] common_interrupt
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_common_interrupt
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __common_interrupt
     0.21%     0.21%  cluster1-nio-wo  [kernel.kallsyms]                   [k] copy_user_enhanced_fast_string
     0.21%     0.01%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.21%     0.00%  kswapd0          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.21%     0.05%  swapper          [kernel.kallsyms]                   [k] __read_end_io
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_edge_irq
     0.20%     0.03%  NonPeriodicTask  [kernel.kallsyms]                   [k] lock_page_lruvec_irqsave
     0.20%     0.20%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_group_change
     0.20%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] __pagevec_lru_add
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_out
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     0.20%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] skb_page_frag_refill
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sk_page_frag_refill
     0.20%     0.18%  NonPeriodicTask  [kernel.kallsyms]                   [k] unlock_page
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_softirq
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_output
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_irq_event
     0.19%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] net_rx_action
     0.19%     0.14%  NonPeriodicTask  [kernel.kallsyms]                   [k] xas_find
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] alloc_pages
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __alloc_pages
     0.19%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.19%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.19%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.19%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
     0.19%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
