# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 129K of event 'cycles'
# Event count (approx.): 2520707030880
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.34%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.34%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] new_sync_write
     0.34%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_file_write_iter
     0.34%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.34%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     0.33%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     0.33%     0.01%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.33%     0.04%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_from_idle
     0.33%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_push
     0.33%     0.05%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.33%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.32%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_complete_rq
     0.32%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] generic_perform_write
     0.32%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_map_pages
     0.32%     0.08%  swapper          [kernel.kallsyms]                   [k] enqueue_entity
     0.31%     0.00%  swapper          [kernel.kallsyms]                   [k] blk_mq_end_request
     0.31%     0.03%  swapper          [kernel.kallsyms]                   [k] tick_nohz_get_sleep_length
     0.31%     0.14%  Native-Transpor  [kernel.kallsyms]                   [k] update_load_avg
     0.30%     0.12%  Native-Transpor  [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.30%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_map_blocks
     0.30%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] switch_fpu_return
     0.30%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap
     0.29%     0.14%  swapper          [kernel.kallsyms]                   [k] set_next_entity
