# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6777317610921
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.72%     0.08%  LocalJobRunner   [kernel.kallsyms]         [k] lru_cache_add
     0.71%     0.67%  java             [kernel.kallsyms]         [k] page_vma_mapped_walk
     0.71%     0.06%  java             [kernel.kallsyms]         [k] uncharge_batch
     0.71%     0.00%  kswapd0          [kernel.kallsyms]         [k] kswapd
     0.71%     0.00%  kswapd0          [kernel.kallsyms]         [k] kthread
     0.71%     0.00%  kswapd0          [kernel.kallsyms]         [k] ret_from_fork
     0.71%     0.00%  kswapd0          [kernel.kallsyms]         [k] balance_pgdat
     0.71%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_node
     0.70%     0.61%  java             [kernel.kallsyms]         [k] _raw_spin_lock
     0.70%     0.03%  VM Thread        [kernel.kallsyms]         [k] handle_mm_fault
     0.69%     0.01%  Sampler Reader   [kernel.kallsyms]         [k] do_user_addr_fault
     0.69%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] __ext4_mark_inode_dirty
     0.68%     0.68%  LocalJobRunner   libc.so.6                 [.] 0x00000000001b2eae
     0.67%     0.06%  java             [kernel.kallsyms]         [k] lock_page_lruvec_irq
     0.66%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] __hrtimer_run_queues
     0.63%     0.25%  LocalJobRunner   [kernel.kallsyms]         [k] __pagevec_lru_add
     0.62%     0.25%  java             [kernel.kallsyms]         [k] update_curr
     0.62%     0.08%  java             [kernel.kallsyms]         [k] yield_task_fair
     0.62%     0.10%  java             [kernel.kallsyms]         [k] _raw_spin_lock_irq
     0.62%     0.07%  java             [kernel.kallsyms]         [k] remove_migration_pte
     0.61%     0.01%  kswapd0          [kernel.kallsyms]         [k] shrink_lruvec
     0.61%     0.14%  VM Thread        [kernel.kallsyms]         [k] __handle_mm_fault
     0.61%     0.01%  VM Thread        [kernel.kallsyms]         [k] __x64_sys_sched_yield
     0.61%     0.01%  Sampler Reader   [kernel.kallsyms]         [k] handle_mm_fault
     0.61%     0.01%  java             [kernel.kallsyms]         [k] page_counter_uncharge
     0.60%     0.05%  kswapd1          [kernel.kallsyms]         [k] shrink_page_list
     0.59%     0.05%  java             [kernel.kallsyms]         [k] switch_fpu_return
     0.59%     0.11%  LocalJobRunner   [kernel.kallsyms]         [k] balance_dirty_pages_ratelimited
     0.58%     0.51%  LocalJobRunner   [kernel.kallsyms]         [k] _raw_spin_lock
     0.57%     0.00%  VM Thread        [kernel.kallsyms]         [k] ksys_mmap_pgoff
     0.57%     0.00%  VM Thread        [kernel.kallsyms]         [k] __x64_sys_mmap
     0.57%     0.00%  VM Thread        [kernel.kallsyms]         [k] do_mmap
     0.57%     0.00%  VM Thread        [kernel.kallsyms]         [k] vm_mmap_pgoff
     0.57%     0.04%  Sampler Reader   [kernel.kallsyms]         [k] __handle_mm_fault
     0.57%     0.00%  VM Thread        [kernel.kallsyms]         [k] mmap_region
     0.57%     0.52%  java             [kernel.kallsyms]         [k] page_counter_cancel
     0.57%     0.00%  VM Thread        [kernel.kallsyms]         [k] __do_munmap
     0.57%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_region
     0.57%     0.43%  java             [kernel.kallsyms]         [k] error_entry
     0.57%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] tick_sched_timer
     0.56%     0.01%  java             [kernel.kallsyms]         [k] syscall_exit_to_user_mode
     0.56%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_single_vma
     0.56%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_vmas
     0.56%     0.02%  VM Thread        [kernel.kallsyms]         [k] do_sched_yield
     0.56%     0.11%  VM Thread        [kernel.kallsyms]         [k] unmap_page_range
     0.55%     0.55%  java             [kernel.kallsyms]         [k] __restore_fpregs_from_fpstate
     0.53%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] update_process_times
     0.52%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] tick_sched_handle
     0.52%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] move_to_new_page
     0.52%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_page
     0.51%     0.24%  java             [kernel.kallsyms]         [k] charge_memcg
     0.49%     0.04%  java             [kernel.kallsyms]         [k] lru_cache_add
     0.48%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] schedule
     0.47%     0.09%  LocalJobRunner   [kernel.kallsyms]         [k] __schedule
