# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11935416462012
#
# Children      Self  Command          Shared Object      Symbol                                                        
# ........  ........  ...............  .................  ..............................................................
#
     0.84%     0.01%  java             [kernel.kallsyms]  [k] do_syscall_64
     0.84%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     0.83%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] __mark_inode_dirty
     0.83%     0.82%  java             [kernel.kallsyms]  [k] clear_page_erms
     0.81%     0.06%  InMemoryMerger   [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.81%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_dirty_inode
     0.77%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_end
     0.76%     0.00%  java             [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.76%     0.08%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     0.76%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] generic_write_end
     0.74%     0.00%  java             [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.74%     0.43%  localfetcher#1   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.73%     0.33%  java             [kernel.kallsyms]  [k] __count_memcg_events
     0.71%     0.51%  java             [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.68%     0.67%  localfetcher#1   [kernel.kallsyms]  [k] clear_page_erms
     0.68%     0.00%  VM Thread        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.68%     0.67%  java             [kernel.kallsyms]  [k] copy_page
     0.68%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_syscall_64
     0.67%     0.47%  InMemoryMerger   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.66%     0.05%  java             [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.66%     0.00%  java             [kernel.kallsyms]  [k] try_to_migrate
     0.66%     0.05%  localfetcher#1   [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.62%     0.00%  VM Thread        [kernel.kallsyms]  [k] __x64_sys_mmap
     0.62%     0.00%  VM Thread        [kernel.kallsyms]  [k] ksys_mmap_pgoff
     0.62%     0.00%  VM Thread        [kernel.kallsyms]  [k] vm_mmap_pgoff
