# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 131K of event 'cycles'
# Event count (approx.): 2536711226545
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.36%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.36%     0.00%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.36%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     0.36%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.35%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages_slowpath.constprop.0
     0.35%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_push
     0.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap
     0.34%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.34%     0.31%  NonPeriodicTask  [kernel.kallsyms]                   [k] release_pages
     0.33%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_try_to_free_pages
     0.33%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] shrink_node
     0.33%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_free_pages
     0.33%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_call_function
     0.32%     0.03%  swapper          [kernel.kallsyms]                   [k] tick_nohz_get_sleep_length
     0.32%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.31%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.31%     0.03%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.31%     0.00%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.30%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_complete_rq
     0.30%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.30%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     0.30%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.30%     0.14%  Native-Transpor  [kernel.kallsyms]                   [k] update_load_avg
     0.30%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap
     0.30%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
     0.29%     0.06%  swapper          [kernel.kallsyms]                   [k] enqueue_entity
     0.29%     0.00%  swapper          [kernel.kallsyms]                   [k] blk_mq_end_request
     0.29%     0.04%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_from_idle
     0.29%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.29%     0.13%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.29%     0.15%  swapper          [kernel.kallsyms]                   [k] set_next_entity
     0.29%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.28%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __set_task_comm
     0.28%     0.05%  kswapd0          [kernel.kallsyms]                   [k] page_referenced_one
     0.28%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_out
     0.28%     0.03%  kswapd1          [kernel.kallsyms]                   [k] __remove_mapping
     0.28%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     0.28%     0.03%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.27%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] shrink_lruvec
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.27%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] switch_fpu_return
     0.27%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     0.27%     0.00%  kswapd1          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.27%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_call_function
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     0.27%     0.03%  kswapd1          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.27%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_output
     0.26%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output
     0.26%     0.17%  swapper          [kernel.kallsyms]                   [k] update_load_avg
     0.26%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm
     0.26%     0.08%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_entity
     0.26%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_finish_output
     0.25%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.25%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output2
     0.25%     0.02%  swapper          [kernel.kallsyms]                   [k] blk_update_request
     0.25%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_task_change
     0.25%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sk_page_frag_refill
     0.25%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] skb_page_frag_refill
     0.25%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] perf_iterate_sb
     0.25%     0.12%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.24%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] alloc_pages
     0.24%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __alloc_pages
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.24%     0.00%  kswapd1          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.24%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.24%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.24%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.24%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.24%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
     0.24%     0.23%  Native-Transpor  [kernel.kallsyms]                   [k] xas_load
     0.23%     0.03%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.23%     0.23%  Native-Transpor  [kernel.kallsyms]                   [k] __restore_fpregs_from_fpstate
     0.23%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_da_write_begin
     0.22%     0.00%  swapper          [kernel.kallsyms]                   [k] bio_endio
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] skb_copy_datagram_iter
     0.22%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.22%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.22%     0.15%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_page_range
     0.22%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __skb_datagram_iter
     0.22%     0.16%  NonPeriodicTask  [kernel.kallsyms]                   [k] xas_find
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_sleeper_start_expires
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] evict_pages
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task
     0.22%     0.20%  kswapd0          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.21%     0.01%  swapper          [kernel.kallsyms]                   [k] irq_exit_rcu
     0.21%     0.00%  kswapd0          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.21%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] simple_copy_to_iter
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] shrink_page_list
     0.21%     0.00%  kswapd1          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.21%     0.03%  kswapd0          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.21%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.21%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_common_interrupt
     0.21%     0.14%  kswapd1          [kernel.kallsyms]                   [k] isolate_pages
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_finish_plug
     0.21%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] common_interrupt
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.21%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_start_range_ns
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __common_interrupt
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_softirq
     0.20%     0.02%  swapper          [kernel.kallsyms]                   [k] sched_ttwu_pending
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_flush_plug_list
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.20%     0.00%  swapper          [kernel.kallsyms]                   [k] mpage_end_io
     0.20%     0.20%  cluster1-nio-wo  [kernel.kallsyms]                   [k] copy_user_enhanced_fast_string
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_out
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_edge_irq
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] net_rx_action
     0.20%     0.01%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.20%     0.19%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_group_change
     0.19%     0.12%  kswapd0          [kernel.kallsyms]                   [k] isolate_pages
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __napi_poll
     0.19%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] lru_cache_add
     0.19%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_output
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] process_backlog
     0.19%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_irq_event
     0.19%     0.04%  swapper          [kernel.kallsyms]                   [k] __read_end_io
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb
     0.19%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_queue_rq
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb_one_core
     0.18%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm_output
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_finish_output
     0.18%     0.00%  swapper          [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output2
     0.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_rcv
     0.18%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_process_cq
     0.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_irq
     0.17%     0.15%  kswapd1          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_deliver
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_deliver_finish
     0.17%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] update_curr
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_protocol_deliver_rcu
     0.17%     0.17%  swapper          [kernel.kallsyms]                   [k] __switch_to_asm
     0.17%     0.16%  NonPeriodicTask  [kernel.kallsyms]                   [k] unlock_page
     0.17%     0.01%  CompactionExecu  [kernel.kallsyms]                   [k] pagecache_get_page
     0.17%     0.04%  kswapd1          [kernel.kallsyms]                   [k] xas_store
     0.17%     0.04%  swapper          [kernel.kallsyms]                   [k] tick_nohz_next_event
