# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10607535979821
#
# Children      Self  Command          Shared Object                          Symbol                                                                                                                                                                        
# ........  ........  ...............  .....................................  ..............................................................................................................................................................................
#
     0.38%     0.04%  tclsh8.6         [kernel.kallsyms]                      [k] dequeue_task_fair
     0.38%     0.01%  tclsh8.6         [kernel.kallsyms]                      [k] skb_copy_datagram_iter
     0.37%     0.04%  mariadbd         [kernel.kallsyms]                      [k] gup_pud_range.constprop.0
     0.37%     0.20%  mariadbd         [kernel.kallsyms]                      [k] mark_wake_futex
     0.37%     0.01%  mariadbd         [kernel.kallsyms]                      [k] unix_stream_read_actor
     0.37%     0.02%  tclsh8.6         [kernel.kallsyms]                      [k] __skb_datagram_iter
     0.37%     0.12%  mariadbd         [kernel.kallsyms]                      [k] default_send_IPI_single_phys
     0.36%     0.36%  mariadbd         [kernel.kallsyms]                      [k] update_cfs_rq_h_load
     0.36%     0.05%  swapper          [kernel.kallsyms]                      [k] load_balance
     0.36%     0.01%  mariadbd         [kernel.kallsyms]                      [k] __mark_inode_dirty
     0.36%     0.01%  mariadbd         [kernel.kallsyms]                      [k] skb_copy_datagram_iter
     0.35%     0.06%  mariadbd         [kernel.kallsyms]                      [k] check_preempt_curr
     0.35%     0.05%  swapper          [kernel.kallsyms]                      [k] clockevents_program_event
     0.35%     0.02%  mariadbd         [kernel.kallsyms]                      [k] __skb_datagram_iter
     0.34%     0.05%  swapper          [kernel.kallsyms]                      [k] __hrtimer_start_range_ns
     0.34%     0.01%  tclsh8.6         [kernel.kallsyms]                      [k] obj_cgroup_charge
     0.34%     0.10%  mariadbd         [kernel.kallsyms]                      [k] amd_pmu_wait_on_overflow
     0.34%     0.34%  swapper          [kernel.kallsyms]                      [k] __update_load_avg_cfs_rq
     0.33%     0.07%  tclsh8.6         [kernel.kallsyms]                      [k] select_task_rq_fair
     0.33%     0.23%  mariadbd         [kernel.kallsyms]                      [k] update_rq_clock_task
     0.33%     0.03%  swapper          [kernel.kallsyms]                      [k] hrtimer_next_event_without
     0.33%     0.05%  mariadbd         [kernel.kallsyms]                      [k] select_idle_core
     0.33%     0.20%  swapper          [kernel.kallsyms]                      [k] x86_pmu_disable_all
     0.33%     0.11%  mariadbd         [kernel.kallsyms]                      [k] gup_pmd_range.constprop.0
     0.33%     0.00%  mariadbd         [kernel.kallsyms]                      [k] grab_cache_page_write_begin
     0.32%     0.01%  tclsh8.6         [kernel.kallsyms]                      [k] skb_release_head_state
     0.32%     0.04%  tclsh8.6         [kernel.kallsyms]                      [k] dequeue_entity
     0.32%     0.01%  mariadbd         [kernel.kallsyms]                      [k] ext4_dirty_inode
     0.32%     0.32%  swapper          [kernel.kallsyms]                      [k] llist_reverse_order
