# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 860K of event 'cycles'
# Event count (approx.): 1610038469085
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                     
# ........  ........  ...............  ...................................  ...........................................................................................................................................................
#
     0.53%     0.00%  GC Thread#16     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.53%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] tick_sched_handle
     0.53%     0.01%  GC Thread#5      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.53%     0.02%  GC Thread#4      [kernel.kallsyms]                    [k] update_process_times
     0.53%     0.00%  GC Thread#16     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.53%     0.01%  GC Thread#21     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.53%     0.00%  G1 Conc#1        [kernel.kallsyms]                    [k] tick_sched_handle
     0.53%     0.03%  Executor task l  [kernel.kallsyms]                    [k] get_page_from_freelist
     0.53%     0.00%  GC Thread#10     [kernel.kallsyms]                    [k] __run_hrtimer
     0.53%     0.00%  G1 Conc#0        [kernel.kallsyms]                    [k] tick_sched_handle
