# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7669860942578
#
# Children      Self  Command          Shared Object         Symbol                                                        
# ........  ........  ...............  ....................  ..............................................................
#
     0.66%     0.17%  LocalJobRunner   [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.66%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_handle
     0.66%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_futex
     0.66%     0.02%  VM Thread        [kernel.kallsyms]     [k] handle_mm_fault
     0.65%     0.54%  kswapd0          [kernel.kallsyms]     [k] walk_pud_range
     0.65%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] do_futex
     0.64%     0.58%  java             [kernel.kallsyms]     [k] page_counter_charge
     0.64%     0.00%  java             [kernel.kallsyms]     [k] __mem_cgroup_uncharge
     0.63%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __page_cache_alloc
     0.63%     0.48%  LocalJobRunner   [kernel.kallsyms]     [k] try_charge_memcg
     0.63%     0.51%  LocalJobRunner   [kernel.kallsyms]     [k] rmqueue_bulk
     0.62%     0.25%  java             [kernel.kallsyms]     [k] flush_smp_call_function_queue
     0.62%     0.00%  kswapd1          [kernel.kallsyms]     [k] try_to_inc_max_seq
     0.62%     0.00%  kswapd1          [kernel.kallsyms]     [k] __walk_page_range
     0.62%     0.00%  kswapd1          [kernel.kallsyms]     [k] walk_page_range
     0.62%     0.00%  kswapd1          [kernel.kallsyms]     [k] arch_tlbbatch_flush
     0.62%     0.00%  kswapd1          [kernel.kallsyms]     [k] try_to_unmap_flush_dirty
     0.61%     0.11%  LocalJobRunner   [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited
     0.60%     0.01%  kswapd1          [kernel.kallsyms]     [k] native_flush_tlb_multi
     0.60%     0.57%  LocalJobRunner   [kernel.kallsyms]     [k] __ptep_modify_prot_start
     0.59%     0.11%  VM Thread        [kernel.kallsyms]     [k] __handle_mm_fault
     0.59%     0.00%  VM Thread        [kernel.kallsyms]     [k] tlb_flush_mmu
     0.59%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] exc_page_fault
     0.59%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.58%     0.04%  java             [kernel.kallsyms]     [k] uncharge_batch
     0.58%     0.45%  kswapd1          [kernel.kallsyms]     [k] walk_pud_range
     0.57%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] hrtimer_interrupt
     0.57%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_sync_ra
     0.57%     0.00%  kswapd1          [kernel.kallsyms]     [k] on_each_cpu_cond_mask
     0.56%     0.54%  java             [kernel.kallsyms]     [k] task_numa_fault
     0.56%     0.09%  java             [kernel.kallsyms]     [k] pick_next_task_fair
     0.56%     0.07%  java             [kernel.kallsyms]     [k] lru_cache_add
     0.55%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] do_user_addr_fault
     0.54%     0.00%  VM Thread        [kernel.kallsyms]     [k] free_pages_and_swap_cache
     0.53%     0.11%  VM Thread        [kernel.kallsyms]     [k] release_pages
     0.53%     0.45%  LocalJobRunner   [kernel.kallsyms]     [k] get_mem_cgroup_from_mm
     0.53%     0.01%  java             [kernel.kallsyms]     [k] page_counter_uncharge
     0.53%     0.04%  java             [kernel.kallsyms]     [k] remove_migration_pte
     0.53%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] lock_page_lruvec_irqsave
     0.51%     0.40%  java             [kernel.kallsyms]     [k] error_entry
     0.51%     0.00%  kswapd0          [kernel.kallsyms]     [k] try_to_unmap_flush_dirty
     0.51%     0.00%  kswapd0          [kernel.kallsyms]     [k] arch_tlbbatch_flush
     0.50%     0.01%  kswapd0          [kernel.kallsyms]     [k] native_flush_tlb_multi
     0.50%     0.45%  java             [kernel.kallsyms]     [k] page_counter_cancel
     0.49%     0.29%  LocalJobRunner   [kernel.kallsyms]     [k] lru_gen_add_page
     0.49%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.48%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] move_to_new_page
     0.48%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_page
     0.48%     0.01%  java             [kernel.kallsyms]     [k] scheduler_tick
     0.47%     0.01%  Sampler Reader   [kernel.kallsyms]     [k] handle_mm_fault
     0.47%     0.00%  kswapd0          [kernel.kallsyms]     [k] on_each_cpu_cond_mask
     0.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] balance_dirty_pages
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] mem_cgroup_wb_stats
     0.46%     0.21%  java             [kernel.kallsyms]     [k] charge_memcg
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     0.46%     0.34%  LocalJobRunner   [kernel.kallsyms]     [k] _raw_spin_lock
     0.45%     0.36%  kswapd1          [kernel.kallsyms]     [k] smp_call_function_many_cond
     0.44%     0.03%  Sampler Reader   [kernel.kallsyms]     [k] __handle_mm_fault
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] kthread
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ret_from_fork
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] worker_thread
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] process_one_work
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.44%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __ext4_journal_start_sb
     0.43%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.43%     0.08%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.43%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] tick_sched_timer
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] worker_thread
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] kthread
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ret_from_fork
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] process_one_work
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.42%     0.42%  java             libc.so.6             [.] 0x00000000001b29bf
     0.42%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.42%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kthread
     0.42%     0.00%  kcompactd1       [kernel.kallsyms]     [k] ret_from_fork
     0.42%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kcompactd
     0.42%     0.07%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.42%     0.00%  kcompactd1       [kernel.kallsyms]     [k] compact_zone
     0.42%     0.00%  kcompactd1       [kernel.kallsyms]     [k] proactive_compact_node
     0.41%     0.04%  java             [kernel.kallsyms]     [k] switch_fpu_return
     0.41%     0.01%  java             [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.41%     0.16%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_mark_iloc_dirty
     0.40%     0.00%  kcompactd1       [kernel.kallsyms]     [k] migrate_pages
     0.40%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] update_process_times
     0.40%     0.08%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.40%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.40%     0.00%  java             [kernel.kallsyms]     [k] __alloc_pages_slowpath.constprop.0
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] tick_sched_handle
     0.39%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] jbd2__journal_start
     0.39%     0.29%  kswapd0          [kernel.kallsyms]     [k] smp_call_function_many_cond
     0.39%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     0.37%     0.37%  java             [kernel.kallsyms]     [k] __restore_fpregs_from_fpstate
     0.36%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] __block_commit_write.constprop.0.isra.0
     0.36%     0.00%  kswapd1          [kernel.kallsyms]     [k] rmap_walk
     0.36%     0.35%  LocalJobRunner   [kernel.kallsyms]     [k] __get_user_nocheck_1
     0.36%     0.17%  java             [kernel.kallsyms]     [k] flush_tlb_func
     0.36%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] create_empty_buffers
     0.36%     0.00%  java             [kernel.kallsyms]     [k] try_to_free_pages
     0.35%     0.00%  java             [kernel.kallsyms]     [k] do_try_to_free_pages
     0.35%     0.00%  java             [kernel.kallsyms]     [k] shrink_node
     0.35%     0.01%  java             [kernel.kallsyms]     [k] native_flush_tlb_multi
     0.35%     0.00%  java             [kernel.kallsyms]     [k] shrink_lruvec
     0.35%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] schedule
     0.35%     0.00%  java             [kernel.kallsyms]     [k] evict_pages
     0.34%     0.05%  java             [kernel.kallsyms]     [k] ptep_clear_flush
     0.34%     0.01%  kswapd1          [kernel.kallsyms]     [k] rmap_walk_anon
