# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6099289334419
#
# Children      Self  Command          Shared Object             Symbol                                                                                                                                                                           
# ........  ........  ...............  ........................  .................................................................................................................................................................................
#
     0.85%     0.01%  tclsh8.6         [kernel.kallsyms]         [k] __wake_up_common_lock
     0.85%     0.01%  tclsh8.6         [kernel.kallsyms]         [k] sock_alloc_send_pskb
     0.84%     0.72%  mariadbd         [kernel.kallsyms]         [k] ext4_es_lookup_extent
     0.84%     0.22%  mariadbd         [kernel.kallsyms]         [k] wake_affine_weight
     0.83%     0.10%  mariadbd         [kernel.kallsyms]         [k] nvme_queue_rq
     0.83%     0.05%  tclsh8.6         [kernel.kallsyms]         [k] alloc_skb_with_frags
     0.82%     0.06%  tclsh8.6         [kernel.kallsyms]         [k] __wake_up_common
     0.82%     0.13%  tclsh8.6         [kernel.kallsyms]         [k] __schedule
     0.81%     0.24%  swapper          [kernel.kallsyms]         [k] enqueue_entity
     0.81%     0.02%  tclsh8.6         [kernel.kallsyms]         [k] sock_def_readable
     0.81%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_lruvec
     0.80%     0.01%  swapper          [kernel.kallsyms]         [k] __common_interrupt
     0.80%     0.40%  mariadbd         [kernel.kallsyms]         [k] x86_pmu_disable_all
     0.79%     0.02%  swapper          [kernel.kallsyms]         [k] handle_edge_irq
     0.78%     0.06%  tclsh8.6         [kernel.kallsyms]         [k] __alloc_skb
     0.77%     0.03%  tclsh8.6         [kernel.kallsyms]         [k] try_to_wake_up
     0.76%     0.04%  tclsh8.6         [kernel.kallsyms]         [k] pollwake
     0.76%     0.02%  swapper          [kernel.kallsyms]         [k] tick_nohz_idle_stop_tick
     0.75%     0.02%  mariadbd         [kernel.kallsyms]         [k] __read_extent_tree_block
     0.74%     0.02%  mariadbd         [kernel.kallsyms]         [k] flush_tlb_mm_range
     0.74%     0.05%  swapper          [kernel.kallsyms]         [k] tick_nohz_get_sleep_length
     0.74%     0.00%  swapper          [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     0.74%     0.01%  swapper          [kernel.kallsyms]         [k] handle_irq_event
     0.73%     0.00%  mariadbd         [kernel.kallsyms]         [k] ptep_clear_flush
     0.73%     0.01%  swapper          [kernel.kallsyms]         [k] hrtimer_interrupt
     0.73%     0.01%  mariadbd         [kernel.kallsyms]         [k] __getblk_gfp
     0.72%     0.13%  mariadbd         [kernel.kallsyms]         [k] __irq_exit_rcu
     0.72%     0.01%  mariadbd         [kernel.kallsyms]         [k] __find_get_block
     0.71%     0.01%  swapper          [kernel.kallsyms]         [k] __handle_irq_event_percpu
     0.70%     0.09%  mariadbd         [kernel.kallsyms]         [k] task_tick_fair
     0.70%     0.38%  mariadbd         [kernel.kallsyms]         [k] finish_task_switch.isra.0
     0.70%     0.01%  swapper          [kernel.kallsyms]         [k] nvme_irq
     0.69%     0.02%  mariadbd         [kernel.kallsyms]         [k] iomap_dio_bio_end_io
     0.69%     0.06%  swapper          [kernel.kallsyms]         [k] nvme_process_cq
     0.69%     0.04%  swapper          [kernel.kallsyms]         [k] __irq_exit_rcu
     0.68%     0.35%  swapper          [kernel.kallsyms]         [k] update_load_avg
     0.68%     0.25%  mariadbd         [kernel.kallsyms]         [k] set_task_cpu
     0.67%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_inactive_list
     0.66%     0.04%  mariadbd         [kernel.kallsyms]         [k] exit_to_user_mode_loop
     0.63%     0.11%  swapper          [kernel.kallsyms]         [k] pick_next_task_fair
     0.62%     0.62%  mariadbd         [kernel.kallsyms]         [k] update_cfs_group
     0.61%     0.61%  mariadbd         [kernel.kallsyms]         [k] update_cfs_rq_h_load
     0.61%     0.01%  kswapd0          [kernel.kallsyms]         [k] shrink_page_list
     0.60%     0.00%  swapper          [kernel.kallsyms]         [k] __hrtimer_run_queues
     0.60%     0.01%  swapper          [kernel.kallsyms]         [k] __softirqentry_text_start
