# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cycles'
# Event count (approx.): 577830700520
#
# Children      Self  Command          Shared Object      Symbol                                          
# ........  ........  ...............  .................  ................................................
#
     0.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_get_inode_loc
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]  [k] page_counter_uncharge
     0.15%     0.07%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_get_inode_loc
     0.15%     0.13%  C2 CompilerThre  [kernel.kallsyms]  [k] __free_one_page
     0.15%     0.02%  kcompactd1       [kernel.kallsyms]  [k] free_unref_page
     0.15%     0.01%  java             [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.15%     0.00%  kcompactd1       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.15%     0.00%  kcompactd1       [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.15%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ptep_clear_flush
     0.15%     0.00%  swapper          [kernel.kallsyms]  [k] rcu_core_si
     0.15%     0.09%  swapper          [kernel.kallsyms]  [k] rcu_core
     0.15%     0.02%  kcompactd0       [kernel.kallsyms]  [k] free_unref_page
     0.14%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] node_dirty_ok
     0.14%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] xa_get_order
     0.14%     0.13%  pool-4-thread-1  [kernel.kallsyms]  [k] change_protection
     0.14%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] charge_memcg
     0.14%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] _raw_read_lock
     0.14%     0.10%  kcompactd1       [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.14%     0.13%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_node_page_state
     0.14%     0.01%  java             [kernel.kallsyms]  [k] lock_page_lruvec_irqsave
     0.14%     0.12%  pool-4-thread-1  [kernel.kallsyms]  [k] xas_start
     0.13%     0.09%  kcompactd0       [kernel.kallsyms]  [k] isolate_migratepages_block
     0.13%     0.02%  kcompactd0       [kernel.kallsyms]  [k] migrate_page_move_mapping
     0.13%     0.13%  pool-4-thread-1  [kernel.kallsyms]  [k] crc32c_pcl_intel_update
     0.13%     0.13%  pool-4-thread-1  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.13%     0.13%  java             [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.13%     0.02%  java             [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.13%     0.12%  kcompactd0       [kernel.kallsyms]  [k] page_cpupid_xchg_last
     0.13%     0.01%  java             [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.13%     0.01%  kcompactd1       [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.13%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] stop_this_handle
     0.12%     0.09%  pool-4-thread-1  [kernel.kallsyms]  [k] lru_gen_update_size
