# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 716K of event 'cycles'
# Event count (approx.): 10058435022841
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     1.11%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] mem_cgroup_flush_stats
     1.10%     1.09%  pool-4-thread-1  [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     1.09%     1.08%  java             [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     1.09%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit
     1.09%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     1.08%     1.08%  swapper          [unknown]                 [.] 0000000000000000
     1.08%     0.18%  InMemoryMerger   [kernel.kallsyms]         [k] cgroup_rstat_flush_locked
     1.08%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] grab_cache_page_write_begin
     1.07%     0.60%  java             [kernel.kallsyms]         [k] cgroup_rstat_updated
     1.07%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_da_write_end
     1.06%     0.00%  java             [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     1.05%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] generic_write_end
     1.05%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_work_run
     1.05%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_numa_work
     1.05%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] change_prot_numa
     1.05%     1.05%  LocalJobRunner   [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     1.04%     0.00%  java             [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     1.00%     0.01%  java             [kernel.kallsyms]         [k] __x64_sys_sched_yield
     0.98%     0.04%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
     0.96%     0.03%  java             [kernel.kallsyms]         [k] do_sched_yield
     0.96%     0.92%  LocalJobRunner   [kernel.kallsyms]         [k] change_protection
     0.91%     0.08%  java             [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     0.90%     0.26%  java             [kernel.kallsyms]         [k] __count_memcg_events
     0.89%     0.12%  pool-4-thread-1  [kernel.kallsyms]         [k] __handle_mm_fault
     0.87%     0.57%  localfetcher#1   [kernel.kallsyms]         [k] __add_to_page_cache_locked
     0.86%     0.85%  java             [kernel.kallsyms]         [k] sync_regs
     0.86%     0.85%  InMemoryMerger   [kernel.kallsyms]         [k] mem_cgroup_css_rstat_flush
     0.82%     0.07%  LocalJobRunner   [kernel.kallsyms]         [k] get_page_from_freelist
     0.82%     0.07%  localfetcher#1   [kernel.kallsyms]         [k] __mem_cgroup_charge
     0.82%     0.07%  java             [kernel.kallsyms]         [k] migrate_pages
     0.80%     0.04%  pool-4-thread-1  [kernel.kallsyms]         [k] __alloc_pages
     0.78%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] alloc_pages
     0.77%     0.03%  pool-4-thread-1  [kernel.kallsyms]         [k] __mark_inode_dirty
     0.76%     0.01%  java             [kernel.kallsyms]         [k] schedule
     0.76%     0.11%  pool-4-thread-1  [kernel.kallsyms]         [k] get_page_from_freelist
     0.75%     0.28%  java             [kernel.kallsyms]         [k] _raw_spin_lock
     0.74%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_dirty_inode
     0.74%     0.17%  java             [kernel.kallsyms]         [k] __schedule
     0.74%     0.40%  LocalJobRunner   [kernel.kallsyms]         [k] __add_to_page_cache_locked
     0.73%     0.01%  localfetcher#1   [kernel.kallsyms]         [k] __alloc_pages_slowpath.constprop.0
     0.71%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __alloc_pages_slowpath.constprop.0
     0.69%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_end
     0.69%     0.01%  java             [kernel.kallsyms]         [k] __alloc_pages
     0.68%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] generic_write_end
     0.67%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __page_cache_alloc
     0.66%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] try_to_free_pages
     0.66%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] do_try_to_free_pages
     0.66%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] shrink_node
     0.65%     0.01%  java             [kernel.kallsyms]         [k] find_vma
     0.65%     0.64%  java             [kernel.kallsyms]         [k] vmacache_find
     0.62%     0.59%  pool-4-thread-1  [kernel.kallsyms]         [k] _raw_spin_lock
     0.62%     0.07%  LocalJobRunner   [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.61%     0.01%  java             [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     0.61%     0.60%  LocalJobRunner   [kernel.kallsyms]         [k] clear_page_erms
     0.60%     0.02%  java             [kernel.kallsyms]         [k] hrtimer_interrupt
     0.60%     0.22%  localfetcher#1   [kernel.kallsyms]         [k] charge_memcg
     0.60%     0.05%  InMemoryMerger   [kernel.kallsyms]         [k] add_to_page_cache_lru
     0.59%     0.00%  java             [kernel.kallsyms]         [k] alloc_pages_vma
     0.58%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
     0.58%     0.53%  kswapd1          [kernel.kallsyms]         [k] isolate_lru_pages
     0.57%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] balance_dirty_pages_ratelimited
     0.56%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_sync_ra
     0.56%     0.01%  kswapd1          [kernel.kallsyms]         [k] rmap_walk
     0.55%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_futex
     0.54%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] do_futex
     0.54%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] try_to_free_pages
