# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3639496606870
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ...................................  ...............................................................................................................................................................................................................
#
     0.60%     0.00%  Executor task l  [kernel.kallsyms]                    [k] path_openat
     0.60%     0.00%  kswapd0          [kernel.kallsyms]                    [k] super_cache_scan
     0.60%     0.60%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_active
     0.59%     0.23%  Executor task l  [kernel.kallsyms]                    [k] lru_gen_add_page
     0.59%     0.00%  kswapd0          [kernel.kallsyms]                    [k] prune_icache_sb
     0.59%     0.00%  kswapd0          [kernel.kallsyms]                    [k] __list_lru_walk_one
     0.59%     0.00%  kswapd0          [kernel.kallsyms]                    [k] list_lru_walk_one
     0.58%     0.01%  kswapd0          [kernel.kallsyms]                    [k] __invalidate_mapping_pages
     0.58%     0.00%  kswapd0          [kernel.kallsyms]                    [k] inode_lru_isolate
     0.57%     0.39%  Executor task l  [kernel.kallsyms]                    [k] _raw_spin_lock
     0.55%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __ext4_journal_start_sb
     0.55%     0.16%  Executor task l  [kernel.kallsyms]                    [k] __mod_lruvec_page_state
     0.55%     0.33%  Executor task l  [kernel.kallsyms]                    [k] irqtime_account_irq
     0.54%     0.01%  Executor task l  [kernel.kallsyms]                    [k] file_update_time
     0.53%     0.38%  Executor task l  [kernel.kallsyms]                    [k] __cgroup_account_cputime_field
     0.52%     0.51%  Executor task l  [kernel.kallsyms]                    [k] memset
     0.51%     0.01%  Executor task l  [kernel.kallsyms]                    [k] generic_update_time
     0.51%     0.02%  Executor task l  [kernel.kallsyms]                    [k] create_page_buffers
     0.51%     0.01%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_end_request
     0.50%     0.03%  Executor task l  [kernel.kallsyms]                    [k] create_empty_buffers
     0.49%     0.05%  Executor task l  [kernel.kallsyms]                    [k] jbd2__journal_start
     0.47%     0.03%  Executor task l  [kernel.kallsyms]                    [k] zero_user_segments
     0.47%     0.47%  Executor task l  [kernel.kallsyms]                    [k] update_cfs_group
     0.47%     0.02%  Executor task l  [kernel.kallsyms]                    [k] syscall_exit_to_user_mode
     0.46%     0.04%  Executor task l  [kernel.kallsyms]                    [k] alloc_page_buffers
     0.46%     0.44%  Executor task l  [kernel.kallsyms]                    [k] xas_start
     0.44%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] mpage_map_and_submit_extent
     0.44%     0.13%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_wait_on_overflow
     0.43%     0.08%  Executor task l  [kernel.kallsyms]                    [k] blk_update_request
     0.42%     0.01%  Executor task l  [kernel.kallsyms]                    [k] alloc_buffer_head
     0.42%     0.32%  Executor task l  [kernel.kallsyms]                    [k] sched_slice
     0.42%     0.30%  Executor task l  [kernel.kallsyms]                    [k] __mod_memcg_lruvec_state
     0.42%     0.42%  Executor task l  [kernel.kallsyms]                    [k] check_cpu_stall
     0.40%     0.04%  Executor task l  [kernel.kallsyms]                    [k] nvme_map_data
     0.40%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] worker_thread
     0.40%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] kthread
     0.40%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] ret_from_fork
     0.40%     0.40%  Executor task l  [kernel.kallsyms]                    [k] __irqentry_text_end
     0.40%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ext4_reserve_inode_write
     0.40%     0.04%  Executor task l  [kernel.kallsyms]                    [k] clockevents_program_event
     0.40%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] process_one_work
     0.40%     0.03%  kswapd0          [kernel.kallsyms]                    [k] page_cache_delete
     0.39%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] mpage_map_and_submit_buffers
     0.39%     0.03%  Executor task l  [kernel.kallsyms]                    [k] xa_load
     0.39%     0.39%  Executor task l  [kernel.kallsyms]                    [k] update_irq_load_avg
     0.38%     0.05%  kswapd0          [kernel.kallsyms]                    [k] free_unref_page_list
     0.38%     0.06%  kswapd0          [kernel.kallsyms]                    [k] xas_store
     0.38%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_get_block_prep
     0.37%     0.35%  Executor task l  [kernel.kallsyms]                    [k] get_mem_cgroup_from_mm
     0.37%     0.37%  Executor task l  [kernel.kallsyms]                    [k] arch_scale_freq_tick
     0.36%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_futex
     0.36%     0.01%  kworker/u64:37-  [kernel.kallsyms]                    [k] mpage_prepare_extent_to_map
     0.36%     0.05%  Executor task l  [kernel.kallsyms]                    [k] rcu_core
     0.36%     0.05%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_map_blocks.constprop.0
     0.36%     0.01%  Executor task l  [kernel.kallsyms]                    [k] do_futex
     0.36%     0.13%  Executor task l  [kernel.kallsyms]                    [k] timerqueue_del
     0.36%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __block_commit_write.constprop.0.isra.0
     0.35%     0.22%  Executor task l  [kernel.kallsyms]                    [k] try_charge_memcg
     0.34%     0.07%  Executor task l  [kernel.kallsyms]                    [k] pick_next_task_fair
     0.33%     0.07%  Executor task l  [kernel.kallsyms]                    [k] enqueue_hrtimer
     0.33%     0.04%  Executor task l  [kernel.kallsyms]                    [k] load_balance
     0.33%     0.00%  kworker/u64:35-  [kernel.kallsyms]                    [k] kthread
     0.33%     0.00%  kworker/u64:35-  [kernel.kallsyms]                    [k] ret_from_fork
     0.33%     0.00%  kworker/u64:35-  [kernel.kallsyms]                    [k] worker_thread
     0.33%     0.10%  Executor task l  [kernel.kallsyms]                    [k] xa_get_order
     0.33%     0.14%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_do_timer
     0.32%     0.00%  kworker/u64:35-  [kernel.kallsyms]                    [k] process_one_work
     0.32%     0.16%  Executor task l  [kernel.kallsyms]                    [k] balance_dirty_pages_ratelimited
     0.32%     0.14%  Executor task l  [kernel.kallsyms]                    [k] start_this_handle
     0.31%     0.03%  Executor task l  [kernel.kallsyms]                    [k] ext4_map_blocks
     0.31%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] move_to_new_page
     0.31%     0.31%  Executor task l  [kernel.kallsyms]                    [k] update_min_vruntime
     0.31%     0.31%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable
     0.30%     0.03%  Executor task l  [kernel.kallsyms]                    [k] ext4_inode_csum_set
     0.30%     0.03%  Executor task l  [kernel.kallsyms]                    [k] mark_buffer_dirty
     0.30%     0.00%  kswapd0          [kernel.kallsyms]                    [k] isolate_pages
     0.30%     0.02%  Executor task l  [kernel.kallsyms]                    [k] __ext4_journal_stop
     0.29%     0.04%  kswapd0          [kernel.kallsyms]                    [k] free_pcppages_bulk
     0.29%     0.02%  kswapd0          [kernel.kallsyms]                    [k] scan_pages
     0.29%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ext4_get_inode_loc
     0.29%     0.05%  Executor task l  [kernel.kallsyms]                    [k] rebalance_domains
     0.28%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] migrate_page
     0.28%     0.28%  Executor task l  [kernel.kallsyms]                    [k] tick_program_event
     0.28%     0.07%  Executor task l  [kernel.kallsyms]                    [k] error_entry
     0.28%     0.06%  Executor task l  [kernel.kallsyms]                    [k] syscall_exit_work
     0.28%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] mpage_submit_page
     0.28%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __ext4_get_inode_loc
     0.28%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] migrate_page_copy
     0.27%     0.27%  kcompactd0       [kernel.kallsyms]                    [k] copy_page
     0.27%     0.13%  Executor task l  [kernel.kallsyms]                    [k] jbd2_journal_stop
     0.27%     0.08%  Executor task l  [kernel.kallsyms]                    [k] ext4_inode_csum
     0.27%     0.11%  Executor task l  [kernel.kallsyms]                    [k] xas_create
     0.27%     0.00%  kworker/u64:35-  [kernel.kallsyms]                    [k] ext4_do_flush_completed_IO.isra.0
     0.27%     0.02%  Executor task l  [kernel.kallsyms]                    [k] try_to_wake_up
     0.27%     0.00%  kworker/u64:35-  [kernel.kallsyms]                    [k] ext4_release_io_end
     0.27%     0.10%  kworker/u64:35-  [kernel.kallsyms]                    [k] ext4_finish_bio
     0.26%     0.25%  Executor task l  [kernel.kallsyms]                    [k] timerqueue_add
     0.26%     0.25%  Executor task l  [kernel.kallsyms]                    [k] cgroup_rstat_updated
     0.26%     0.26%  Executor task l  [kernel.kallsyms]                    [k] irq_work_tick
     0.26%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] ext4_do_flush_completed_IO.isra.0
     0.25%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] ext4_release_io_end
     0.25%     0.09%  kworker/u64:38-  [kernel.kallsyms]                    [k] ext4_finish_bio
     0.25%     0.22%  Executor task l  [kernel.kallsyms]                    [k] alloc_pages
     0.25%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] default_send_IPI_mask_sequence_phys
     0.25%     0.25%  kcompactd0       [kernel.kallsyms]                    [k] __default_send_IPI_dest_field
     0.24%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __set_page_dirty
     0.24%     0.24%  Executor task l  [kernel.kallsyms]                    [k] __const_udelay
     0.24%     0.07%  Executor task l  [kernel.kallsyms]                    [k] sched_clock_cpu
     0.24%     0.22%  Executor task l  [kernel.kallsyms]                    [k] up_read
     0.23%     0.23%  Executor task l  [kernel.kallsyms]                    [k] rb_next
     0.23%     0.10%  Executor task l  [kernel.kallsyms]                    [k] __cond_resched
     0.23%     0.01%  swapper          [kernel.kallsyms]                    [k] asm_sysvec_call_function_single
     0.22%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __fdget_pos
     0.22%     0.02%  Executor task l  [kernel.kallsyms]                    [k] __mod_lruvec_state
     0.22%     0.19%  Executor task l  [kernel.kallsyms]                    [k] mem_cgroup_charge_statistics.constprop.0
     0.22%     0.06%  kworker/u64:37-  [kernel.kallsyms]                    [k] ext4_bio_write_page
     0.22%     0.13%  Executor task l  [kernel.kallsyms]                    [k] __audit_syscall_exit
     0.22%     0.04%  Executor task l  [kernel.kallsyms]                    [k] lock_page_lruvec_irqsave
     0.21%     0.00%  kswapd0          [kernel.kallsyms]                    [k] try_to_free_buffers
     0.21%     0.21%  Executor task l  [kernel.kallsyms]                    [k] irqtime_account_process_tick
     0.21%     0.00%  swapper          [kernel.kallsyms]                    [k] sysvec_call_function_single
     0.21%     0.21%  Executor task l  [kernel.kallsyms]                    [k] irq_enter_rcu
     0.21%     0.21%  Executor task l  [kernel.kallsyms]                    [k] sync_regs
     0.21%     0.00%  Executor task l  [kernel.kallsyms]                    [k] nvme_pci_complete_rq
     0.21%     0.04%  kswapd0          [kernel.kallsyms]                    [k] isolate_page
     0.21%     0.20%  kworker/u64:37-  [kernel.kallsyms]                    [k] mpage_process_page_bufs
     0.21%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __fget_light
     0.20%     0.19%  Executor task l  [kernel.kallsyms]                    [k] kmem_cache_free
     0.20%     0.16%  kswapd0          [kernel.kallsyms]                    [k] __free_one_page
     0.20%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ___slab_alloc
     0.20%     0.20%  Executor task l  [kernel.kallsyms]                    [k] __mod_node_page_state
     0.20%     0.20%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_addr_offset
     0.20%     0.06%  Executor task l  [kernel.kallsyms]                    [k] touch_atime
     0.19%     0.13%  Executor task l  [kernel.kallsyms]                    [k] ext4_es_lookup_extent
     0.19%     0.01%  Executor task l  [kernel.kallsyms]                    [k] futex_wait
     0.19%     0.00%  swapper          [kernel.kallsyms]                    [k] __irq_exit_rcu
     0.19%     0.17%  kswapd0          [kernel.kallsyms]                    [k] xas_create
     0.19%     0.00%  swapper          [kernel.kallsyms]                    [k] __softirqentry_text_start
     0.19%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] asm_exc_page_fault
     0.19%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] exc_page_fault
     0.19%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] do_user_addr_fault
     0.18%     0.02%  kswapd0          [kernel.kallsyms]                    [k] release_pages
     0.18%     0.00%  GC Thread#22     [kernel.kallsyms]                    [k] asm_exc_page_fault
     0.18%     0.00%  kswapd0          [kernel.kallsyms]                    [k] __pagevec_release
     0.18%     0.18%  kswapd0          [kernel.kallsyms]                    [k] __list_del_entry_valid
