# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3346000136016
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
     0.25%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] load_balance
     0.25%     0.15%  Executor task l  [kernel.kallsyms]                                 [k] alloc_pages
     0.25%     0.25%  Executor task l  [kernel.kallsyms]                                 [k] rb_next
     0.25%     0.09%  Executor task l  [kernel.kallsyms]                                 [k] sched_clock_cpu
     0.25%     0.20%  Executor task l  [kernel.kallsyms]                                 [k] mem_cgroup_charge_statistics.constprop.0
     0.24%     0.20%  kswapd0          [kernel.kallsyms]                                 [k] __free_one_page
     0.24%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] __mod_lruvec_state
     0.24%     0.00%  swapper          [kernel.kallsyms]                                 [k] sysvec_call_function_single
     0.24%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] mpage_map_and_submit_extent
     0.23%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] wb_check_old_data_flush
     0.23%     0.22%  kswapd0          [kernel.kallsyms]                                 [k] __list_del_entry_valid
     0.22%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] move_to_new_page
     0.22%     0.22%  Executor task l  [kernel.kallsyms]                                 [k] irq_enter_rcu
     0.22%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] touch_atime
     0.22%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] ext4_do_flush_completed_IO.isra.0
     0.22%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __fdget_pos
     0.22%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] rebalance_domains
     0.22%     0.07%  kworker/u64:37-  [kernel.kallsyms]                                 [k] ext4_finish_bio
     0.22%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] ext4_release_io_end
     0.21%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] try_to_free_buffers
     0.21%     0.21%  Executor task l  [kernel.kallsyms]                                 [k] sync_regs
     0.21%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] mpage_map_and_submit_buffers
     0.21%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] do_open
     0.21%     0.00%  C2 CompilerThre  [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.21%     0.21%  Executor task l  [kernel.kallsyms]                                 [k] cpuacct_charge
     0.21%     0.00%  G1 Refine#0      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.21%     0.21%  Executor task l  [kernel.kallsyms]                                 [k] __mod_node_page_state
