# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 2197247760119
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     0.13%     0.09%  kcompactd1       [kernel.kallsyms]   [k] vma_interval_tree_iter_next
     0.13%     0.11%  postgres         [kernel.kallsyms]   [k] PageHuge
     0.13%     0.00%  postgres         [kernel.kallsyms]   [k] sock_sendmsg
     0.13%     0.01%  kcompactd1       [kernel.kallsyms]   [k] ptep_clear_flush
     0.13%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] flush_tlb_mm_range
     0.13%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] native_flush_tlb_multi
     0.12%     0.00%  postgres         [kernel.kallsyms]   [k] alloc_pages
     0.12%     0.06%  postgres         [kernel.kallsyms]   [k] __mod_lruvec_page_state
     0.12%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] ptep_clear_flush
     0.12%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __x64_sys_poll
     0.12%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] do_sys_poll
     0.12%     0.12%  kcompactd1       [kernel.kallsyms]   [k] copy_page
     0.12%     0.03%  kcompactd1       [kernel.kallsyms]   [k] split_map_pages
     0.12%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] on_each_cpu_cond_mask
     0.12%     0.01%  kcompactd1       [kernel.kallsyms]   [k] flush_tlb_mm_range
     0.11%     0.09%  tclsh8.6         [kernel.kallsyms]   [k] smp_call_function_many_cond
     0.11%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_map_blocks
     0.11%     0.01%  postgres         [kernel.kallsyms]   [k] unix_stream_sendmsg
     0.11%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_read
     0.11%     0.00%  postgres         [kernel.kallsyms]   [k] ksys_read
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __x64_sys_sendto
     0.11%     0.01%  postgres         [kernel.kallsyms]   [k] get_futex_key
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __sys_sendto
     0.10%     0.07%  kcompactd1       [kernel.kallsyms]   [k] PageHuge
     0.10%     0.01%  postgres         [kernel.kallsyms]   [k] pick_next_task_fair
     0.10%     0.00%  postgres         [kernel.kallsyms]   [k] dequeue_entity
     0.10%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] sock_sendmsg
     0.10%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_openat
     0.10%     0.01%  swapper          [kernel.kallsyms]   [k] nvme_process_cq
     0.10%     0.00%  swapper          [kernel.kallsyms]   [k] __sysvec_apic_timer_interrupt
     0.10%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] schedule
     0.10%     0.04%  postgres         [kernel.kallsyms]   [k] update_load_avg
     0.10%     0.00%  postgres         [kernel.kallsyms]   [k] do_sys_openat2
     0.10%     0.00%  swapper          [kernel.kallsyms]   [k] nvme_irq
     0.10%     0.00%  swapper          [kernel.kallsyms]   [k] hrtimer_interrupt
     0.10%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] schedule_hrtimeout_range_clock
     0.10%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] schedule_hrtimeout_range
     0.09%     0.00%  postgres         [kernel.kallsyms]   [k] get_user_pages_fast
     0.09%     0.03%  swapper          [kernel.kallsyms]   [k] flush_smp_call_function_from_idle
     0.09%     0.04%  postgres         [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.09%     0.00%  swapper          [kernel.kallsyms]   [k] irq_exit_rcu
     0.09%     0.00%  swapper          [kernel.kallsyms]   [k] nvme_pci_complete_rq
     0.09%     0.02%  postgres         [kernel.kallsyms]   [k] futex_wait_setup
     0.09%     0.09%  kcompactd1       [kernel.kallsyms]   [k] smp_call_function_many_cond
     0.09%     0.00%  kcompactd1       [kernel.kallsyms]   [k] native_flush_tlb_multi
     0.09%     0.00%  kcompactd1       [kernel.kallsyms]   [k] on_each_cpu_cond_mask
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __schedule
     0.09%     0.01%  kcompactd1       [kernel.kallsyms]   [k] migrate_page_move_mapping
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] unix_stream_sendmsg
     0.09%     0.00%  swapper          [kernel.kallsyms]   [k] ttwu_do_activate
     0.09%     0.00%  swapper          [kernel.kallsyms]   [k] __softirqentry_text_start
     0.09%     0.01%  swapper          [kernel.kallsyms]   [k] enqueue_task
     0.09%     0.00%  swapper          [kernel.kallsyms]   [k] nvme_complete_rq
     0.09%     0.08%  postgres         [kernel.kallsyms]   [k] next_uptodate_page
     0.09%     0.02%  postgres         [kernel.kallsyms]   [k] internal_get_user_pages_fast
     0.09%     0.00%  postgres         [kernel.kallsyms]   [k] migrate_misplaced_page
     0.09%     0.00%  swapper          [kernel.kallsyms]   [k] blk_mq_end_request
     0.08%     0.00%  swapper          [kernel.kallsyms]   [k] blk_update_request
     0.08%     0.00%  kcompactd0       [kernel.kallsyms]   [k] rmap_walk
     0.08%     0.00%  kcompactd0       [kernel.kallsyms]   [k] rmap_walk_file
     0.08%     0.01%  postgres         [kernel.kallsyms]   [k] newidle_balance
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] blk_mq_flush_plug_list
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] blk_flush_plug_list
     0.08%     0.01%  postgres         [kernel.kallsyms]   [k] enqueue_task_fair
     0.08%     0.02%  kcompactd1       [kernel.kallsyms]   [k] isolate_freepages_block
