# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 212867787405
#
# Children      Self  Command          Shared Object        Symbol                                                                                                          
# ........  ........  ...............  ...................  ................................................................................................................
#
     0.91%     0.68%  mariadbd         [kernel.kallsyms]    [k] update_sg_lb_stats
     0.90%     0.01%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_submit_bio
     0.90%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_checks
     0.89%     0.89%  mariadbd         [kernel.kallsyms]    [k] available_idle_cpu
     0.89%     0.04%  mariadbd         [kernel.kallsyms]    [k] swap_readpage
     0.88%     0.00%  mariadbd         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.88%     0.02%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
     0.88%     0.44%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
     0.87%     0.06%  mariadbd         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.84%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait_setup
     0.84%     0.23%  mariadbd         [kernel.kallsyms]    [k] futex_wait_setup
     0.83%     0.28%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     0.83%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.82%     0.41%  swapper          [kernel.kallsyms]    [k] update_load_avg
     0.81%     0.04%  mariadbd         [kernel.kallsyms]    [k] __alloc_skb
     0.81%     0.09%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.80%     0.12%  mariadbd         [kernel.kallsyms]    [k] __irq_exit_rcu
     0.79%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] futex_wake
     0.79%     0.00%  swapper          [kernel.kallsyms]    [k] blk_mq_end_request
     0.78%     0.02%  swapper          [kernel.kallsyms]    [k] __hrtimer_run_queues
     0.78%     0.00%  mariadbd         [kernel.kallsyms]    [k] get_user_pages_unlocked
     0.77%     0.01%  mariadbd         [kernel.kallsyms]    [k] __get_user_pages
     0.76%     0.03%  mariadbd         [kernel.kallsyms]    [k] ext4_iomap_begin
     0.76%     0.03%  mariadbd         [kernel.kallsyms]    [k] wake_affine
     0.76%     0.18%  mariadbd         [kernel.kallsyms]    [k] switch_fpu_return
     0.76%     0.00%  swapper          [kernel.kallsyms]    [k] __run_hrtimer
     0.75%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     0.74%     0.57%  swapper          [kernel.kallsyms]    [k] switch_mm_irqs_off
     0.72%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __alloc_skb
     0.72%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] try_to_wake_up
     0.71%     0.15%  swapper          [kernel.kallsyms]    [k] pick_next_task_fair
     0.71%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common_lock
     0.70%     0.58%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     0.69%     0.04%  mariadbd         [kernel.kallsyms]    [k] mapping_get_entry
     0.69%     0.04%  swapper          [kernel.kallsyms]    [k] update_process_times
     0.69%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_handle
     0.68%     0.00%  mariadbd         [kernel.kallsyms]    [k] default_send_IPI_mask_sequence_phys
     0.67%     0.08%  swapper          [kernel.kallsyms]    [k] blk_update_request
     0.67%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     0.66%     0.02%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_loop
     0.66%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.66%     0.27%  swapper          [kernel.kallsyms]    [k] ktime_get
     0.66%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_def_readable
     0.65%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_exit
     0.64%     0.00%  kswapd0          [kernel.kallsyms]    [k] arch_tlbbatch_flush
     0.64%     0.00%  kswapd0          [kernel.kallsyms]    [k] try_to_unmap_flush_dirty
     0.63%     0.04%  swapper          [kernel.kallsyms]    [k] hrtimer_start_range_ns
     0.62%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] pollwake
     0.62%     0.00%  mariadbd         [kernel.kallsyms]    [k] __sysvec_call_function_single
     0.62%     0.02%  mariadbd         [kernel.kallsyms]    [k] sched_ttwu_pending
     0.61%     0.32%  mariadbd         [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.60%     0.04%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_end_io
     0.60%     0.13%  kswapd0          [kernel.kallsyms]    [k] smp_call_function_many_cond
     0.60%     0.00%  kswapd0          [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     0.60%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_stop_tick
     0.59%     0.17%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.58%     0.11%  mariadbd         [kernel.kallsyms]    [k] task_tick_fair
     0.58%     0.40%  mariadbd         [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.58%     0.58%  mariadbd         [kernel.kallsyms]    [k] __restore_fpregs_from_fpstate
     0.57%     0.57%  mariadbd         [kernel.kallsyms]    [k] update_cfs_group
     0.57%     0.09%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function
     0.57%     0.16%  swapper          [kernel.kallsyms]    [k] tick_nohz_next_event
     0.56%     0.47%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.56%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_getevents
     0.56%     0.11%  swapper          [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.55%     0.03%  mariadbd         [kernel.kallsyms]    [k] __softirqentry_text_start
     0.55%     0.01%  mariadbd         [kernel.kallsyms]    [k] __mark_inode_dirty
     0.54%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] consume_skb
     0.54%     0.01%  mariadbd         [kernel.kallsyms]    [k] do_io_getevents
     0.53%     0.52%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.52%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_da_write_begin
     0.52%     0.01%  mariadbd         [kernel.kallsyms]    [k] read_events
     0.51%     0.13%  mariadbd         [kernel.kallsyms]    [k] set_task_cpu
     0.51%     0.51%  swapper          [kernel.kallsyms]    [k] __switch_to_asm
     0.51%     0.01%  mariadbd         [kernel.kallsyms]    [k] consume_skb
     0.50%     0.00%  swapper          [kernel.kallsyms]    [k] scheduler_tick
     0.50%     0.49%  mariadbd         [kernel.kallsyms]    [k] copy_user_generic_string
     0.49%     0.05%  mariadbd         [kernel.kallsyms]    [k] nvme_map_data
     0.48%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_restart_sched_tick
     0.48%     0.01%  mariadbd         [kernel.kallsyms]    [k] irqentry_exit_to_user_mode
     0.48%     0.07%  mariadbd         [kernel.kallsyms]    [k] wake_affine_weight
     0.46%     0.02%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function
     0.46%     0.11%  swapper          [kernel.kallsyms]    [k] set_next_entity
     0.46%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dirty_inode
     0.46%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] dequeue_task_fair
     0.46%     0.43%  swapper          [kernel.kallsyms]    [k] _raw_spin_lock
