# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 668K of event 'cycles'
# Event count (approx.): 8393561199059
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.74%     0.74%  pool-4-thread-1  [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     0.74%     0.25%  localfetcher#1   [kernel.kallsyms]     [k] charge_memcg
     0.72%     0.29%  java             [kernel.kallsyms]     [k] flush_smp_call_function_queue
     0.72%     0.03%  kswapd1          [kernel.kallsyms]     [k] shrink_active_list
     0.71%     0.00%  kswapd1          [kernel.kallsyms]     [k] arch_tlbbatch_flush
     0.70%     0.23%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.70%     0.02%  kswapd1          [kernel.kallsyms]     [k] native_flush_tlb_multi
     0.69%     0.00%  kswapd1          [kernel.kallsyms]     [k] try_to_unmap_flush_dirty
     0.69%     0.06%  java             [kernel.kallsyms]     [k] migrate_pages
     0.68%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __read_swap_cache_async
     0.67%     0.14%  pool-4-thread-1  [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.67%     0.67%  LocalJobRunner   [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.67%     0.00%  java             [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.67%     0.00%  kswapd1          [kernel.kallsyms]     [k] on_each_cpu_cond_mask
     0.66%     0.00%  VM Thread        [kernel.kallsyms]     [k] asm_exc_page_fault
     0.65%     0.04%  kswapd1          [kernel.kallsyms]     [k] page_referenced
     0.64%     0.00%  VM Thread        [kernel.kallsyms]     [k] exc_page_fault
     0.63%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] workingset_refault
     0.62%     0.00%  VM Thread        [kernel.kallsyms]     [k] do_user_addr_fault
     0.62%     0.61%  LocalJobRunner   [kernel.kallsyms]     [k] clear_page_erms
     0.61%     0.01%  VM Thread        [kernel.kallsyms]     [k] handle_mm_fault
     0.61%     0.04%  kswapd1          [kernel.kallsyms]     [k] rmap_walk_anon
     0.61%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     0.61%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     0.60%     0.55%  kswapd1          [kernel.kallsyms]     [k] isolate_lru_pages
     0.60%     0.60%  swapper          [unknown]             [.] 0000000000000000
     0.58%     0.03%  VM Thread        [kernel.kallsyms]     [k] __handle_mm_fault
