# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 117K of event 'cycles'
# Event count (approx.): 1655611584489
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................
#
     1.03%     0.00%  swapper          [kernel.kallsyms]    [k] __run_hrtimer
     1.03%     0.52%  swapper          [kernel.kallsyms]    [k] update_load_avg
     1.03%     0.04%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     1.03%     0.22%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     1.02%     0.05%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     1.02%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.02%     0.01%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     1.02%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     1.01%     0.01%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_submit_bio
     1.00%     0.14%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     1.00%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.00%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.99%     0.10%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     0.99%     0.99%  mariadbd         [kernel.kallsyms]    [k] available_idle_cpu
     0.98%     0.01%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     0.97%     0.04%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     0.97%     0.62%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
     0.96%     0.02%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     0.96%     0.20%  swapper          [kernel.kallsyms]    [k] pick_next_task_fair
     0.94%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] sock_def_readable
     0.93%     0.01%  mariadbd         [kernel.kallsyms]    [k] __getblk_gfp
     0.93%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] __alloc_skb
     0.92%     0.02%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
     0.92%     0.04%  mariadbd         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     0.91%     0.01%  mariadbd         [kernel.kallsyms]    [k] __find_get_block
     0.91%     0.01%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     0.90%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] pollwake
     0.89%     0.02%  mariadbd         [kernel.kallsyms]    [k] __read_extent_tree_block
     0.89%     0.04%  mariadbd         [kernel.kallsyms]    [k] find_busiest_group
     0.89%     0.51%  swapper          [kernel.kallsyms]    [k] ktime_get
     0.87%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] try_to_wake_up
     0.87%     0.01%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     0.86%     0.10%  mariadbd         [kernel.kallsyms]    [k] nvme_queue_rq
     0.86%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.85%     0.00%  swapper          [kernel.kallsyms]    [k] nvme_irq
     0.85%     0.07%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     0.85%     0.01%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
     0.85%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_handle
     0.85%     0.07%  mariadbd         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     0.84%     0.04%  swapper          [kernel.kallsyms]    [k] update_process_times
     0.84%     0.03%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     0.82%     0.07%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     0.81%     0.20%  mariadbd         [kernel.kallsyms]    [k] switch_fpu_return
     0.81%     0.39%  mariadbd         [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.81%     0.02%  mariadbd         [kernel.kallsyms]    [k] wake_affine
     0.81%     0.06%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_exit
     0.80%     0.00%  mariadbd         [kernel.kallsyms]    [k] __sysvec_call_function_single
     0.80%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] consume_skb
     0.77%     0.00%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     0.77%     0.03%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     0.77%     0.01%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     0.76%     0.58%  mariadbd         [kernel.kallsyms]    [k] update_sg_lb_stats
     0.76%     0.04%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_end_io
     0.76%     0.52%  mariadbd         [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.74%     0.01%  swapper          [kernel.kallsyms]    [k] scheduler_tick
     0.73%     0.03%  mariadbd         [kernel.kallsyms]    [k] sched_ttwu_pending
     0.68%     0.04%  swapper          [kernel.kallsyms]    [k] hrtimer_start_range_ns
     0.64%     0.01%  swapper          [kernel.kallsyms]    [k] perf_event_task_tick
     0.63%     0.63%  swapper          [kernel.kallsyms]    [k] get_typical_interval
     0.63%     0.12%  mariadbd         [kernel.kallsyms]    [k] kmem_cache_alloc_node
