# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 500598807923
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................................................................
#
     1.08%     0.35%  mariadbd         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     1.07%     0.22%  mariadbd         [kernel.kallsyms]    [k] enqueue_entity
     1.07%     0.36%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     1.07%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_finish_plug
     1.06%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.06%     0.00%  swapper          [kernel.kallsyms]    [k] __run_hrtimer
     1.06%     0.00%  swapper          [kernel.kallsyms]    [k] __hrtimer_run_queues
     1.06%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_checks
     1.05%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     1.05%     0.04%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     1.04%     0.01%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_submit_bio
     1.04%     0.07%  mariadbd         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     1.04%     0.03%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.00%     1.00%  mariadbd         [kernel.kallsyms]    [k] available_idle_cpu
     1.00%     0.22%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     1.00%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_iomap_begin
     1.00%     0.05%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     0.99%     0.07%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     0.99%     0.05%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     0.98%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pwrite64
     0.98%     0.00%  mariadbd         [kernel.kallsyms]    [k] vfs_write
     0.98%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     0.97%     0.00%  mariadbd         [kernel.kallsyms]    [k] new_sync_write
