# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 1614699159179
#
# Children      Self  Command          Shared Object        Symbol                                           
# ........  ........  ...............  ...................  .................................................
#
     0.26%     0.25%  postgres         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath
     0.25%     0.01%  postgres         [kernel.kallsyms]    [k] add_to_page_cache_lru
     0.25%     0.01%  postgres         [kernel.kallsyms]    [k] ext4_readahead
     0.25%     0.00%  postgres         [kernel.kallsyms]    [k] sock_sendmsg
     0.24%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_mpage_readpages
     0.23%     0.21%  postgres         [kernel.kallsyms]    [k] page_mapping
     0.21%     0.01%  postgres         [kernel.kallsyms]    [k] unix_stream_sendmsg
     0.21%     0.00%  postgres         [kernel.kallsyms]    [k] ttwu_do_activate
     0.21%     0.00%  postgres         [kernel.kallsyms]    [k] enqueue_task
     0.21%     0.00%  postgres         [kernel.kallsyms]    [k] __x64_sys_read
     0.21%     0.00%  postgres         [kernel.kallsyms]    [k] ksys_read
     0.21%     0.01%  postgres         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     0.21%     0.00%  postgres         [kernel.kallsyms]    [k] user_path_at_empty
     0.21%     0.19%  postgres         [kernel.kallsyms]    [k] rcu_read_unlock_strict
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] __writeback_inodes_wb
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] __writeback_single_inode
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] do_writepages
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] ext4_writepages
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] kthread
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] mpage_prepare_extent_to_map
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] process_one_work
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] ret_from_fork
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] wb_workfn
