# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 211064953437
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                      
# ........  ........  ...............  ...................  ............................................................................................................................................
#
     0.95%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pwrite64
     0.94%     0.04%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.94%     0.02%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_disable_all
     0.94%     0.08%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     0.93%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_buffered_write_iter
     0.93%     0.00%  mariadbd         [kernel.kallsyms]    [k] new_sync_write
     0.93%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     0.92%     0.07%  mariadbd         [kernel.kallsyms]    [k] ext4_iomap_begin
     0.91%     0.02%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     0.91%     0.00%  mariadbd         [kernel.kallsyms]    [k] generic_perform_write
     0.90%     0.71%  mariadbd         [kernel.kallsyms]    [k] update_sg_lb_stats
     0.90%     0.37%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
     0.88%     0.01%  mariadbd         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.88%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] schedule
     0.87%     0.02%  swapper          [kernel.kallsyms]    [k] tick_sched_handle
     0.87%     0.02%  mariadbd         [kernel.kallsyms]    [k] wake_affine
     0.86%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     0.86%     0.19%  mariadbd         [kernel.kallsyms]    [k] futex_wait_setup
     0.85%     0.06%  mariadbd         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.85%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.85%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     0.85%     0.09%  swapper          [kernel.kallsyms]    [k] update_process_times
     0.84%     0.15%  mariadbd         [kernel.kallsyms]    [k] __irq_exit_rcu
     0.83%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.83%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_checks
     0.82%     0.82%  mariadbd         [kernel.kallsyms]    [k] available_idle_cpu
     0.82%     0.00%  mariadbd         [kernel.kallsyms]    [k] get_user_pages_unlocked
