# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 27742558279198
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
     0.50%     0.01%  memcached        [kernel.kallsyms]      [k] do_shrink_slab
     0.50%     0.00%  swapper          [kernel.kallsyms]      [k] start_kernel
     0.50%     0.00%  kcompactd0       [kernel.kallsyms]      [k] kcompactd
     0.50%     0.00%  kcompactd0       [kernel.kallsyms]      [k] kthread
     0.50%     0.00%  kcompactd0       [kernel.kallsyms]      [k] ret_from_fork
     0.50%     0.00%  kcompactd0       [kernel.kallsyms]      [k] compact_zone
     0.50%     0.00%  kcompactd0       [kernel.kallsyms]      [k] proactive_compact_node
     0.50%     0.30%  memcached        [kernel.kallsyms]      [k] __audit_syscall_exit
     0.50%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_ctl
     0.49%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_actor
     0.49%     0.18%  swapper          [kernel.kallsyms]      [k] set_next_entity
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]      [k] migrate_pages
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]      [k] unmap_and_move
     0.48%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_ioctl
     0.48%     0.07%  memcached        [kernel.kallsyms]      [k] ttwu_do_wakeup
     0.47%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] ttwu_do_wakeup
     0.47%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_iter
     0.46%     0.00%  kcompactd0       [kernel.kallsyms]      [k] __unmap_and_move
     0.46%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] __skb_datagram_iter
     0.46%     0.22%  memtier_benchma  [kernel.kallsyms]      [k] update_load_avg
     0.46%     0.01%  memcached        [kernel.kallsyms]      [k] page_check_references.isra.0
     0.45%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] ep_item_poll.isra.0
     0.45%     0.00%  kswapd0          [kernel.kallsyms]      [k] kswapd
     0.45%     0.00%  kswapd0          [kernel.kallsyms]      [k] kthread
     0.45%     0.00%  kswapd0          [kernel.kallsyms]      [k] ret_from_fork
     0.45%     0.00%  kswapd0          [kernel.kallsyms]      [k] balance_pgdat
     0.45%     0.01%  swapper          [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.45%     0.10%  memcached        [kernel.kallsyms]      [k] ep_item_poll.isra.0
     0.44%     0.00%  kswapd0          [kernel.kallsyms]      [k] shrink_node
     0.44%     0.19%  swapper          [kernel.kallsyms]      [k] ktime_get
     0.44%     0.01%  kswapd0          [kernel.kallsyms]      [k] shrink_node_memcgs
     0.44%     0.00%  swapper          [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.42%     0.23%  memcached        [kernel.kallsyms]      [k] page_vma_mapped_walk
     0.41%     0.04%  memcached        [kernel.kallsyms]      [k] page_referenced_one
     0.41%     0.20%  memcached        [kernel.kallsyms]      [k] update_load_avg
     0.41%     0.41%  memcached        [kernel.kallsyms]      [k] llist_reverse_order
     0.41%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_unmap
     0.40%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] check_preempt_curr
     0.40%     0.06%  memcached        [kernel.kallsyms]      [k] check_preempt_curr
     0.40%     0.29%  memtier_benchma  [kernel.kallsyms]      [k] mod_objcg_state
     0.39%     0.04%  memcached        [kernel.kallsyms]      [k] syscall_trace_enter.constprop.0
     0.39%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] sock_poll
     0.38%     0.26%  memcached        [kernel.kallsyms]      [k] count_shadow_nodes
     0.38%     0.06%  swapper          [kernel.kallsyms]      [k] hrtimer_next_event_without
     0.37%     0.29%  memcached        [kernel.kallsyms]      [k] llist_add_batch
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]      [k] rmap_walk_anon
     0.36%     0.00%  kcompactd0       [kernel.kallsyms]      [k] try_to_migrate
     0.36%     0.01%  kcompactd0       [kernel.kallsyms]      [k] try_to_migrate_one
     0.35%     0.07%  memcached        [kernel.kallsyms]      [k] workingset_refault
     0.34%     0.18%  memcached        [kernel.kallsyms]      [k] sock_poll
     0.34%     0.15%  memcached        [kernel.kallsyms]      [k] try_to_unmap_one
     0.34%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     0.34%     0.30%  memtier_benchma  [kernel.kallsyms]      [k] asm_sysvec_reschedule_ipi
     0.33%     0.00%  kcompactd0       [kernel.kallsyms]      [k] ptep_clear_flush
     0.33%     0.33%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee37cf0
     0.33%     0.02%  memcached        [kernel.kallsyms]      [k] unix_stream_read_actor
     0.33%     0.01%  kcompactd0       [kernel.kallsyms]      [k] flush_tlb_mm_range
     0.33%     0.29%  memcached        [kernel.kallsyms]      [k] asm_sysvec_reschedule_ipi
     0.33%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] __fget_light
     0.33%     0.01%  memcached        [kernel.kallsyms]      [k] zs_malloc
     0.33%     0.33%  memtier_benchma  [kernel.kallsyms]      [k] __entry_text_start
     0.32%     0.01%  memcached        [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.32%     0.00%  swapper          [kernel.kallsyms]      [k] __sysvec_apic_timer_interrupt
     0.32%     0.00%  swapper          [kernel.kallsyms]      [k] hrtimer_interrupt
     0.32%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] __check_object_size.part.0
     0.32%     0.30%  memcached        [kernel.kallsyms]      [k] get_obj_cgroup_from_current
     0.32%     0.11%  memcached        [kernel.kallsyms]      [k] __check_object_size.part.0
     0.31%     0.00%  kcompactd0       [kernel.kallsyms]      [k] on_each_cpu_cond_mask
     0.31%     0.20%  kcompactd0       [kernel.kallsyms]      [k] smp_call_function_many_cond
     0.31%     0.01%  memcached        [kernel.kallsyms]      [k] skb_release_head_state
     0.31%     0.01%  memcached        [kernel.kallsyms]      [k] skb_copy_datagram_iter
     0.31%     0.00%  memcached        [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.31%     0.20%  swapper          [kernel.kallsyms]      [k] poll_idle
     0.31%     0.02%  swapper          [kernel.kallsyms]      [k] sched_clock_cpu
     0.31%     0.00%  kswapd0          [kernel.kallsyms]      [k] do_shrink_slab
     0.31%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] do_vfs_ioctl
     0.30%     0.03%  memcached        [kernel.kallsyms]      [k] __skb_datagram_iter
     0.30%     0.03%  memcached        [kernel.kallsyms]      [k] unix_destruct_scm
     0.29%     0.29%  swapper          [kernel.kallsyms]      [k] get_typical_interval
     0.29%     0.12%  memcached        [kernel.kallsyms]      [k] __mod_memcg_lruvec_state
     0.29%     0.08%  memcached        [kernel.kallsyms]      [k] __fget_light
     0.29%     0.29%  swapper          [kernel.kallsyms]      [k] native_sched_clock
     0.29%     0.04%  memcached        [kernel.kallsyms]      [k] lru_note_cost
     0.28%     0.28%  memtier_benchma  [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
