# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11829649677068
#
# Children      Self  Command          Shared Object      Symbol                                               
# ........  ........  ...............  .................  .....................................................
#
     0.56%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] ret_from_fork
     0.56%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] process_one_work
     0.56%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.55%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] ext4_release_io_end
     0.55%     0.55%  swapper          [unknown]          [.] 0000000000000000
     0.55%     0.10%  kworker/u96:1    [kernel.kallsyms]  [k] ext4_finish_bio
     0.54%     0.00%  java             [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.54%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     0.54%     0.00%  java             [kernel.kallsyms]  [k] try_to_free_pages
     0.54%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     0.54%     0.00%  java             [kernel.kallsyms]  [k] shrink_node
     0.54%     0.00%  java             [kernel.kallsyms]  [k] do_try_to_free_pages
     0.53%     0.18%  LocalJobRunner   [kernel.kallsyms]  [k] __pagevec_lru_add
     0.53%     0.53%  InMemoryMerger   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.53%     0.01%  java             [kernel.kallsyms]  [k] irqentry_exit
     0.53%     0.11%  java             [kernel.kallsyms]  [k] __schedule
     0.52%     0.41%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.52%     0.01%  java             [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.52%     0.00%  java             [kernel.kallsyms]  [k] shrink_lruvec
     0.51%     0.00%  java             [kernel.kallsyms]  [k] evict_pages
     0.51%     0.01%  java             [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.50%     0.36%  java             [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.50%     0.01%  java             [kernel.kallsyms]  [k] hrtimer_interrupt
     0.50%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_block_write_begin
     0.50%     0.00%  java             [kernel.kallsyms]  [k] __put_page
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     0.49%     0.39%  java             [kernel.kallsyms]  [k] __count_memcg_events
     0.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     0.49%     0.41%  LocalJobRunner   [kernel.kallsyms]  [k] try_charge_memcg
