# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.66%     0.02%  GC Thread#16     [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.66%     0.01%  G1 Conc#1        [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.66%     0.01%  GC Thread#14     [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.66%     0.01%  GC Thread#20     [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.65%     0.01%  GC Thread#14     [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.65%     0.00%  G1 Refine#4      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.65%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] tick_sched_handle
     0.64%     0.03%  G1 Refine#1      [kernel.kallsyms]                          [k] update_process_times
     0.64%     0.03%  Executor task l  [kernel.kallsyms]                          [k] schedule
     0.64%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.64%     0.64%  Executor task l  [kernel.kallsyms]                          [k] arch_scale_freq_tick
     0.64%     0.01%  GC Thread#2      [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.64%     0.01%  G1 Refine#3      [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.64%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.64%     0.02%  GC Thread#15     [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.64%     0.06%  Executor task l  [kernel.kallsyms]                          [k] __alloc_pages
     0.63%     0.01%  GC Thread#17     [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.63%     0.01%  G1 Refine#2      [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.63%     0.01%  GC Thread#2      [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.63%     0.00%  G1 Refine#4      [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.63%     0.04%  swapper          [kernel.kallsyms]                          [k] asm_sysvec_call_function_single
     0.63%     0.02%  G1 Refine#3      [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.62%     0.00%  kswapd0          [kernel.kallsyms]                          [k] kswapd
