# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.00%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] switch_fpu_return
     0.00%     0.00%  G1 Refine#12     [kernel.kallsyms]                          [k] __audit_syscall_entry
     0.00%     0.00%  G1 Refine#12     [kernel.kallsyms]                          [k] syscall_trace_enter.constprop.0
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5954f2cc
     0.00%     0.00%  GC Thread#11     [kernel.kallsyms]                          [k] sched_clock_tick
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] perf_swevent_start
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5954f129
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] __x86_indirect_thunk_rax
     0.00%     0.00%  migration/26     [kernel.kallsyms]                          [k] put_prev_task_stop
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5955ba00
     0.00%     0.00%  GC Thread#7      [vdso]                                     [.] 0x0000000000000845
     0.00%     0.00%  dag-scheduler-e  [kernel.kallsyms]                          [k] reweight_entity
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5953fdb9
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] nft_do_chain
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] __netif_receive_skb_core
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] __netif_receive_skb_list
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] __netif_receive_skb_list_core
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] ip_local_deliver
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] napi_complete_done
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] netif_receive_skb_list_internal
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] nf_hook_slow
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] task_cputime_adjusted
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] llist_add_batch
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] __smp_call_single_queue
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] rb_erase
     0.00%     0.00%  G1 Refine#20     [kernel.kallsyms]                          [k] resched_curr
     0.00%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] activate_task
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]                          [k] nr_blockdev_pages
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]                          [k] __do_sys_sysinfo
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]                          [k] do_sysinfo.isra.0
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]                          [k] si_meminfo
     0.00%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] __list_add_valid
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] blk_integrity_merge_bio
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] blk_rq_merge_ok
     0.00%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] x86_pmu_enable_all
     0.00%     0.00%  migration/15     [kernel.kallsyms]                          [k] cpu_stopper_thread
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5953fe43
     0.00%     0.00%  java             [kernel.kallsyms]                          [k] locks_remove_posix
     0.00%     0.00%  java             [kernel.kallsyms]                          [k] __x64_sys_close
     0.00%     0.00%  java             [kernel.kallsyms]                          [k] filp_close
     0.00%     0.00%  GC Thread#11     libjvm.so                                  [.] _ZN27SemaphoreGangTaskDispatcher21worker_done_with_taskEv
     0.00%     0.00%  perf             [kernel.kallsyms]                          [k] __audit_syscall_entry
     0.00%     0.00%  perf             [kernel.kallsyms]                          [k] syscall_trace_enter.constprop.0
     0.00%     0.00%  G1 Refine#19     [kernel.kallsyms]                          [k] raise_softirq
     0.00%     0.00%  migration/4      [kernel.kallsyms]                          [k] nohz_newidle_balance
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58b40e0d
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b9863
     0.00%     0.00%  G1 Refine#2      libjvm.so                                  [.] _ZN20SuspendibleThreadSet5yieldEv
     0.00%     0.00%  swapper          [kernel.kallsyms]                          [k] pfifo_fast_dequeue
     0.00%     0.00%  swapper          [kernel.kallsyms]                          [k] __qdisc_run
     0.00%     0.00%  swapper          [kernel.kallsyms]                          [k] dequeue_skb
     0.00%     0.00%  swapper          [kernel.kallsyms]                          [k] net_tx_action
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]                          [k] rcu_all_qs
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5954f332
     0.00%     0.00%  G1 Refine#18     libjvm.so                                  [.] _ZN14G1HotCardCache6insertEPa
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58cd7971
     0.00%     0.00%  G1 Refine#14     libjvm.so                                  [.] _ZN21OopOopIterateDispatchI28G1ConcurrentRefineOopClosureE5Table15oop_oop_iterateI13InstanceKlassP7oopDescEEvPS0_S6_P5Klass
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5871ffdc
     0.00%     0.00%  G1 Refine#10     [kernel.kallsyms]                          [k] activate_task
     0.00%     0.00%  G1 Refine#10     [kernel.kallsyms]                          [k] attach_task
     0.00%     0.00%  G1 Refine#17     [kernel.kallsyms]                          [k] __smp_call_single_queue
     0.00%     0.00%  G1 Refine#15     [kernel.kallsyms]                          [k] perf_swevent_start
     0.00%     0.00%  spark-listener-  [kernel.kallsyms]                          [k] get_futex_key
     0.00%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] update_pvclock_gtod
     0.00%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] pvclock_gtod_notify
     0.00%     0.00%  GC Thread#14     libjvm.so                                  [.] _ZN16GenericTaskQueueI8StarTaskL10MemoryType5ELj131072EE10pop_globalERVS0_
     0.00%     0.00%  G1 Conc#3        libjvm.so                                  [.] _ZN11PtrQueueSet17deallocate_bufferEP10BufferNode
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]                          [k] __mem_cgroup_charge
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]                          [k] mem_cgroup_charge
     0.00%     0.00%  G1 Refine#12     [kernel.kallsyms]                          [k] update_rt_rq_load_avg
     0.00%     0.00%  GC Thread#10     [kernel.kallsyms]                          [k] getrusage
     0.00%     0.00%  GC Thread#10     [kernel.kallsyms]                          [k] __do_sys_getrusage
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] ktime_get_coarse_real_ts64
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] update_dl_rq_load_avg
     0.00%     0.00%  Finalizer        [kernel.kallsyms]                          [k] ktime_get
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595d91ee
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] ext4_find_extent
     0.00%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] __msecs_to_jiffies
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] __default_send_IPI_dest_field
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] default_send_IPI_single_phys
     0.00%     0.00%  GC Thread#1      [kernel.kallsyms]                          [k] __get_user_nocheck_4
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] do_sync_core
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] __sysvec_call_function
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] asm_sysvec_call_function
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] flush_smp_call_function_queue
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] sysvec_call_function
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5954f2b9
     0.00%     0.00%  G1 Refine#12     [kernel.kallsyms]                          [k] tick_do_update_jiffies64.part.0
     0.00%     0.00%  G1 Refine#19     [kernel.kallsyms]                          [k] wake_affine_weight
     0.00%     0.00%  kworker/18:2-mm  [kernel.kallsyms]                          [k] first_online_pgdat
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] __local_bh_enable_ip
     0.00%     0.00%  GC Thread#17     [kernel.kallsyms]                          [k] syscall_return_via_sysret
     0.00%     0.00%  Executor task l  libjvm.so                                  [.] _ZN9CodeCache9find_blobEPv
     0.00%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] nohz_balance_exit_idle
     0.00%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] nohz_balancer_kick
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] hrtimer_active
     0.00%     0.00%  G1 Refine#9      libjvm.so                                  [.] _ZN2os12elapsedVTimeEv
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]                          [k] syscall_exit_work
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] recalc_sigpending
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b9b71
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] _copy_from_iter
     0.00%     0.00%  G1 Refine#19     [kernel.kallsyms]                          [k] rcu_cblist_dequeue
     0.00%     0.00%  kworker/u64:39-  [kernel.kallsyms]                          [k] lock_timer_base
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]                          [k] ext4_get_inode_loc
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58cd76c4
     0.00%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] flush_tlb_func
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] __common_interrupt
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] __handle_irq_event_percpu
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] handle_edge_irq
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] handle_irq_event
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] nvme_irq
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] nvme_pci_complete_rq
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] nvme_process_cq
     0.00%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] __x86_indirect_thunk_r12
     0.00%     0.00%  GC Thread#6      [kernel.kallsyms]                          [k] sched_clock
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] __sysvec_call_function
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b984a
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b9ffc
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] nft_update_chain_stats
     0.00%     0.00%  kworker/10:1-mm  [kernel.kallsyms]                          [k] add_timer_on
     0.00%     0.00%  kworker/10:1-mm  [kernel.kallsyms]                          [k] queue_delayed_work_on
     0.00%     0.00%  GC Thread#2      [vdso]                                     [.] 0x00000000000007f1
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] calc_wheel_index
     0.00%     0.00%  GC Thread#13     [kernel.kallsyms]                          [k] __list_add_valid
     0.00%     0.00%  dag-scheduler-e  libjvm.so                                  [.] _ZN6Parker4parkEbl
     0.00%     0.00%  G1 Young RemSet  [kernel.kallsyms]                          [k] rb_erase
     0.00%     0.00%  G1 Young RemSet  [kernel.kallsyms]                          [k] timerqueue_del
     0.00%     0.00%  G1 Young RemSet  [kernel.kallsyms]                          [k] sched_slice
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] ktime_get
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] clockevents_program_event
     0.00%     0.00%  G1 Refine#20     [kernel.kallsyms]                          [k] update_sg_lb_stats
     0.00%     0.00%  G1 Refine#22     [kernel.kallsyms]                          [k] _find_next_bit
     0.00%     0.00%  G1 Refine#22     [kernel.kallsyms]                          [k] cpumask_next_and
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] hash_futex
     0.00%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] hrtick_update
     0.00%     0.00%  GC Thread#7      libjvm.so                                  [.] _ZN8PtrQueue20enqueue_known_activeEPv
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] vma_set_page_prot
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] __x64_sys_mprotect
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] do_mprotect_pkey
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] mprotect_fixup
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] activate_task
     0.00%     0.00%  G1 Refine#3      [kernel.kallsyms]                          [k] raise_softirq
     0.00%     0.00%  kworker/u64:35-  [kernel.kallsyms]                          [k] mpage_prepare_extent_to_map
     0.00%     0.00%  kworker/u64:35-  [kernel.kallsyms]                          [k] mpage_process_page_bufs
     0.00%     0.00%  GC Thread#17     [kernel.kallsyms]                          [k] prepare_task_switch
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] kthread_is_per_cpu
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] is_cpu_allowed
     0.00%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] switch_fpu_return
     0.00%     0.00%  GC Thread#17     [kernel.kallsyms]                          [k] finish_task_switch.isra.0
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] _raw_spin_lock_irqsave
     0.00%     0.00%  sshd             libc-2.28.so                               [.] __select
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] __napi_poll
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] __netif_receive_skb_core
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] __netif_receive_skb_list
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] __netif_receive_skb_list_core
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] asm_common_interrupt
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] common_interrupt
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] ixgbe_poll
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] napi_complete_done
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] net_rx_action
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] netif_receive_skb_list_internal
     0.00%     0.00%  Finalizer        [kernel.kallsyms]                          [k] hrtimer_forward
     0.00%     0.00%  G1 Refine#2      libjvm.so                                  [.] _ZN21OopOopIterateDispatchI28G1ConcurrentRefineOopClosureE5Table15oop_oop_iterateI13InstanceKlassP7oopDescEEvPS0_S6_P5Klass
     0.00%     0.00%  GC Thread#11     [kernel.kallsyms]                          [k] smp_call_function_single_async
     0.00%     0.00%  sssd             [kernel.kallsyms]                          [k] poll_freewait
     0.00%     0.00%  G1 Refine#17     [kernel.kallsyms]                          [k] irq_exit_rcu
     0.00%     0.00%  G1 Refine#11     libjvm.so                                  [.] _ZN2os12elapsedVTimeEv
     0.00%     0.00%  kworker/7:1-mm_  [kernel.kallsyms]                          [k] switch_mm_irqs_off
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] smp_call_function_many_cond
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] flush_tlb_mm_range
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] on_each_cpu_cond_mask
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] ptep_clear_flush
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] blk_add_rq_to_plug
     0.00%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] __get_user_nocheck_4
     0.00%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] put_prev_entity
     0.00%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] put_prev_task_fair
     0.00%     0.00%  refresh progres  [kernel.kallsyms]                          [k] ktime_get
     0.00%     0.00%  refresh progres  [kernel.kallsyms]                          [k] copy_page_from_iter_iovec
     0.00%     0.00%  G1 Refine#22     [kernel.kallsyms]                          [k] get_futex_key
     0.00%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] is_cpu_allowed
     0.00%     0.00%  GC Thread#17     [kernel.kallsyms]                          [k] x86_pmu_enable_all
     0.00%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] syscall_enter_from_user_mode
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] raise_softirq
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b9fe6
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5953068b
     0.00%     0.00%  G1 Refine#20     [kernel.kallsyms]                          [k] cgroup_rstat_updated
     0.00%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] __radix_tree_lookup
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5954f18d
     0.00%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] ktime_get_coarse_real_ts64
     0.00%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] syscall_trace_enter.constprop.0
     0.00%     0.00%  G1 Refine#18     [kernel.kallsyms]                          [k] nvme_process_cq
     0.00%     0.00%  G1 Refine#18     [kernel.kallsyms]                          [k] __handle_irq_event_percpu
     0.00%     0.00%  G1 Refine#18     [kernel.kallsyms]                          [k] handle_irq_event
     0.00%     0.00%  G1 Refine#18     [kernel.kallsyms]                          [k] nvme_irq
     0.00%     0.00%  G1 Refine#9      [kernel.kallsyms]                          [k] remove_entity_load_avg
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] submit_bio_noacct
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5867e1b7
     0.00%     0.00%  sh               [kernel.kallsyms]                          [k] __handle_mm_fault
     0.00%     0.00%  sh               [kernel.kallsyms]                          [k] asm_exc_page_fault
     0.00%     0.00%  sh               [kernel.kallsyms]                          [k] do_user_addr_fault
     0.00%     0.00%  sh               [kernel.kallsyms]                          [k] exc_page_fault
     0.00%     0.00%  sh               [kernel.kallsyms]                          [k] handle_mm_fault
     0.00%     0.00%  G1 Main Marker   [kernel.kallsyms]                          [k] _find_next_bit
     0.00%     0.00%  G1 Main Marker   [kernel.kallsyms]                          [k] cpumask_next
     0.00%     0.00%  G1 Main Marker   [kernel.kallsyms]                          [k] select_idle_core
     0.00%     0.00%  dag-scheduler-e  [JIT] tid 1529                             [.] 0x00007fdc594740d7
     0.00%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] put_prev_task_fair
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] update_fast_timekeeper
     0.00%     0.00%  refresh progres  [kernel.kallsyms]                          [k] rcu_cblist_dequeue
     0.00%     0.00%  refresh progres  [kernel.kallsyms]                          [k] rcu_do_batch
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58cd74db
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b9b40
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] __get_user_nocheck_8
     0.00%     0.00%  GC Thread#17     libjvm.so                                  [.] _ZNK15G1CollectedHeap11is_obj_deadEP7oopDescPK10HeapRegion
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] cpus_share_cache
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59591ad4
     0.00%     0.00%  shuffle-client-  [kernel.kallsyms]                          [k] __handle_mm_fault
     0.00%     0.00%  shuffle-client-  [kernel.kallsyms]                          [k] asm_exc_page_fault
     0.00%     0.00%  shuffle-client-  [kernel.kallsyms]                          [k] do_user_addr_fault
     0.00%     0.00%  shuffle-client-  [kernel.kallsyms]                          [k] exc_page_fault
     0.00%     0.00%  shuffle-client-  [kernel.kallsyms]                          [k] handle_mm_fault
     0.00%     0.00%  G1 Refine#18     libpthread-2.28.so                         [.] __pthread_disable_asynccancel
     0.00%     0.00%  kworker/u64:39-  [kernel.kallsyms]                          [k] mempool_alloc
     0.00%     0.00%  spark-listener-  [kernel.kallsyms]                          [k] __softirqentry_text_start
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] irqentry_enter_from_user_mode
     0.00%     0.00%  G1 Refine#9      libjvm.so                                  [.] _ZN24G1ConcurrentRefineThread11run_serviceEv
     0.00%     0.00%  GC Thread#0      libjvm.so                                  [.] _ZN22G1BlockOffsetTablePart37forward_to_block_containing_addr_slowEP8HeapWordS1_PKv
     0.00%     0.00%  kworker/14:2-mm  [kernel.kallsyms]                          [k] dequeue_task_fair
     0.00%     0.00%  kworker/18:2-mm  [kernel.kallsyms]                          [k] _raw_spin_lock
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58c25837
     0.00%     0.00%  G1 Refine#1      libjvm.so                                  [.] _ZN18G1ConcurrentRefine18do_refinement_stepEj
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc508967d9
     0.00%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] finish_task_switch.isra.0
     0.00%     0.00%  G1 Conc#3        libjvm.so                                  [.] _ZN2os13PlatformEvent4parkEv
     0.00%     0.00%  G1 Refine#16     [kernel.kallsyms]                          [k] pick_next_entity
     0.00%     0.00%  GC Thread#7      [kernel.kallsyms]                          [k] finish_task_switch.isra.0
     0.00%     0.00%  G1 Refine#2      libjvm.so                                  [.] _ZN7Monitor4waitEblb
     0.00%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] __cgroup_account_cputime
     0.00%     0.00%  kworker/6:1-mm_  [kernel.kallsyms]                          [k] dequeue_entity
     0.00%     0.00%  kworker/6:1-mm_  [kernel.kallsyms]                          [k] dequeue_task_fair
     0.00%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] ttwu_stat
     0.00%     0.00%  G1 Refine#5      libpthread-2.28.so                         [.] pthread_cond_wait@@GLIBC_2.3.2
     0.00%     0.00%  Spark Context C  [kernel.kallsyms]                          [k] hrtimer_sleeper_start_expires
     0.00%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] put_prev_task_fair
     0.00%     0.00%  G1 Refine#11     [kernel.kallsyms]                          [k] rcu_disable_urgency_upon_qs
     0.00%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] cpumask_next_wrap
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5953f629
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] security_inode_permission
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] alloc_pages_vma
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] clear_page_rep
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] __get_user_pages
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] __get_user_pages_remote
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] __pte_alloc
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] copy_string_kernel
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] do_anonymous_page
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] get_arg_page
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] kernel_init_free_pages.part.0
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] pte_alloc_one
     0.00%     0.00%  GC Thread#2      libjvm.so                                  [.] _ZN24HeapRegionRemSetIterator8has_nextERm
     0.00%     0.00%  GC Thread#22     [kernel.kallsyms]                          [k] llist_add_batch
     0.00%     0.00%  GC Thread#4      libjvm.so                                  [.] _ZN8PtrQueue20enqueue_known_activeEPv
     0.00%     0.00%  G1 Refine#12     ld-2.28.so                                 [.] __tls_get_addr
     0.00%     0.00%  GC Thread#2      libjvm.so                                  [.] _ZN11G1CardTable18mark_card_deferredEm
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] entry_SYSCALL_64_safe_stack
     0.00%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] __x86_indirect_thunk_rax
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]                          [k] futex_wait_setup
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] __update_idle_core
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] pick_next_task_idle
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] __cgroup_account_cputime
     0.00%     0.00%  migration/4      [kernel.kallsyms]                          [k] update_load_avg
     0.00%     0.00%  migration/4      [kernel.kallsyms]                          [k] activate_task
     0.00%     0.00%  migration/4      [kernel.kallsyms]                          [k] active_load_balance_cpu_stop
     0.00%     0.00%  migration/4      [kernel.kallsyms]                          [k] attach_task
     0.00%     0.00%  migration/4      [kernel.kallsyms]                          [k] cpu_stopper_thread
     0.00%     0.00%  migration/4      [kernel.kallsyms]                          [k] enqueue_entity
     0.00%     0.00%  migration/4      [kernel.kallsyms]                          [k] enqueue_task_fair
     0.00%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] raw_spin_rq_lock_nested
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] __wrgsbase_inactive
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] x86_pmu_disable
     0.00%     0.00%  refresh progres  [kernel.kallsyms]                          [k] set_task_cpu
     0.00%     0.00%  GC Thread#0      libjvm.so                                  [.] _ZN24HeapRegionRemSetIterator8has_nextERm
     0.00%     0.00%  GC Thread#6      [kernel.kallsyms]                          [k] send_call_function_single_ipi
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] queued_spin_unlock
     0.00%     0.00%  top              [kernel.kallsyms]                          [k] __list_del_entry_valid
     0.00%     0.00%  top              [kernel.kallsyms]                          [k] do_fault
     0.00%     0.00%  top              [kernel.kallsyms]                          [k] do_fault_around
     0.00%     0.00%  top              [kernel.kallsyms]                          [k] do_read_fault
     0.00%     0.00%  top              [kernel.kallsyms]                          [k] pte_alloc_one
     0.00%     0.00%  top              [kernel.kallsyms]                          [k] rmqueue
     0.00%     0.00%  Spark Context C  [kernel.kallsyms]                          [k] __cgroup_account_cputime
     0.00%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] put_prev_entity
     0.00%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] put_prev_task_fair
     0.00%     0.00%  GC Thread#6      [kernel.kallsyms]                          [k] __switch_to
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] cgroup_rstat_updated
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] rcu_pending
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] _raw_spin_lock_bh
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] wb_wakeup_delayed
