# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 191K of event 'cycles'
# Event count (approx.): 17297680199363
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.24%     0.22%  kswapd0          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.24%     0.11%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     0.23%     0.23%  NonPeriodicTask  [kernel.kallsyms]                   [k] native_queued_spin_lock_slowpath
     0.23%     0.04%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     0.23%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_epoll_wait
     0.23%     0.02%  kswapd1          [kernel.kallsyms]                   [k] free_unref_page_commit.constprop.0
     0.23%     0.03%  kswapd1          [kernel.kallsyms]                   [k] __mod_lruvec_page_state
     0.22%     0.02%  swapper          [kernel.kallsyms]                   [k] tick_nohz_get_sleep_length
     0.22%     0.03%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.21%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     0.21%     0.03%  swapper          [kernel.kallsyms]                   [k] sched_ttwu_pending
     0.21%     0.03%  epollEventLoopG  [kernel.kallsyms]                   [k] do_epoll_wait
     0.21%     0.01%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.21%     0.05%  kswapd1          [kernel.kallsyms]                   [k] free_pcppages_bulk
     0.21%     0.02%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
     0.21%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_active_list
     0.21%     0.01%  swapper          [kernel.kallsyms]                   [k] unlock_page
     0.20%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     0.20%     0.04%  kswapd1          [kernel.kallsyms]                   [k] __mod_memcg_lruvec_state
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     0.20%     0.17%  NonPeriodicTask  [kernel.kallsyms]                   [k] release_pages
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     0.19%     0.04%  kswapd1          [kernel.kallsyms]                   [k] __mod_memcg_state.part.0
     0.19%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_up_page_bit
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     0.18%     0.18%  swapper          [kernel.kallsyms]                   [k] psi_group_change
     0.18%     0.04%  swapper          [kernel.kallsyms]                   [k] enqueue_entity
     0.18%     0.00%  swapper          [kernel.kallsyms]                   [k] __wake_up_locked_key_bookmark
     0.18%     0.01%  swapper          [kernel.kallsyms]                   [k] __wake_up_common
     0.17%     0.05%  kswapd1          [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.17%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_entity
