# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 2138941614939
#
# Children      Self  Command          Shared Object       Symbol                                           
# ........  ........  ...............  ..................  .................................................
#
     0.19%     0.00%  postgres         [kernel.kallsyms]   [k] do_sys_openat2
     0.19%     0.01%  postgres         [kernel.kallsyms]   [k] ext4_mpage_readpages
     0.19%     0.16%  postgres         [kernel.kallsyms]   [k] rcu_read_unlock_strict
     0.19%     0.00%  postgres         [kernel.kallsyms]   [k] asm_common_interrupt
     0.19%     0.00%  postgres         [kernel.kallsyms]   [k] common_interrupt
     0.18%     0.00%  postgres         [kernel.kallsyms]   [k] __common_interrupt
     0.18%     0.00%  postgres         [kernel.kallsyms]   [k] handle_edge_irq
     0.18%     0.02%  postgres         [kernel.kallsyms]   [k] ext4_da_get_block_prep
     0.17%     0.16%  postgres         [kernel.kallsyms]   [k] page_mapping
     0.17%     0.00%  postgres         [kernel.kallsyms]   [k] handle_irq_event
     0.16%     0.00%  postgres         [kernel.kallsyms]   [k] __handle_irq_event_percpu
     0.16%     0.15%  postgres         [kernel.kallsyms]   [k] PageHuge
     0.16%     0.00%  postgres         [kernel.kallsyms]   [k] syscall_exit_to_user_mode
     0.16%     0.00%  postgres         [kernel.kallsyms]   [k] nvme_process_cq
     0.16%     0.00%  postgres         [kernel.kallsyms]   [k] nvme_irq
     0.16%     0.00%  postgres         [kernel.kallsyms]   [k] nvme_pci_complete_rq
     0.15%     0.00%  kcompactd1       [kernel.kallsyms]   [k] compaction_alloc
     0.15%     0.01%  kcompactd1       [kernel.kallsyms]   [k] move_to_new_page
     0.15%     0.00%  postgres         [kernel.kallsyms]   [k] nvme_complete_rq
     0.15%     0.04%  postgres         [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.15%     0.01%  postgres         [kernel.kallsyms]   [k] pick_next_task_fair
     0.15%     0.01%  swapper          [kernel.kallsyms]   [k] flush_smp_call_function_queue
     0.15%     0.00%  postgres         [kernel.kallsyms]   [k] blk_mq_end_request
     0.15%     0.00%  postgres         [kernel.kallsyms]   [k] do_filp_open
     0.15%     0.00%  swapper          [kernel.kallsyms]   [k] ttwu_do_activate
