# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 2120037017847
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                                               
# ........  ........  ...............  ................................................  .....................................................................................................................................................................................................
#
     0.73%     0.00%  GC Thread#8      [kernel.kallsyms]                                 [k] tick_sched_timer
     0.73%     0.00%  GC Thread#1      [kernel.kallsyms]                                 [k] tick_sched_timer
     0.73%     0.02%  GC Thread#12     [kernel.kallsyms]                                 [k] __hrtimer_run_queues
     0.73%     0.00%  GC Thread#2      [kernel.kallsyms]                                 [k] tick_sched_handle
     0.73%     0.00%  GC Thread#21     [kernel.kallsyms]                                 [k] tick_sched_timer
     0.73%     0.00%  GC Thread#14     [kernel.kallsyms]                                 [k] __run_hrtimer
     0.73%     0.00%  GC Thread#6      [kernel.kallsyms]                                 [k] tick_sched_timer
     0.73%     0.00%  GC Thread#20     [kernel.kallsyms]                                 [k] tick_sched_handle
     0.73%     0.01%  swapper          [kernel.kallsyms]                                 [k] _nohz_idle_balance.constprop.0.isra.0
     0.73%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] link_path_walk.part.0
     0.72%     0.00%  GC Thread#9      [kernel.kallsyms]                                 [k] tick_sched_timer
     0.72%     0.00%  GC Thread#22     [kernel.kallsyms]                                 [k] __run_hrtimer
     0.72%     0.00%  GC Thread#10     [kernel.kallsyms]                                 [k] tick_sched_handle
     0.72%     0.02%  GC Thread#19     [kernel.kallsyms]                                 [k] __hrtimer_run_queues
     0.72%     0.00%  GC Thread#0      [kernel.kallsyms]                                 [k] tick_sched_timer
     0.72%     0.00%  GC Thread#7      [kernel.kallsyms]                                 [k] tick_sched_timer
     0.72%     0.03%  GC Thread#20     [kernel.kallsyms]                                 [k] update_process_times
     0.72%     0.03%  GC Thread#2      [kernel.kallsyms]                                 [k] update_process_times
     0.72%     0.00%  GC Thread#4      [kernel.kallsyms]                                 [k] tick_sched_timer
     0.72%     0.00%  GC Thread#16     [kernel.kallsyms]                                 [k] tick_sched_handle
     0.72%     0.00%  GC Thread#17     [kernel.kallsyms]                                 [k] tick_sched_handle
     0.71%     0.03%  GC Thread#10     [kernel.kallsyms]                                 [k] update_process_times
     0.71%     0.00%  GC Thread#13     [kernel.kallsyms]                                 [k] tick_sched_timer
     0.71%     0.02%  GC Thread#16     [kernel.kallsyms]                                 [k] update_process_times
     0.71%     0.00%  GC Thread#12     [kernel.kallsyms]                                 [k] __run_hrtimer
     0.71%     0.00%  GC Thread#5      [kernel.kallsyms]                                 [k] tick_sched_handle
     0.71%     0.02%  GC Thread#17     [kernel.kallsyms]                                 [k] update_process_times
     0.70%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] get_page_from_freelist
     0.70%     0.00%  GC Thread#19     [kernel.kallsyms]                                 [k] __run_hrtimer
     0.70%     0.00%  GC Thread#14     [kernel.kallsyms]                                 [k] tick_sched_timer
     0.70%     0.02%  GC Thread#5      [kernel.kallsyms]                                 [k] update_process_times
     0.70%     0.00%  GC Thread#8      [kernel.kallsyms]                                 [k] tick_sched_handle
     0.70%     0.00%  GC Thread#21     [kernel.kallsyms]                                 [k] tick_sched_handle
     0.69%     0.00%  GC Thread#22     [kernel.kallsyms]                                 [k] tick_sched_timer
     0.69%     0.00%  GC Thread#9      [kernel.kallsyms]                                 [k] tick_sched_handle
     0.69%     0.00%  GC Thread#1      [kernel.kallsyms]                                 [k] tick_sched_handle
     0.69%     0.02%  GC Thread#21     [kernel.kallsyms]                                 [k] update_process_times
     0.69%     0.00%  GC Thread#6      [kernel.kallsyms]                                 [k] tick_sched_handle
     0.69%     0.02%  GC Thread#8      [kernel.kallsyms]                                 [k] update_process_times
     0.69%     0.00%  GC Thread#0      [kernel.kallsyms]                                 [k] tick_sched_handle
     0.68%     0.02%  GC Thread#9      [kernel.kallsyms]                                 [k] update_process_times
     0.68%     0.02%  GC Thread#1      [kernel.kallsyms]                                 [k] update_process_times
     0.68%     0.00%  GC Thread#7      [kernel.kallsyms]                                 [k] tick_sched_handle
     0.68%     0.00%  GC Thread#4      [kernel.kallsyms]                                 [k] tick_sched_handle
     0.68%     0.03%  GC Thread#0      [kernel.kallsyms]                                 [k] update_process_times
     0.68%     0.00%  GC Thread#12     [kernel.kallsyms]                                 [k] tick_sched_timer
     0.68%     0.03%  GC Thread#6      [kernel.kallsyms]                                 [k] update_process_times
     0.68%     0.00%  GC Thread#13     [kernel.kallsyms]                                 [k] tick_sched_handle
     0.67%     0.02%  GC Thread#7      [kernel.kallsyms]                                 [k] update_process_times
     0.67%     0.67%  Executor task l  [kernel.kallsyms]                                 [k] check_cpu_stall
     0.67%     0.00%  GC Thread#19     [kernel.kallsyms]                                 [k] tick_sched_timer
     0.67%     0.02%  GC Thread#4      [kernel.kallsyms]                                 [k] update_process_times
     0.67%     0.03%  GC Thread#13     [kernel.kallsyms]                                 [k] update_process_times
     0.66%     0.00%  GC Thread#22     [kernel.kallsyms]                                 [k] tick_sched_handle
     0.65%     0.00%  GC Thread#14     [kernel.kallsyms]                                 [k] tick_sched_handle
     0.65%     0.65%  Executor task l  [kernel.kallsyms]                                 [k] __const_udelay
     0.65%     0.02%  GC Thread#22     [kernel.kallsyms]                                 [k] update_process_times
