# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 9401408291994
#
# Children      Self  Command          Shared Object              Symbol                                             
# ........  ........  ...............  .........................  ...................................................
#
     0.70%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] worker_thread
     0.70%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] process_one_work
     0.70%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] wb_workfn
     0.70%     0.69%  LocalJobRunner   [kernel.kallsyms]          [k] sync_regs
     0.70%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] wb_writeback
     0.70%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] __writeback_inodes_wb
     0.70%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] writeback_sb_inodes
     0.70%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] asm_exc_page_fault
     0.70%     0.01%  VM Thread        [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     0.70%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] __writeback_single_inode
     0.70%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] do_writepages
     0.70%     0.08%  kworker/u98:3    [kernel.kallsyms]          [k] ext4_writepages
     0.70%     0.24%  LocalJobRunner   [kernel.kallsyms]          [k] charge_memcg
     0.69%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] move_to_new_page
     0.68%     0.01%  VM Thread        [kernel.kallsyms]          [k] do_syscall_64
     0.68%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] migrate_page
     0.67%     0.06%  LocalJobRunner   [kernel.kallsyms]          [k] lru_cache_add
     0.66%     0.00%  kswapd0          [kernel.kallsyms]          [k] kthread
     0.66%     0.00%  kswapd0          [kernel.kallsyms]          [k] ret_from_fork
     0.66%     0.00%  kswapd0          [kernel.kallsyms]          [k] kswapd
     0.66%     0.00%  kswapd0          [kernel.kallsyms]          [k] balance_pgdat
     0.66%     0.62%  java             [kernel.kallsyms]          [k] change_protection
     0.66%     0.00%  kswapd0          [kernel.kallsyms]          [k] shrink_node
     0.66%     0.01%  localfetcher#1   [kernel.kallsyms]          [k] alloc_pages
     0.66%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] __page_cache_alloc
     0.64%     0.07%  LocalJobRunner   [kernel.kallsyms]          [k] futex_wake
     0.64%     0.08%  java             [kernel.kallsyms]          [k] __mem_cgroup_charge
     0.64%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] tick_sched_timer
     0.64%     0.01%  LocalJobRunner   [kernel.kallsyms]          [k] __ext4_mark_inode_dirty
     0.63%     0.05%  java             [kernel.kallsyms]          [k] remove_migration_pte
     0.62%     0.00%  java             [kernel.kallsyms]          [k] page_counter_uncharge
     0.62%     0.01%  VM Thread        [kernel.kallsyms]          [k] asm_exc_page_fault
     0.61%     0.00%  kswapd0          [kernel.kallsyms]          [k] shrink_lruvec
     0.61%     0.49%  java             [kernel.kallsyms]          [k] _raw_spin_lock
     0.60%     0.02%  LocalJobRunner   [kernel.kallsyms]          [k] futex_wait_queue_me
     0.60%     0.02%  java             [kernel.kallsyms]          [k] scheduler_tick
     0.60%     0.04%  LocalJobRunner   [kernel.kallsyms]          [k] update_process_times
     0.60%     0.20%  LocalJobRunner   [kernel.kallsyms]          [k] __pagevec_lru_add
     0.60%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ondemand_readahead
     0.59%     0.01%  LocalJobRunner   [kernel.kallsyms]          [k] page_cache_ra_unbounded
     0.59%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] tick_sched_handle
