# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'cycles'
# Event count (approx.): 9051642699758
#
# Children      Self  Command          Shared Object                      Symbol                                        
# ........  ........  ...............  .................................  ..............................................
#
     0.00%     0.00%  ReadStage-73     [kernel.kallsyms]                  [k] filemap_map_pages
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] update_load_avg
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] enqueue_entity
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] enqueue_task_fair
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] blkcg_rstat_flush
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] ext4_nonda_switch
     0.00%     0.00%  Native-Transpor  [JIT] tid 2185                     [.] 0x00007f729e89d7ed
     0.00%     0.00%  MutationStage-8  [kernel.kallsyms]                  [k] finish_task_switch.isra.0
     0.00%     0.00%  MutationStage-8  [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  MutationStage-8  [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  MutationStage-8  [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  MutationStage-8  [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  ReadStage-2      [kernel.kallsyms]                  [k] kmem_cache_alloc
     0.00%     0.00%  ReadStage-2      [kernel.kallsyms]                  [k] bio_alloc_bioset
     0.00%     0.00%  ReadStage-2      [kernel.kallsyms]                  [k] bvec_alloc
     0.00%     0.00%  perf             [kernel.kallsyms]                  [k] check_stack_object
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] up_read
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] mempool_free_slab
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] available_idle_cpu
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] futex_wake
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] try_to_wake_up
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] wake_up_q
     0.00%     0.00%  ReadStage-71     [kernel.kallsyms]                  [k] bio_associate_blkg_from_css
     0.00%     0.00%  ReadStage-71     [kernel.kallsyms]                  [k] bio_associate_blkg
     0.00%     0.00%  ReadStage-71     [kernel.kallsyms]                  [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-71     [kernel.kallsyms]                  [k] ext4_readahead
     0.00%     0.00%  ReadStage-71     [kernel.kallsyms]                  [k] read_pages
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] blk_mq_tag_to_rq
     0.00%     0.00%  kworker/u97:1-w  [kernel.kallsyms]                  [k] xas_load
     0.00%     0.00%  kworker/u97:1-w  [kernel.kallsyms]                  [k] __test_set_page_writeback
     0.00%     0.00%  kworker/u97:1-w  [kernel.kallsyms]                  [k] ext4_bio_write_page
     0.00%     0.00%  ReadStage-94     [kernel.kallsyms]                  [k] lock_page_memcg
     0.00%     0.00%  ReadStage-94     [kernel.kallsyms]                  [k] do_set_pte
     0.00%     0.00%  ReadStage-30     [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  ReadStage-108    [kernel.kallsyms]                  [k] available_idle_cpu
     0.00%     0.00%  Thread-83        [kernel.kallsyms]                  [k] update_curr
     0.00%     0.00%  Thread-83        [kernel.kallsyms]                  [k] dequeue_entity
     0.00%     0.00%  Thread-83        [kernel.kallsyms]                  [k] dequeue_task
     0.00%     0.00%  Thread-83        [kernel.kallsyms]                  [k] dequeue_task_fair
     0.00%     0.00%  Thread-135       [kernel.kallsyms]                  [k] dequeue_task_fair
     0.00%     0.00%  Thread-135       [kernel.kallsyms]                  [k] dequeue_task
     0.00%     0.00%  ReadStage-89     [kernel.kallsyms]                  [k] switch_fpu_return
     0.00%     0.00%  ReadStage-89     [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  ReadStage-89     [kernel.kallsyms]                  [k] irqentry_exit
     0.00%     0.00%  ReadStage-89     [kernel.kallsyms]                  [k] irqentry_exit_to_user_mode
     0.00%     0.00%  Thread-85        [kernel.kallsyms]                  [k] iterate_groups
     0.00%     0.00%  Thread-85        [kernel.kallsyms]                  [k] psi_task_switch
     0.00%     0.00%  ReadStage-116    [kernel.kallsyms]                  [k] next_uptodate_page
     0.00%     0.00%  ReadStage-116    [kernel.kallsyms]                  [k] filemap_map_pages
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] tcp_validate_incoming
     0.00%     0.00%  ReadStage-41     [kernel.kallsyms]                  [k] xas_load
     0.00%     0.00%  ReadStage-41     [kernel.kallsyms]                  [k] xa_load
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] up_write
     0.00%     0.00%  ReadStage-79     libc.so.6                          [.] pthread_cond_signal
     0.00%     0.00%  ReadStage-79     [kernel.kallsyms]                  [k] __entry_text_start
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] ktime_get
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] tcp_mstamp_refresh
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] tcp_rcv_space_adjust
     0.00%     0.00%  Thread-43        [kernel.kallsyms]                  [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  Thread-43        [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  Thread-43        [kernel.kallsyms]                  [k] switch_fpu_return
     0.00%     0.00%  Thread-43        [kernel.kallsyms]                  [k] syscall_exit_to_user_mode
     0.00%     0.00%  Thread-134       [kernel.kallsyms]                  [k] __update_load_avg_cfs_rq
     0.00%     0.00%  ReadStage-37     [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  ReadStage-37     [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  ReadStage-37     [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  ReadStage-37     [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  ReadStage-4      [JIT] tid 2185                     [.] 0x00007f729d0006ac
     0.00%     0.00%  ReadStage-71     [kernel.kallsyms]                  [k] clear_page_erms
     0.00%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] dst_release
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] rb_next
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] __pagevec_lru_add
     0.00%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] lru_cache_add
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  MutationStage-7  [kernel.kallsyms]                  [k] pagecache_get_page
     0.00%     0.00%  MutationStage-7  [kernel.kallsyms]                  [k] __do_fault
     0.00%     0.00%  MutationStage-7  [kernel.kallsyms]                  [k] filemap_fault
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] pvclock_gtod_notify
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] tick_do_update_jiffies64.part.0
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] timekeeping_advance
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] timekeeping_update
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] update_wall_time
     0.00%     0.00%  kworker/42:1-mm  [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  kworker/42:1-mm  [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.00%     0.00%  kworker/42:1-mm  [kernel.kallsyms]                  [k] kthread
     0.00%     0.00%  kworker/42:1-mm  [kernel.kallsyms]                  [k] lock_page_lruvec_irqsave
     0.00%     0.00%  kworker/42:1-mm  [kernel.kallsyms]                  [k] lru_add_drain_cpu
     0.00%     0.00%  kworker/42:1-mm  [kernel.kallsyms]                  [k] lru_add_drain_per_cpu
     0.00%     0.00%  kworker/42:1-mm  [kernel.kallsyms]                  [k] pagevec_lru_move_fn
     0.00%     0.00%  kworker/42:1-mm  [kernel.kallsyms]                  [k] process_one_work
     0.00%     0.00%  kworker/42:1-mm  [kernel.kallsyms]                  [k] ret_from_fork
     0.00%     0.00%  kworker/42:1-mm  [kernel.kallsyms]                  [k] worker_thread
     0.00%     0.00%  ReadStage-112    [kernel.kallsyms]                  [k] mempool_alloc
     0.00%     0.00%  ReadStage-112    [kernel.kallsyms]                  [k] bio_alloc_bioset
     0.00%     0.00%  ReadStage-112    [kernel.kallsyms]                  [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-112    [kernel.kallsyms]                  [k] ext4_readahead
     0.00%     0.00%  ReadStage-112    [kernel.kallsyms]                  [k] read_pages
     0.00%     0.00%  Thread-49        [kernel.kallsyms]                  [k] plist_add
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] ext4_es_lookup_extent
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] ext4_map_blocks
     0.00%     0.00%  ReadStage-97     [kernel.kallsyms]                  [k] clear_page_erms
     0.00%     0.00%  ReadStage-97     [kernel.kallsyms]                  [k] __alloc_pages
     0.00%     0.00%  ReadStage-97     [kernel.kallsyms]                  [k] __page_cache_alloc
     0.00%     0.00%  ReadStage-97     [kernel.kallsyms]                  [k] alloc_pages
     0.00%     0.00%  ReadStage-97     [kernel.kallsyms]                  [k] get_page_from_freelist
     0.00%     0.00%  ReadStage-87     [kernel.kallsyms]                  [k] down_read_trylock
     0.00%     0.00%  ReadStage-79     [kernel.kallsyms]                  [k] __blk_rq_map_sg
     0.00%     0.00%  ReadStage-98     [kernel.kallsyms]                  [k] radix_tree_lookup
     0.00%     0.00%  ReadStage-98     [kernel.kallsyms]                  [k] mem_cgroup_from_id
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                  [k] memcpy_erms
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                  [k] __do_sys_prctl
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                  [k] __set_task_comm
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                  [k] __x64_sys_prctl
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                  [k] perf_event_comm
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                  [k] perf_event_comm_output
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                  [k] perf_iterate_sb
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                  [k] available_idle_cpu
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                  [k] try_to_wake_up
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                  [k] wake_up_q
     0.00%     0.00%  ReadStage-130    [kernel.kallsyms]                  [k] irqentry_exit
     0.00%     0.00%  ReadStage-130    [kernel.kallsyms]                  [k] irqentry_exit_to_user_mode
     0.00%     0.00%  ReadStage-130    [kernel.kallsyms]                  [k] sysvec_call_function
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] update_process_times
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] finish_task_switch.isra.0
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] tick_sched_handle
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] tick_sched_timer
     0.00%     0.00%  ReadStage-10     [kernel.kallsyms]                  [k] blkcg_rstat_flush
     0.00%     0.00%  ReadStage-65     [kernel.kallsyms]                  [k] wbt_track
     0.00%     0.00%  ReadStage-65     [kernel.kallsyms]                  [k] __rq_qos_track
     0.00%     0.00%  ReadStage-65     [kernel.kallsyms]                  [k] bio_to_wbt_flags
     0.00%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] lock_page_lruvec_irqsave
     0.00%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] lru_cache_add
     0.00%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] __ext4_journal_start_sb
     0.00%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] jbd2__journal_start
     0.00%     0.00%  ReadStage-150    [kernel.kallsyms]                  [k] __add_to_page_cache_locked
     0.00%     0.00%  ReadStage-150    [kernel.kallsyms]                  [k] xa_get_order
     0.00%     0.00%  ReadStage-9      [kernel.kallsyms]                  [k] page_add_file_rmap
     0.00%     0.00%  ReadStage-9      [kernel.kallsyms]                  [k] do_set_pte
     0.00%     0.00%  Thread-17        [kernel.kallsyms]                  [k] pick_next_task_fair
     0.00%     0.00%  Thread-17        [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  Thread-103       [kernel.kallsyms]                  [k] psi_group_change
     0.00%     0.00%  Thread-103       [kernel.kallsyms]                  [k] psi_task_switch
     0.00%     0.00%  ReadStage-41     [kernel.kallsyms]                  [k] enter_lazy_tlb
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] down_read_trylock
     0.00%     0.00%  Thread-60        [kernel.kallsyms]                  [k] set_task_cpu
     0.00%     0.00%  Thread-60        [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.00%     0.00%  Thread-60        [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-60        [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-60        [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.00%     0.00%  Thread-60        [kernel.kallsyms]                  [k] hrtimer_wakeup
     0.00%     0.00%  Thread-60        [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-60        [kernel.kallsyms]                  [k] try_to_wake_up
     0.00%     0.00%  Thread-60        [kernel.kallsyms]                  [k] wake_up_process
     0.00%     0.00%  ReadStage-10     [kernel.kallsyms]                  [k] __add_to_page_cache_locked
     0.00%     0.00%  ReadStage-100    [kernel.kallsyms]                  [k] xas_find
     0.00%     0.00%  ReadStage-110    [kernel.kallsyms]                  [k] bio_alloc_bioset
     0.00%     0.00%  ReadStage-38     [kernel.kallsyms]                  [k] __mod_memcg_lruvec_state
     0.00%     0.00%  ReadStage-38     [kernel.kallsyms]                  [k] __mod_lruvec_page_state
     0.00%     0.00%  ReadStage-38     [kernel.kallsyms]                  [k] __mod_lruvec_state
     0.00%     0.00%  ReadStage-38     [kernel.kallsyms]                  [k] do_set_pte
     0.00%     0.00%  ReadStage-38     [kernel.kallsyms]                  [k] page_add_file_rmap
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] wbt_track
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] __rq_qos_track
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] __submit_bio
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] blk_mq_submit_bio
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] ext4_readahead
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] read_pages
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] submit_bio
     0.00%     0.00%  ReadStage-77     [kernel.kallsyms]                  [k] submit_bio_noacct
     0.00%     0.00%  ReadStage-134    [kernel.kallsyms]                  [k] bio_add_page
     0.00%     0.00%  Native-Transpor  [JIT] tid 2185                     [.] 0x00007f729d00076a
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] _find_next_bit
     0.00%     0.00%  ReadStage-101    [kernel.kallsyms]                  [k] native_apic_msr_eoi_write
     0.00%     0.00%  ReadStage-101    [kernel.kallsyms]                  [k] __lock_text_start
     0.00%     0.00%  ReadStage-101    [kernel.kallsyms]                  [k] sysvec_call_function
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] errseq_check
     0.00%     0.00%  migration/37     [kernel.kallsyms]                  [k] stop_machine_yield
     0.00%     0.00%  migration/37     [kernel.kallsyms]                  [k] cpu_stopper_thread
     0.00%     0.00%  migration/37     [kernel.kallsyms]                  [k] kthread
     0.00%     0.00%  migration/37     [kernel.kallsyms]                  [k] ret_from_fork
     0.00%     0.00%  migration/37     [kernel.kallsyms]                  [k] smpboot_thread_fn
     0.00%     0.00%  java             [kernel.kallsyms]                  [k] _raw_spin_lock
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] kmem_cache_alloc
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] bio_alloc_bioset
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] bvec_alloc
     0.00%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.00%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-96     [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-96     [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] __slab_free
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] bio_free
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] bio_put
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] kmem_cache_free
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] mempool_free
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] mempool_free_slab
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] update_min_vruntime
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] dequeue_entity
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] dequeue_task
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] io_schedule
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] update_curr
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] wait_on_page_bit_common
     0.00%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] mark_wake_futex
     0.00%     0.00%  ReadStage-65     [kernel.kallsyms]                  [k] __mem_cgroup_charge
     0.00%     0.00%  ReadStage-65     [kernel.kallsyms]                  [k] cgroup_rstat_updated
     0.00%     0.00%  ReadStage-65     [kernel.kallsyms]                  [k] charge_memcg
     0.00%     0.00%  ReadStage-65     [kernel.kallsyms]                  [k] mem_cgroup_charge_statistics.constprop.0
     0.00%     0.00%  ReadStage-65     [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-65     [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] bvec_split_segs
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] __blk_queue_split
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] blk_mq_submit_bio
     0.00%     0.00%  ReadStage-20     [kernel.kallsyms]                  [k] add_mm_counter_fast
     0.00%     0.00%  ReadStage-110    [kernel.kallsyms]                  [k] _raw_spin_lock
     0.00%     0.00%  ReadStage-88     [kernel.kallsyms]                  [k] xas_load
     0.00%     0.00%  ReadStage-88     [kernel.kallsyms]                  [k] xas_find
     0.00%     0.00%  ReadStage-87     [kernel.kallsyms]                  [k] native_flush_tlb_local
     0.00%     0.00%  ReadStage-87     [kernel.kallsyms]                  [k] flush_smp_call_function_queue
     0.00%     0.00%  ReadStage-87     [kernel.kallsyms]                  [k] flush_tlb_func
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] dma_unmap_sg_attrs
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] __common_interrupt
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] __softirqentry_text_start
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] asm_common_interrupt
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] common_interrupt
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] handle_edge_irq
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] handle_irq_event
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] irq_exit_rcu
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] nvme_irq
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] nvme_pci_complete_rq
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] nvme_process_cq
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] nvme_unmap_data.part.0
     0.00%     0.00%  ReadStage-36     [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] blk_mq_tag_to_rq
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] __common_interrupt
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] asm_common_interrupt
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] common_interrupt
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] handle_edge_irq
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] handle_irq_event
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] nvme_irq
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] nvme_process_cq
     0.00%     0.00%  ReadStage-59     [unknown]                          [.] 0000000000000000
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] effective_cpu_util
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] sugov_get_util
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] sugov_update_single_freq
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] __blk_mq_free_request
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] __common_interrupt
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] asm_common_interrupt
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] blk_mq_end_request
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] blk_mq_free_request
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] common_interrupt
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] handle_edge_irq
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] handle_irq_event
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] nvme_complete_rq
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] nvme_irq
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] nvme_pci_complete_rq
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                  [k] nvme_process_cq
     0.00%     0.00%  ReadStage-46     [kernel.kallsyms]                  [k] __radix_tree_lookup
     0.00%     0.00%  ReadStage-46     [kernel.kallsyms]                  [k] idr_find
     0.00%     0.00%  ReadStage-46     [kernel.kallsyms]                  [k] mem_cgroup_from_id
     0.00%     0.00%  ReadStage-46     [kernel.kallsyms]                  [k] radix_tree_lookup
     0.00%     0.00%  Thread-86        [kernel.kallsyms]                  [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  Thread-86        [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  Thread-86        [kernel.kallsyms]                  [k] switch_fpu_return
     0.00%     0.00%  Thread-86        [kernel.kallsyms]                  [k] syscall_exit_to_user_mode
     0.00%     0.00%  java             [kernel.kallsyms]                  [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] irq_chip_ack_parent
     0.00%     0.00%  kworker/41:1-mm  [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  kworker/41:1-mm  [kernel.kallsyms]                  [k] _raw_spin_lock
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] mem_cgroup_flush_stats
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] newidle_balance
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] pick_next_task_fair
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  Thread-55        [kernel.kallsyms]                  [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  Thread-55        [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  Thread-55        [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  Thread-55        [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  Thread-55        [kernel.kallsyms]                  [k] switch_fpu_return
     0.00%     0.00%  Thread-55        [kernel.kallsyms]                  [k] syscall_exit_to_user_mode
