# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'cycles'
# Event count (approx.): 9051642699758
#
# Children      Self  Command          Shared Object                      Symbol                                        
# ........  ........  ...............  .................................  ..............................................
#
     0.30%     0.28%  Native-Transpor  [kernel.kallsyms]                  [k] _raw_spin_lock
     0.30%     0.00%  kswapd1          [kernel.kallsyms]                  [k] __delete_from_page_cache
     0.29%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] sysvec_call_function
     0.29%     0.00%  kswapd1          [kernel.kallsyms]                  [k] try_to_unmap
     0.29%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] unmap_single_vma
     0.29%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] unmap_vmas
     0.29%     0.24%  kswapd1          [kernel.kallsyms]                  [k] smp_call_function_many_cond
     0.29%     0.13%  NonPeriodicTask  [kernel.kallsyms]                  [k] unmap_page_range
     0.29%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.28%     0.27%  Native-Transpor  [kernel.kallsyms]                  [k] clear_page_erms
     0.28%     0.01%  kswapd0          [kernel.kallsyms]                  [k] page_referenced
     0.27%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.27%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] do_syscall_64
     0.26%     0.04%  kswapd1          [kernel.kallsyms]                  [k] page_referenced_one
     0.26%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] ksys_write
     0.26%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] __x64_sys_write
     0.26%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] vfs_write
     0.25%     0.01%  CompactionExecu  [kernel.kallsyms]                  [k] new_sync_write
     0.25%     0.00%  kswapd0          [kernel.kallsyms]                  [k] arch_tlbbatch_flush
     0.25%     0.00%  kswapd0          [kernel.kallsyms]                  [k] try_to_unmap_flush
     0.25%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] ext4_file_write_iter
     0.25%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] ext4_buffered_write_iter
     0.24%     0.02%  kswapd0          [kernel.kallsyms]                  [k] native_flush_tlb_multi
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] __sysvec_call_function
     0.24%     0.00%  swapper          [kernel.kallsyms]                  [k] asm_common_interrupt
     0.24%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] generic_perform_write
     0.23%     0.01%  swapper          [kernel.kallsyms]                  [k] common_interrupt
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] generic_smp_call_function_single_interrupt
     0.23%     0.10%  kswapd1          [kernel.kallsyms]                  [k] try_to_unmap_one
     0.23%     0.21%  kswapd1          [kernel.kallsyms]                  [k] isolate_lru_pages
     0.22%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] tcp_write_xmit
     0.22%     0.20%  kswapd1          [kernel.kallsyms]                  [k] page_vma_mapped_walk
     0.22%     0.01%  swapper          [kernel.kallsyms]                  [k] __common_interrupt
     0.22%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] tcp_push
     0.22%     0.02%  swapper          [kernel.kallsyms]                  [k] pick_next_task_fair
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] ext4_readahead
     0.22%     0.00%  kswapd0          [kernel.kallsyms]                  [k] on_each_cpu_cond_mask
     0.22%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] __tcp_push_pending_frames
     0.22%     0.02%  Native-Transpor  [kernel.kallsyms]                  [k] filemap_map_pages
     0.21%     0.04%  Native-Transpor  [kernel.kallsyms]                  [k] ext4_mpage_readpages
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] hrtimer_wakeup
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] wake_up_process
