# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 19811833428013
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.38%     0.01%  kcompactd0       [kernel.kallsyms]     [k] rmap_walk_file
     0.38%     0.00%  postgres         [kernel.kallsyms]     [k] asm_sysvec_call_function_single
     0.38%     0.07%  postgres         [kernel.kallsyms]     [k] mpage_process_page_bufs
     0.37%     0.00%  postgres         [kernel.kallsyms]     [k] wake_up_page_bit
     0.37%     0.01%  postgres         [kernel.kallsyms]     [k] shmem_alloc_page
     0.37%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] sock_def_readable
     0.37%     0.05%  postgres         [kernel.kallsyms]     [k] __block_commit_write.constprop.0.isra.0
     0.37%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] ep_poll_callback
     0.36%     0.00%  postgres         [kernel.kallsyms]     [k] __page_cache_alloc
     0.36%     0.04%  swapper          [kernel.kallsyms]     [k] psi_task_switch
     0.36%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_select
     0.36%     0.00%  postgres         [kernel.kallsyms]     [k] __wake_up_locked_key_bookmark
     0.36%     0.00%  postgres         [kernel.kallsyms]     [k] default_wake_function
     0.36%     0.35%  postgres         [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.36%     0.35%  postgres         [kernel.kallsyms]     [k] update_cfs_rq_h_load
     0.35%     0.00%  postgres         [kernel.kallsyms]     [k] wake_up_state
     0.35%     0.00%  postgres         [kernel.kallsyms]     [k] sysvec_call_function_single
     0.35%     0.35%  swapper          [kernel.kallsyms]     [k] psi_group_change
     0.35%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] schedule_hrtimeout_range
     0.35%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] schedule_hrtimeout_range_clock
     0.35%     0.27%  postgres         [kernel.kallsyms]     [k] rmqueue_bulk
     0.35%     0.00%  postgres         [kernel.kallsyms]     [k] wake_page_function
     0.34%     0.01%  postgres         [kernel.kallsyms]     [k] pollwake
     0.34%     0.02%  postgres         [kernel.kallsyms]     [k] submit_bio
     0.34%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_recvfrom
     0.34%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] try_to_wake_up
     0.33%     0.00%  postgres         [kernel.kallsyms]     [k] __sys_recvfrom
     0.33%     0.23%  swapper          [kernel.kallsyms]     [k] menu_select
     0.33%     0.01%  postgres         [kernel.kallsyms]     [k] ext4_es_insert_extent
     0.33%     0.00%  postgres         [kernel.kallsyms]     [k] mpage_submit_page
     0.33%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up
     0.33%     0.31%  postgres         [kernel.kallsyms]     [k] ext4_es_lookup_extent
     0.33%     0.07%  swapper          [kernel.kallsyms]     [k] enqueue_task_fair
     0.33%     0.00%  postgres         [kernel.kallsyms]     [k] vfs_statx
     0.32%     0.01%  postgres         [kernel.kallsyms]     [k] submit_bio_noacct
     0.32%     0.02%  kswapd0          [kernel.kallsyms]     [k] page_cache_delete
     0.32%     0.07%  postgres         [kernel.kallsyms]     [k] ext4_find_extent
     0.32%     0.00%  postgres         [kernel.kallsyms]     [k] __sysvec_call_function_single
     0.32%     0.00%  postgres         [kernel.kallsyms]     [k] generic_smp_call_function_single_interrupt
     0.32%     0.01%  postgres         [kernel.kallsyms]     [k] task_numa_migrate.isra.0
