# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 336K of event 'cycles'
# Event count (approx.): 6496021750873
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.46%     0.00%  java             [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     0.46%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __vm_munmap
     0.46%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __x64_sys_munmap
     0.46%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __do_munmap
     0.46%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] unmap_region
     0.45%     0.00%  java             [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     0.44%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     0.44%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     0.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     0.43%     0.43%  pool-4-thread-1  [kernel.kallsyms]   [k] __get_user_nocheck_1
     0.43%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     0.42%     0.07%  pool-4-thread-1  [kernel.kallsyms]   [k] __block_commit_write.constprop.0.isra.0
     0.42%     0.05%  java             [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.42%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     0.42%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] pagecache_get_page
     0.42%     0.01%  java             [kernel.kallsyms]   [k] __sysvec_call_function
     0.42%     0.41%  localfetcher#1   [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.42%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] asm_exc_page_fault
     0.42%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] migrate_misplaced_page
     0.42%     0.28%  java             [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.41%     0.03%  java             [kernel.kallsyms]   [k] __pagevec_lru_add
     0.41%     0.41%  java             [kernel.kallsyms]   [k] clear_page_erms
     0.41%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] balance_dirty_pages
     0.41%     0.00%  java             [kernel.kallsyms]   [k] generic_smp_call_function_single_interrupt
     0.41%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] grab_cache_page_write_begin
     0.41%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] lru_cache_add
     0.41%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     0.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] mem_cgroup_wb_stats
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] cgroup_rstat_flush_irqsafe
     0.40%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] __alloc_pages
     0.40%     0.28%  kswapd0          [kernel.kallsyms]   [k] isolate_pages
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] task_work_run
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] task_numa_work
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] change_prot_numa
     0.39%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] exc_page_fault
     0.39%     0.04%  LocalJobRunner   [kernel.kallsyms]   [k] get_page_from_freelist
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] irqentry_exit
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] irqentry_exit_to_user_mode
     0.39%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] pagecache_get_page
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] grab_cache_page_write_begin
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] task_work_run
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] task_numa_work
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] change_prot_numa
     0.39%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] irqentry_exit
     0.38%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] irqentry_exit_to_user_mode
     0.38%     0.30%  kswapd1          [kernel.kallsyms]   [k] isolate_pages
     0.38%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] do_user_addr_fault
     0.38%     0.00%  kworker/u98:2    [kernel.kallsyms]   [k] kthread
     0.38%     0.00%  kworker/u98:2    [kernel.kallsyms]   [k] ret_from_fork
     0.38%     0.00%  kworker/u98:2    [kernel.kallsyms]   [k] worker_thread
     0.38%     0.00%  kworker/u98:2    [kernel.kallsyms]   [k] process_one_work
     0.38%     0.00%  kworker/u98:2    [kernel.kallsyms]   [k] wb_workfn
     0.38%     0.00%  kworker/u98:2    [kernel.kallsyms]   [k] wb_writeback
     0.38%     0.00%  kworker/u98:2    [kernel.kallsyms]   [k] __writeback_inodes_wb
     0.38%     0.00%  kworker/u98:2    [kernel.kallsyms]   [k] writeback_sb_inodes
     0.37%     0.00%  kworker/u98:2    [kernel.kallsyms]   [k] __writeback_single_inode
     0.37%     0.00%  kworker/u98:2    [kernel.kallsyms]   [k] do_writepages
     0.37%     0.04%  kworker/u96:1+e  [kernel.kallsyms]   [k] end_page_writeback
     0.37%     0.02%  kworker/u98:2    [kernel.kallsyms]   [k] ext4_writepages
