# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 133K of event 'cycles'
# Event count (approx.): 5321267836559
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.39%     0.26%  swapper          [kernel.kallsyms]                   [k] switch_mm_irqs_off
     0.39%     0.07%  swapper          [kernel.kallsyms]                   [k] enqueue_task_fair
     0.39%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __do_sys_prctl
     0.38%     0.00%  kswapd1          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.38%     0.04%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
     0.36%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.36%     0.36%  swapper          [kernel.kallsyms]                   [k] psi_group_change
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ksys_read
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_read
     0.36%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.36%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.36%     0.16%  Native-Transpor  [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_read
     0.36%     0.13%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_page_range
     0.35%     0.02%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.35%     0.15%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.34%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] new_sync_read
     0.34%     0.31%  kswapd1          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.34%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_read_iter
     0.34%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_recvmsg
     0.33%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_recvmsg
     0.33%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg
     0.33%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.31%     0.03%  kswapd0          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.31%     0.00%  kswapd0          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.31%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.31%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     0.31%     0.02%  swapper          [kernel.kallsyms]                   [k] tick_nohz_get_sleep_length
     0.30%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_complete_rq
     0.29%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.29%     0.00%  swapper          [kernel.kallsyms]                   [k] blk_mq_end_request
     0.29%     0.14%  Native-Transpor  [kernel.kallsyms]                   [k] update_load_avg
     0.29%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_push
     0.29%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.28%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_cache_delete
     0.28%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.28%     0.00%  kswapd0          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.28%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task_fair
