# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles'
# Event count (approx.): 198811436039
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................
#
     0.74%     0.23%  mariadbd         [kernel.kallsyms]    [k] switch_fpu_return
     0.73%     0.56%  swapper          [kernel.kallsyms]    [k] switch_mm_irqs_off
     0.73%     0.73%  mariadbd         [kernel.kallsyms]    [k] __default_send_IPI_dest_field
     0.72%     0.60%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     0.71%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.71%     0.08%  mariadbd         [kernel.kallsyms]    [k] task_tick_fair
     0.71%     0.02%  swapper          [kernel.kallsyms]    [k] blk_mq_end_request
     0.70%     0.33%  swapper          [kernel.kallsyms]    [k] update_load_avg
     0.69%     0.02%  kswapd0          [kernel.kallsyms]    [k] try_to_unmap_flush_dirty
     0.69%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.69%     0.04%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_end_io
     0.69%     0.06%  mariadbd         [kernel.kallsyms]    [k] mapping_get_entry
     0.68%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_getevents
     0.68%     0.00%  kswapd0          [kernel.kallsyms]    [k] arch_tlbbatch_flush
     0.67%     0.09%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_loop
     0.67%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sysvec_call_function_single
     0.67%     0.03%  swapper          [kernel.kallsyms]    [k] tick_nohz_stop_tick
     0.67%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.66%     0.55%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.66%     0.00%  swapper          [kernel.kallsyms]    [k] amd_pmu_disable_all
     0.66%     0.00%  mariadbd         [kernel.kallsyms]    [k] do_io_getevents
     0.65%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] __alloc_skb
     0.63%     0.02%  mariadbd         [kernel.kallsyms]    [k] read_events
     0.62%     0.40%  mariadbd         [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.62%     0.29%  kswapd0          [kernel.kallsyms]    [k] smp_call_function_many_cond
     0.62%     0.00%  kswapd0          [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     0.61%     0.22%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.59%     0.02%  mariadbd         [kernel.kallsyms]    [k] sched_ttwu_pending
     0.58%     0.03%  swapper          [kernel.kallsyms]    [k] blk_update_request
     0.57%     0.17%  swapper          [kernel.kallsyms]    [k] tick_nohz_next_event
     0.57%     0.00%  swapper          [kernel.kallsyms]    [k] _nohz_idle_balance.constprop.0.isra.0
     0.55%     0.35%  mariadbd         [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.54%     0.06%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function
     0.54%     0.04%  mariadbd         [kernel.kallsyms]    [k] __softirqentry_text_start
     0.54%     0.51%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_se
     0.53%     0.01%  mariadbd         [kernel.kallsyms]    [k] default_send_IPI_mask_sequence_phys
     0.52%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_restart_sched_tick
     0.52%     0.52%  swapper          [kernel.kallsyms]    [k] get_typical_interval
     0.51%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] consume_skb
     0.51%     0.09%  swapper          [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.51%     0.51%  mariadbd         [kernel.kallsyms]    [k] __restore_fpregs_from_fpstate
     0.50%     0.50%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.50%     0.35%  mariadbd         [kernel.kallsyms]    [k] ktime_get
     0.49%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_da_write_begin
     0.49%     0.03%  mariadbd         [kernel.kallsyms]    [k] consume_skb
     0.49%     0.11%  mariadbd         [kernel.kallsyms]    [k] wake_affine_weight
     0.48%     0.10%  mariadbd         [kernel.kallsyms]    [k] nvme_map_data
     0.48%     0.45%  swapper          [kernel.kallsyms]    [k] _raw_spin_lock
     0.48%     0.10%  mariadbd         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.47%     0.47%  mariadbd         libpthread-2.28.so   [.] __pthread_mutex_lock
     0.47%     0.02%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function
     0.46%     0.02%  mariadbd         [kernel.kallsyms]    [k] __alloc_pages
     0.46%     0.14%  mariadbd         [kernel.kallsyms]    [k] set_task_cpu
     0.46%     0.01%  mariadbd         [kernel.kallsyms]    [k] irqentry_exit_to_user_mode
     0.46%     0.21%  swapper          [kernel.kallsyms]    [k] set_next_entity
     0.46%     0.46%  swapper          [kernel.kallsyms]    [k] __switch_to_asm
     0.46%     0.46%  mariadbd         [kernel.kallsyms]    [k] update_cfs_group
     0.45%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     0.45%     0.32%  mariadbd         [kernel.kallsyms]    [k] kfree
     0.44%     0.05%  swapper          [kernel.kallsyms]    [k] update_blocked_averages
     0.44%     0.44%  mariadbd         [kernel.kallsyms]    [k] __list_del_entry_valid
     0.44%     0.42%  mariadbd         [kernel.kallsyms]    [k] copy_user_generic_string
     0.44%     0.44%  swapper          [kernel.kallsyms]    [k] read_tsc
     0.44%     0.30%  swapper          [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.44%     0.01%  mariadbd         [kernel.kallsyms]    [k] lru_add_drain
     0.43%     0.07%  mariadbd         [kernel.kallsyms]    [k] lru_add_drain_cpu
     0.43%     0.05%  mariadbd         [kernel.kallsyms]    [k] get_page_from_freelist
     0.43%     0.01%  mariadbd         [kernel.kallsyms]    [k] free_swap_cache
     0.42%     0.05%  mariadbd         [kernel.kallsyms]    [k] update_blocked_averages
     0.42%     0.07%  swapper          [kernel.kallsyms]    [k] clockevents_program_event
     0.42%     0.42%  mariadbd         [kernel.kallsyms]    [k] cpuacct_charge
     0.41%     0.07%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_wait_on_overflow
     0.41%     0.09%  tclsh8.6         [kernel.kallsyms]    [k] dequeue_task_fair
     0.41%     0.00%  mariadbd         [kernel.kallsyms]    [k] try_to_free_swap.part.0
     0.40%     0.40%  mariadbd         [kernel.kallsyms]    [k] llist_add_batch
     0.40%     0.04%  swapper          [kernel.kallsyms]    [k] __hrtimer_start_range_ns
     0.40%     0.04%  mariadbd         [kernel.kallsyms]    [k] delete_from_swap_cache
     0.40%     0.38%  mariadbd         [kernel.kallsyms]    [k] _find_next_bit
     0.40%     0.40%  mariadbd         libpthread-2.28.so   [.] __lll_lock_wait
     0.40%     0.02%  mariadbd         [kernel.kallsyms]    [k] wait_on_page_bit_common
     0.40%     0.00%  mariadbd         [kernel.kallsyms]    [k] __lock_page_or_retry
     0.39%     0.10%  tclsh8.6         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.39%     0.04%  swapper          [kernel.kallsyms]    [k] sched_clock_cpu
     0.38%     0.01%  mariadbd         [kernel.kallsyms]    [k] __mark_inode_dirty
     0.38%     0.00%  mariadbd         [kernel.kallsyms]    [k] io_schedule
     0.38%     0.04%  mariadbd         [kernel.kallsyms]    [k] rmqueue
     0.38%     0.02%  mariadbd         [kernel.kallsyms]    [k] __pagevec_lru_add
     0.38%     0.23%  mariadbd         [kernel.kallsyms]    [k] update_rq_clock_task
     0.37%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_ext_map_blocks
     0.37%     0.37%  mariadbd         [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.37%     0.01%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_wakeup
     0.37%     0.04%  mariadbd         [kernel.kallsyms]    [k] lockless_pages_from_mm
     0.36%     0.04%  mariadbd         [kernel.kallsyms]    [k] alloc_pages_vma
     0.36%     0.06%  mariadbd         [kernel.kallsyms]    [k] check_preempt_curr
     0.35%     0.35%  mariadbd         [kernel.kallsyms]    [k] __switch_to_asm
     0.35%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] select_task_rq_fair
     0.35%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_dirty_inode
     0.35%     0.04%  mariadbd         [kernel.kallsyms]    [k] sched_clock_cpu
     0.34%     0.03%  mariadbd         [kernel.kallsyms]    [k] skb_release_data
