# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11612035658184
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................................
#
     0.92%     0.02%  swapper          [kernel.kallsyms]                                 [k] __softirqentry_text_start
     0.92%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __get_user_pages
     0.92%     0.92%  mariadbd         [kernel.kallsyms]                                 [k] available_idle_cpu
     0.91%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] swap_readpage
     0.91%     0.01%  swapper          [kernel.kallsyms]                                 [k] tick_sched_timer
     0.90%     0.28%  mariadbd         [kernel.kallsyms]                                 [k] futex_wait_setup
     0.90%     0.51%  mariadbd         [kernel.kallsyms]                                 [k] __audit_syscall_exit
     0.90%     0.69%  mariadbd         [kernel.kallsyms]                                 [k] update_sg_lb_stats
     0.89%     0.27%  mariadbd         [kernel.kallsyms]                                 [k] ttwu_queue_wakelist
     0.89%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] asm_sysvec_call_function_single
     0.89%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] wake_affine
     0.89%     0.06%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_get_sleep_length
     0.88%     0.44%  swapper          [kernel.kallsyms]                                 [k] update_load_avg
     0.86%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] ext4_dio_write_checks
     0.85%     0.16%  mariadbd         [kernel.kallsyms]                                 [k] switch_fpu_return
     0.85%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] on_each_cpu_cond_mask
     0.85%     0.32%  kswapd0          [kernel.kallsyms]                                 [k] smp_call_function_many_cond
     0.84%     0.15%  swapper          [kernel.kallsyms]                                 [k] pick_next_task_fair
     0.84%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] iomap_dio_submit_bio
     0.84%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_recvfrom
     0.82%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __sys_recvfrom
     0.82%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] ext4_iomap_begin
     0.82%     0.03%  tclsh8.6         [kernel.kallsyms]                                 [k] schedule_hrtimeout_range_clock
     0.81%     0.06%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_idle_exit
     0.79%     0.41%  swapper          [kernel.kallsyms]                                 [k] ktime_get
     0.78%     0.03%  tclsh8.6         [kernel.kallsyms]                                 [k] schedule
     0.78%     0.00%  swapper          [kernel.kallsyms]                                 [k] tick_sched_handle
     0.78%     0.04%  swapper          [kernel.kallsyms]                                 [k] update_process_times
     0.77%     0.04%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_stop_tick
     0.77%     0.64%  mariadbd         [kernel.kallsyms]                                 [k] ext4_es_lookup_extent
     0.76%     0.11%  tclsh8.6         [kernel.kallsyms]                                 [k] __schedule
     0.76%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] sock_alloc_send_pskb
     0.75%     0.01%  swapper          [kernel.kallsyms]                                 [k] blk_mq_end_request
     0.74%     0.74%  mariadbd         [kernel.kallsyms]                                 [k] __default_send_IPI_dest_field
     0.74%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] alloc_skb_with_frags
     0.73%     0.13%  mariadbd         [kernel.kallsyms]                                 [k] __irq_exit_rcu
     0.73%     0.47%  mariadbd         [kernel.kallsyms]                                 [k] finish_task_switch.isra.0
     0.71%     0.04%  swapper          [kernel.kallsyms]                                 [k] hrtimer_start_range_ns
     0.71%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] unix_stream_recvmsg
     0.70%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] unix_stream_read_generic
     0.70%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] __alloc_skb
     0.69%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] mapping_get_entry
     0.69%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] sysvec_call_function_single
     0.69%     0.69%  mariadbd         [kernel.kallsyms]                                 [k] __restore_fpregs_from_fpstate
     0.68%     0.01%  tclsh8.6         [kernel.kallsyms]                                 [k] __wake_up_common_lock
     0.67%     0.05%  swapper          [kernel.kallsyms]                                 [k] blk_update_request
