# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6647396362522
#
# Children      Self  Command          Shared Object         Symbol                                                                                                                                                                     
# ........  ........  ...............  ....................  ...........................................................................................................................................................................
#
     0.88%     0.01%  swapper          [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.88%     0.01%  swapper          [kernel.kallsyms]     [k] __run_hrtimer
     0.87%     0.45%  swapper          [kernel.kallsyms]     [k] update_load_avg
     0.87%     0.06%  swapper          [kernel.kallsyms]     [k] tick_nohz_get_sleep_length
     0.85%     0.01%  swapper          [kernel.kallsyms]     [k] tick_sched_timer
     0.84%     0.44%  swapper          [kernel.kallsyms]     [k] ktime_get
     0.82%     0.04%  swapper          [kernel.kallsyms]     [k] hrtimer_start_range_ns
     0.80%     0.04%  mariadbd         [kernel.kallsyms]     [k] pollwake
     0.80%     0.01%  mariadbd         [kernel.kallsyms]     [k] schedule_hrtimeout_range_clock
     0.79%     0.04%  mariadbd         [kernel.kallsyms]     [k] ext4_map_blocks
     0.79%     0.18%  swapper          [kernel.kallsyms]     [k] pick_next_task_fair
     0.79%     0.01%  mariadbd         [kernel.kallsyms]     [k] unix_stream_recvmsg
     0.78%     0.08%  mariadbd         [kernel.kallsyms]     [k] unix_stream_read_generic
     0.77%     0.03%  mariadbd         [kernel.kallsyms]     [k] ext4_iomap_begin
     0.77%     0.26%  mariadbd         [kernel.kallsyms]     [k] futex_wait_setup
     0.74%     0.20%  mariadbd         [kernel.kallsyms]     [k] enqueue_entity
     0.74%     0.74%  mariadbd         [kernel.kallsyms]     [k] available_idle_cpu
     0.73%     0.01%  swapper          [kernel.kallsyms]     [k] blk_mq_end_request
     0.73%     0.15%  mariadbd         [kernel.kallsyms]     [k] select_idle_cpu
     0.72%     0.00%  swapper          [kernel.kallsyms]     [k] tick_sched_handle
     0.72%     0.02%  mariadbd         [kernel.kallsyms]     [k] amd_pmu_disable_all
     0.72%     0.03%  mariadbd         [kernel.kallsyms]     [k] iomap_dio_bio_end_io
     0.72%     0.03%  swapper          [kernel.kallsyms]     [k] update_process_times
