# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10490410651502
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                           
# ........  ........  ...............  ..........................  .................................................................................................................................................................................
#
     0.95%     0.02%  mariadbd         [kernel.kallsyms]           [k] default_send_IPI_mask_sequence_phys
     0.94%     0.00%  mariadbd         [kernel.kallsyms]           [k] new_sync_write
     0.94%     0.02%  mariadbd         [kernel.kallsyms]           [k] blk_mq_sched_insert_requests
     0.94%     0.00%  mariadbd         [kernel.kallsyms]           [k] ext4_buffered_write_iter
     0.94%     0.04%  mariadbd         [kernel.kallsyms]           [k] __blk_mq_try_issue_directly
     0.94%     0.06%  swapper          [kernel.kallsyms]           [k] tick_nohz_get_sleep_length
     0.93%     0.01%  swapper          [kernel.kallsyms]           [k] tick_sched_timer
     0.91%     0.01%  mariadbd         [kernel.kallsyms]           [k] blk_finish_plug
     0.91%     0.04%  mariadbd         [kernel.kallsyms]           [k] blk_update_request
     0.91%     0.00%  mariadbd         [kernel.kallsyms]           [k] generic_perform_write
     0.90%     0.02%  mariadbd         [kernel.kallsyms]           [k] schedule_hrtimeout_range_clock
     0.89%     0.06%  swapper          [kernel.kallsyms]           [k] tick_nohz_idle_exit
     0.88%     0.11%  mariadbd         [kernel.kallsyms]           [k] nvme_queue_rq
     0.87%     0.45%  swapper          [kernel.kallsyms]           [k] update_load_avg
     0.87%     0.18%  mariadbd         [kernel.kallsyms]           [k] mapping_get_entry
     0.87%     0.04%  mariadbd         [kernel.kallsyms]           [k] blk_mq_try_issue_list_directly
     0.87%     0.04%  swapper          [kernel.kallsyms]           [k] tick_nohz_stop_tick
     0.86%     0.26%  mariadbd         [kernel.kallsyms]           [k] ttwu_queue_wakelist
     0.86%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] unix_stream_recvmsg
     0.85%     0.28%  mariadbd         [kernel.kallsyms]           [k] futex_wait_setup
     0.85%     0.10%  tclsh8.6         [kernel.kallsyms]           [k] unix_stream_read_generic
     0.83%     0.83%  mariadbd         [kernel.kallsyms]           [k] available_idle_cpu
     0.83%     0.44%  swapper          [kernel.kallsyms]           [k] ktime_get
     0.83%     0.58%  mariadbd         [kernel.kallsyms]           [k] __audit_syscall_exit
     0.82%     0.01%  swapper          [kernel.kallsyms]           [k] blk_mq_end_request
     0.82%     0.02%  mariadbd         [kernel.kallsyms]           [k] iomap_dio_submit_bio
     0.81%     0.04%  swapper          [kernel.kallsyms]           [k] hrtimer_start_range_ns
     0.81%     0.16%  swapper          [kernel.kallsyms]           [k] pick_next_task_fair
     0.81%     0.03%  mariadbd         [kernel.kallsyms]           [k] wake_affine
     0.81%     0.00%  mariadbd         [kernel.kallsyms]           [k] arch_tlbbatch_flush
     0.79%     0.16%  mariadbd         [kernel.kallsyms]           [k] switch_fpu_return
     0.79%     0.00%  swapper          [kernel.kallsyms]           [k] tick_sched_handle
     0.78%     0.04%  swapper          [kernel.kallsyms]           [k] update_process_times
     0.78%     0.15%  mariadbd         [kernel.kallsyms]           [k] __find_get_block_slow
     0.78%     0.00%  mariadbd         [kernel.kallsyms]           [k] try_to_unmap_flush_dirty
     0.76%     0.01%  mariadbd         [kernel.kallsyms]           [k] sysvec_call_function
     0.75%     0.01%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_recvfrom
     0.74%     0.01%  mariadbd         [kernel.kallsyms]           [k] __sys_recvfrom
     0.73%     0.05%  swapper          [kernel.kallsyms]           [k] blk_update_request
     0.72%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] schedule_hrtimeout_range_clock
     0.70%     0.01%  mariadbd         [kernel.kallsyms]           [k] sock_alloc_send_pskb
     0.70%     0.04%  mariadbd         [kernel.kallsyms]           [k] asm_sysvec_call_function_single
     0.69%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] schedule
     0.69%     0.01%  swapper          [kernel.kallsyms]           [k] scheduler_tick
     0.68%     0.04%  mariadbd         [kernel.kallsyms]           [k] alloc_skb_with_frags
     0.67%     0.09%  tclsh8.6         [kernel.kallsyms]           [k] __schedule
     0.66%     0.34%  mariadbd         [kernel.kallsyms]           [k] x86_pmu_disable_all
     0.65%     0.04%  mariadbd         [kernel.kallsyms]           [k] __alloc_skb
     0.64%     0.43%  mariadbd         [kernel.kallsyms]           [k] finish_task_switch.isra.0
     0.64%     0.18%  mariadbd         [kernel.kallsyms]           [k] flush_smp_call_function_queue
     0.64%     0.01%  mariadbd         [kernel.kallsyms]           [k] free_swap_cache
     0.64%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] __wake_up_common_lock
     0.63%     0.01%  mariadbd         [kernel.kallsyms]           [k] try_to_free_swap.part.0
     0.63%     0.01%  mariadbd         [kernel.kallsyms]           [k] unix_stream_recvmsg
     0.63%     0.63%  mariadbd         [kernel.kallsyms]           [k] __restore_fpregs_from_fpstate
     0.63%     0.10%  mariadbd         [kernel.kallsyms]           [k] __irq_exit_rcu
     0.62%     0.06%  mariadbd         [kernel.kallsyms]           [k] unix_stream_read_generic
     0.62%     0.04%  tclsh8.6         [kernel.kallsyms]           [k] __wake_up_common
     0.61%     0.00%  mariadbd         [kernel.kallsyms]           [k] __sysvec_call_function
