# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6625486293113
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                                                                    
# ........  ........  ...............  ..........................  ..........................................................................................................................................................................................................................
#
     0.55%     0.45%  mariadbd         [kernel.kallsyms]           [k] ext4_es_lookup_extent
     0.55%     0.09%  mariadbd         [kernel.kallsyms]           [k] task_tick_fair
     0.54%     0.04%  mariadbd         [kernel.kallsyms]           [k] asm_sysvec_call_function_single
     0.54%     0.01%  swapper          [kernel.kallsyms]           [k] perf_event_task_tick
     0.53%     0.04%  tclsh8.6         [kernel.kallsyms]           [k] __alloc_skb
     0.53%     0.07%  swapper          [kernel.kallsyms]           [k] perf_adjust_freq_unthr_context
     0.53%     0.50%  swapper          [kernel.kallsyms]           [k] switch_mm_irqs_off
     0.52%     0.02%  swapper          [kernel.kallsyms]           [k] _nohz_idle_balance.constprop.0.isra.0
     0.52%     0.13%  swapper          [kernel.kallsyms]           [k] tick_nohz_next_event
     0.50%     0.23%  swapper          [kernel.kallsyms]           [k] flush_smp_call_function_queue
     0.49%     0.14%  swapper          [kernel.kallsyms]           [k] set_next_entity
     0.48%     0.48%  swapper          [kernel.kallsyms]           [k] get_typical_interval
     0.48%     0.02%  mariadbd         [kernel.kallsyms]           [k] find_busiest_group
     0.46%     0.03%  mariadbd         [kernel.kallsyms]           [k] update_sd_lb_stats.constprop.0
     0.46%     0.04%  mariadbd         [kernel.kallsyms]           [k] lockless_pages_from_mm
     0.46%     0.04%  swapper          [kernel.kallsyms]           [k] tick_nohz_stop_tick
     0.45%     0.09%  mariadbd         [kernel.kallsyms]           [k] __irq_exit_rcu
     0.45%     0.37%  mariadbd         [kernel.kallsyms]           [k] __cond_resched
     0.44%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] consume_skb
     0.44%     0.00%  mariadbd         [kernel.kallsyms]           [k] sysvec_call_function_single
