# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 509K of event 'cycles'
# Event count (approx.): 7640386455938
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.37%     0.00%  kworker/u97:0-f  [kernel.kallsyms]     [k] kthread
     0.37%     0.00%  kworker/u97:0-f  [kernel.kallsyms]     [k] ret_from_fork
     0.37%     0.00%  kworker/u97:0-f  [kernel.kallsyms]     [k] worker_thread
     0.37%     0.00%  kworker/u97:0-f  [kernel.kallsyms]     [k] process_one_work
     0.37%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __page_cache_alloc
     0.37%     0.04%  InMemoryMerger   [kernel.kallsyms]     [k] get_page_from_freelist
     0.37%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_dirty_inode
     0.37%     0.27%  java             [kernel.kallsyms]     [k] __count_memcg_events
     0.36%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] alloc_pages
     0.36%     0.03%  java             [kernel.kallsyms]     [k] update_process_times
     0.36%     0.00%  kworker/u97:0-f  [kernel.kallsyms]     [k] wb_workfn
     0.36%     0.00%  kworker/u97:0-f  [kernel.kallsyms]     [k] wb_writeback
     0.36%     0.00%  kworker/u97:0-f  [kernel.kallsyms]     [k] __writeback_inodes_wb
     0.36%     0.00%  kworker/u97:0-f  [kernel.kallsyms]     [k] __writeback_single_inode
     0.36%     0.00%  kworker/u97:0-f  [kernel.kallsyms]     [k] do_writepages
     0.36%     0.00%  kworker/u97:0-f  [kernel.kallsyms]     [k] writeback_sb_inodes
     0.36%     0.02%  kworker/u97:0-f  [kernel.kallsyms]     [k] ext4_writepages
     0.35%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_handle
     0.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.35%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] migrate_misplaced_page
     0.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.34%     0.34%  java             [kernel.kallsyms]     [k] clear_page_erms
     0.34%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] do_swap_page
     0.34%     0.34%  localfetcher#1   [kernel.kallsyms]     [k] native_irq_return_iret
     0.34%     0.00%  java             [kernel.kallsyms]     [k] tlb_flush_mmu
     0.33%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.33%     0.04%  pool-4-thread-1  [kernel.kallsyms]     [k] mark_buffer_dirty
