# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 108795812652
#
# Children      Self  Command          Shared Object        Symbol                                                                                                            
# ........  ........  ...............  ...................  ..................................................................................................................
#
     0.81%     0.61%  mariadbd         [kernel.kallsyms]    [k] update_sg_lb_stats
     0.81%     0.00%  mariadbd         [kernel.kallsyms]    [k] wake_affine
     0.80%     0.12%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     0.80%     0.23%  mariadbd         [kernel.kallsyms]    [k] futex_wait_setup
     0.79%     0.53%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
     0.79%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] try_to_wake_up
     0.78%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait
     0.78%     0.00%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.77%     0.04%  mariadbd         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.77%     0.00%  mariadbd         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.77%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_def_readable
     0.76%     0.26%  mariadbd         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     0.76%     0.11%  mariadbd         [kernel.kallsyms]    [k] __irq_exit_rcu
     0.75%     0.75%  mariadbd         [kernel.kallsyms]    [k] available_idle_cpu
     0.74%     0.00%  mariadbd         [kernel.kallsyms]    [k] __sysvec_call_function_single
     0.74%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.73%     0.04%  mariadbd         [kernel.kallsyms]    [k] __alloc_skb
     0.73%     0.51%  swapper          [kernel.kallsyms]    [k] ktime_get
     0.71%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.71%     0.05%  mariadbd         [kernel.kallsyms]    [k] try_to_free_swap.part.0
     0.71%     0.00%  mariadbd         [kernel.kallsyms]    [k] free_swap_cache
     0.70%     0.02%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_exit
     0.70%     0.00%  swapper          [kernel.kallsyms]    [k] blk_mq_end_request
     0.70%     0.01%  swapper          [kernel.kallsyms]    [k] tick_nohz_stop_tick
     0.70%     0.31%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.70%     0.16%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function
     0.69%     0.00%  swapper          [kernel.kallsyms]    [k] scheduler_tick
     0.69%     0.05%  swapper          [kernel.kallsyms]    [k] blk_update_request
     0.69%     0.03%  mariadbd         [kernel.kallsyms]    [k] sched_ttwu_pending
     0.68%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] pollwake
     0.68%     0.37%  mariadbd         [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.68%     0.00%  mariadbd         [kernel.kallsyms]    [k] rmap_walk_anon
     0.66%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] __alloc_skb
     0.64%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait_setup
     0.64%     0.05%  swapper          [kernel.kallsyms]    [k] perf_event_task_tick
     0.63%     0.01%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_end_io
     0.63%     0.52%  swapper          [kernel.kallsyms]    [k] switch_mm_irqs_off
     0.62%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] consume_skb
     0.62%     0.09%  mariadbd         [kernel.kallsyms]    [k] switch_fpu_return
     0.62%     0.00%  kswapd0          [kernel.kallsyms]    [k] balance_pgdat
     0.62%     0.00%  kswapd0          [kernel.kallsyms]    [k] kswapd
     0.62%     0.00%  kswapd0          [kernel.kallsyms]    [k] kthread
     0.62%     0.00%  kswapd0          [kernel.kallsyms]    [k] ret_from_fork
     0.62%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node
     0.62%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node_memcgs
     0.60%     0.07%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_loop
     0.59%     0.12%  mariadbd         [kernel.kallsyms]    [k] page_check_references.isra.0
     0.59%     0.08%  swapper          [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     0.59%     0.01%  swapper          [kernel.kallsyms]    [k] hrtimer_start_range_ns
     0.57%     0.00%  mariadbd         [kernel.kallsyms]    [k] delete_from_swap_cache
     0.57%     0.14%  mariadbd         [kernel.kallsyms]    [k] wake_affine_weight
     0.56%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_es_insert_extent
     0.53%     0.00%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function
     0.53%     0.53%  mariadbd         [kernel.kallsyms]    [k] __restore_fpregs_from_fpstate
     0.51%     0.05%  mariadbd         [kernel.kallsyms]    [k] lockless_pages_from_mm
     0.51%     0.03%  mariadbd         [kernel.kallsyms]    [k] update_blocked_averages
     0.50%     0.05%  mariadbd         [kernel.kallsyms]    [k] __softirqentry_text_start
     0.50%     0.01%  mariadbd         [kernel.kallsyms]    [k] free_swap_slot
     0.50%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_da_write_begin
     0.50%     0.18%  mariadbd         [kernel.kallsyms]    [k] set_task_cpu
     0.49%     0.44%  mariadbd         [kernel.kallsyms]    [k] copy_user_generic_string
     0.49%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_getevents
     0.49%     0.00%  mariadbd         [kernel.kallsyms]    [k] do_io_getevents
     0.49%     0.00%  mariadbd         [kernel.kallsyms]    [k] swapcache_free_entries
     0.48%     0.48%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.48%     0.03%  mariadbd         [kernel.kallsyms]    [k] nvme_map_data
     0.48%     0.22%  mariadbd         [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.48%     0.48%  mariadbd         [kernel.kallsyms]    [k] __list_del_entry_valid
     0.48%     0.00%  mariadbd         [kernel.kallsyms]    [k] __mark_inode_dirty
     0.47%     0.00%  mariadbd         [kernel.kallsyms]    [k] page_referenced
     0.47%     0.07%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_wakeup
     0.47%     0.46%  swapper          [kernel.kallsyms]    [k] _raw_spin_lock
     0.47%     0.01%  mariadbd         [kernel.kallsyms]    [k] irqentry_exit_to_user_mode
     0.47%     0.37%  mariadbd         [kernel.kallsyms]    [k] ktime_get
     0.47%     0.00%  swapper          [kernel.kallsyms]    [k] amd_pmu_disable_all
     0.47%     0.02%  mariadbd         [kernel.kallsyms]    [k] read_events
     0.47%     0.45%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.46%     0.07%  mariadbd         [kernel.kallsyms]    [k] flush_smp_call_function_queue
