# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 258K of event 'cycles'
# Event count (approx.): 8638099341560
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.69%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_dirty_inode
     0.68%     0.68%  InMemoryMerger   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.68%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] exc_page_fault
     0.66%     0.24%  localfetcher#1   [kernel.kallsyms]  [k] charge_memcg
     0.65%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] do_user_addr_fault
     0.63%     0.02%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
     0.61%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.60%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] handle_mm_fault
     0.60%     0.59%  localfetcher#1   [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.56%     0.00%  kworker/u98:3-f  [kernel.kallsyms]  [k] kthread
     0.56%     0.00%  kworker/u98:3-f  [kernel.kallsyms]  [k] process_one_work
     0.56%     0.00%  kworker/u98:3-f  [kernel.kallsyms]  [k] ret_from_fork
     0.56%     0.00%  kworker/u98:3-f  [kernel.kallsyms]  [k] wb_workfn
     0.56%     0.00%  kworker/u98:3-f  [kernel.kallsyms]  [k] worker_thread
     0.56%     0.00%  kworker/u98:3-f  [kernel.kallsyms]  [k] wb_writeback
     0.56%     0.00%  kworker/u98:3-f  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.56%     0.00%  kworker/u98:3-f  [kernel.kallsyms]  [k] __writeback_single_inode
     0.56%     0.00%  kworker/u98:3-f  [kernel.kallsyms]  [k] do_writepages
     0.56%     0.00%  kworker/u98:3-f  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.56%     0.03%  kworker/u98:3-f  [kernel.kallsyms]  [k] ext4_writepages
     0.55%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] alloc_pages
     0.55%     0.00%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.55%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] __alloc_pages
     0.55%     0.00%  java             [kernel.kallsyms]  [k] do_syscall_64
     0.53%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] exc_page_fault
     0.52%     0.08%  InMemoryMerger   [kernel.kallsyms]  [k] get_page_from_freelist
     0.51%     0.04%  java             [kernel.kallsyms]  [k] migrate_pages
     0.50%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] do_user_addr_fault
     0.48%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.48%     0.47%  pool-4-thread-1  [kernel.kallsyms]  [k] clear_page_erms
     0.47%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] kthread
     0.47%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ret_from_fork
     0.47%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] worker_thread
     0.47%     0.02%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.47%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.47%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] process_one_work
     0.47%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.46%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __page_cache_alloc
     0.46%     0.07%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.46%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] handle_mm_fault
     0.46%     0.00%  java             [kernel.kallsyms]  [k] find_vma
     0.45%     0.45%  java             [kernel.kallsyms]  [k] vmacache_find
     0.45%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_block_write_begin
     0.45%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_block_write_begin
     0.44%     0.04%  kswapd1          [kernel.kallsyms]  [k] __remove_mapping
     0.44%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_get_pages
     0.43%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.43%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ondemand_readahead
     0.43%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] page_cache_ra_unbounded
     0.41%     0.13%  pool-4-thread-1  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.41%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     0.41%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
     0.41%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     0.41%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     0.41%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     0.41%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     0.41%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     0.40%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_munmap
     0.40%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __vm_munmap
     0.40%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __do_munmap
     0.40%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] unmap_region
     0.39%     0.00%  java             [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.38%     0.00%  java             [kernel.kallsyms]  [k] arch_do_signal_or_restart
     0.38%     0.00%  java             [kernel.kallsyms]  [k] get_signal
     0.38%     0.00%  java             [kernel.kallsyms]  [k] do_exit
     0.38%     0.00%  java             [kernel.kallsyms]  [k] do_group_exit
     0.38%     0.00%  java             [kernel.kallsyms]  [k] exit_mmap
     0.38%     0.00%  java             [kernel.kallsyms]  [k] mmput
     0.38%     0.00%  java             [kernel.kallsyms]  [k] unmap_single_vma
     0.38%     0.00%  java             [kernel.kallsyms]  [k] unmap_vmas
     0.38%     0.08%  java             [kernel.kallsyms]  [k] unmap_page_range
     0.37%     0.10%  pool-4-thread-1  [kernel.kallsyms]  [k] __handle_mm_fault
     0.37%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] page_cache_async_ra
     0.36%     0.02%  kswapd0          [kernel.kallsyms]  [k] __remove_mapping
     0.36%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
