# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles'
# Event count (approx.): 478879349612
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                           
# ........  ........  ...............  .......................  .................................................................................................................................
#
     0.36%     0.01%  kswapd0          [kernel.kallsyms]        [k] rmap_walk_anon
     0.36%     0.36%  mariadbd         libpthread-2.28.so       [.] __lll_lock_wait
     0.36%     0.05%  swapper          [kernel.kallsyms]        [k] clockevents_program_event
     0.36%     0.02%  swapper          [kernel.kallsyms]        [k] hrtimer_next_event_without
     0.36%     0.36%  swapper          [kernel.kallsyms]        [k] native_sched_clock
     0.35%     0.35%  mariadbd         [kernel.kallsyms]        [k] __switch_to_asm
     0.34%     0.12%  mariadbd         [kernel.kallsyms]        [k] flush_smp_call_function_queue
     0.34%     0.07%  mariadbd         [kernel.kallsyms]        [k] check_preempt_curr
     0.34%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] syscall_exit_to_user_mode
     0.34%     0.01%  mariadbd         [kernel.kallsyms]        [k] consume_skb
     0.34%     0.01%  swapper          [kernel.kallsyms]        [k] try_to_wake_up
     0.34%     0.34%  mariadbd         mariadbd                 [.] crc32c_3way
     0.34%     0.32%  tclsh8.6         [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath.part.0
     0.33%     0.08%  mariadbd         [kernel.kallsyms]        [k] gup_pgd_range
     0.33%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_sync_file
     0.33%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_fdatasync
     0.33%     0.04%  mariadbd         [kernel.kallsyms]        [k] submit_bio_noacct
     0.33%     0.02%  mariadbd         [kernel.kallsyms]        [k] delete_from_swap_cache
     0.33%     0.19%  mariadbd         [kernel.kallsyms]        [k] mark_wake_futex
     0.32%     0.21%  mariadbd         [kernel.kallsyms]        [k] kfree
     0.32%     0.23%  swapper          [kernel.kallsyms]        [k] __hrtimer_next_event_base
     0.32%     0.16%  mariadbd         [kernel.kallsyms]        [k] migrate_task_rq_fair
     0.32%     0.01%  mariadbd         [kernel.kallsyms]        [k] free_swap_cache
     0.32%     0.00%  mariadbd         [kernel.kallsyms]        [k] __sysvec_call_function
     0.32%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_read_actor
     0.31%     0.31%  mariadbd         [kernel.kallsyms]        [k] llist_add_batch
     0.31%     0.01%  mariadbd         [kernel.kallsyms]        [k] touch_atime
     0.31%     0.04%  swapper          [kernel.kallsyms]        [k] __hrtimer_start_range_ns
     0.31%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] skb_copy_datagram_iter
