# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 2119709606288
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
     0.82%     0.00%  swapper          [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.81%     0.00%  GC Thread#3      [kernel.kallsyms]                   [k] tick_sched_timer
     0.81%     0.00%  GC Thread#6      [kernel.kallsyms]                   [k] tick_sched_timer
     0.81%     0.01%  GC Thread#9      [kernel.kallsyms]                   [k] __run_hrtimer
     0.81%     0.00%  GC Thread#8      [kernel.kallsyms]                   [k] tick_sched_timer
     0.80%     0.79%  Executor task l  [kernel.kallsyms]                   [k] __d_lookup_rcu
     0.80%     0.02%  GC Thread#22     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.80%     0.00%  GC Thread#14     [kernel.kallsyms]                   [k] __run_hrtimer
     0.79%     0.02%  GC Thread#15     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.79%     0.02%  GC Thread#0      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.79%     0.00%  GC Thread#20     [kernel.kallsyms]                   [k] tick_sched_handle
     0.79%     0.00%  GC Thread#13     [kernel.kallsyms]                   [k] tick_sched_timer
     0.79%     0.00%  GC Thread#17     [kernel.kallsyms]                   [k] tick_sched_timer
     0.79%     0.00%  GC Thread#10     [kernel.kallsyms]                   [k] tick_sched_handle
     0.79%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_futex
     0.78%     0.00%  GC Thread#2      [kernel.kallsyms]                   [k] tick_sched_handle
     0.78%     0.02%  GC Thread#1      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.78%     0.00%  GC Thread#22     [kernel.kallsyms]                   [k] __run_hrtimer
     0.78%     0.03%  GC Thread#20     [kernel.kallsyms]                   [k] update_process_times
     0.78%     0.03%  GC Thread#10     [kernel.kallsyms]                   [k] update_process_times
     0.78%     0.07%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     0.78%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_futex
     0.77%     0.00%  GC Thread#15     [kernel.kallsyms]                   [k] __run_hrtimer
     0.77%     0.05%  Executor task l  [kernel.kallsyms]                   [k] try_to_wake_up
     0.77%     0.03%  GC Thread#2      [kernel.kallsyms]                   [k] update_process_times
     0.77%     0.00%  GC Thread#9      [kernel.kallsyms]                   [k] tick_sched_timer
     0.77%     0.00%  GC Thread#0      [kernel.kallsyms]                   [k] __run_hrtimer
     0.77%     0.02%  GC Thread#18     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.77%     0.00%  GC Thread#3      [kernel.kallsyms]                   [k] tick_sched_handle
     0.77%     0.02%  GC Thread#7      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.76%     0.00%  GC Thread#14     [kernel.kallsyms]                   [k] tick_sched_timer
     0.76%     0.00%  GC Thread#8      [kernel.kallsyms]                   [k] tick_sched_handle
     0.76%     0.00%  GC Thread#1      [kernel.kallsyms]                   [k] __run_hrtimer
     0.76%     0.00%  GC Thread#6      [kernel.kallsyms]                   [k] tick_sched_handle
     0.76%     0.03%  GC Thread#3      [kernel.kallsyms]                   [k] update_process_times
     0.76%     0.02%  GC Thread#11     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.75%     0.02%  GC Thread#5      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.75%     0.00%  GC Thread#18     [kernel.kallsyms]                   [k] __run_hrtimer
     0.75%     0.00%  GC Thread#17     [kernel.kallsyms]                   [k] tick_sched_handle
     0.75%     0.00%  GC Thread#22     [kernel.kallsyms]                   [k] tick_sched_timer
     0.75%     0.02%  GC Thread#16     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.75%     0.03%  GC Thread#8      [kernel.kallsyms]                   [k] update_process_times
     0.75%     0.02%  Executor task l  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.75%     0.02%  swapper          [kernel.kallsyms]                   [k] _nohz_idle_balance.constprop.0.isra.0
     0.75%     0.00%  GC Thread#13     [kernel.kallsyms]                   [k] tick_sched_handle
     0.75%     0.03%  GC Thread#6      [kernel.kallsyms]                   [k] update_process_times
     0.75%     0.02%  GC Thread#19     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.75%     0.00%  GC Thread#7      [kernel.kallsyms]                   [k] __run_hrtimer
     0.74%     0.02%  GC Thread#12     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.74%     0.07%  Executor task l  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.74%     0.03%  GC Thread#17     [kernel.kallsyms]                   [k] update_process_times
     0.74%     0.00%  GC Thread#15     [kernel.kallsyms]                   [k] tick_sched_timer
     0.74%     0.03%  GC Thread#13     [kernel.kallsyms]                   [k] update_process_times
     0.74%     0.00%  GC Thread#11     [kernel.kallsyms]                   [k] __run_hrtimer
     0.74%     0.00%  GC Thread#0      [kernel.kallsyms]                   [k] tick_sched_timer
     0.73%     0.00%  GC Thread#9      [kernel.kallsyms]                   [k] tick_sched_handle
     0.73%     0.00%  GC Thread#5      [kernel.kallsyms]                   [k] __run_hrtimer
     0.73%     0.02%  GC Thread#21     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.73%     0.02%  GC Thread#4      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.73%     0.00%  GC Thread#19     [kernel.kallsyms]                   [k] __run_hrtimer
     0.73%     0.00%  GC Thread#16     [kernel.kallsyms]                   [k] __run_hrtimer
     0.73%     0.00%  GC Thread#1      [kernel.kallsyms]                   [k] tick_sched_timer
     0.73%     0.73%  Executor task l  [kernel.kallsyms]                   [k] check_cpu_stall
     0.72%     0.00%  GC Thread#14     [kernel.kallsyms]                   [k] tick_sched_handle
     0.72%     0.03%  GC Thread#9      [kernel.kallsyms]                   [k] update_process_times
     0.72%     0.00%  GC Thread#18     [kernel.kallsyms]                   [k] tick_sched_timer
     0.72%     0.00%  GC Thread#12     [kernel.kallsyms]                   [k] __run_hrtimer
     0.72%     0.00%  GC Thread#7      [kernel.kallsyms]                   [k] tick_sched_timer
     0.71%     0.03%  GC Thread#14     [kernel.kallsyms]                   [k] update_process_times
     0.71%     0.05%  Executor task l  [kernel.kallsyms]                   [k] link_path_walk.part.0
     0.71%     0.00%  GC Thread#21     [kernel.kallsyms]                   [k] __run_hrtimer
     0.71%     0.00%  GC Thread#22     [kernel.kallsyms]                   [k] tick_sched_handle
     0.71%     0.00%  GC Thread#4      [kernel.kallsyms]                   [k] __run_hrtimer
     0.71%     0.00%  GC Thread#11     [kernel.kallsyms]                   [k] tick_sched_timer
     0.71%     0.00%  GC Thread#5      [kernel.kallsyms]                   [k] tick_sched_timer
     0.70%     0.03%  GC Thread#22     [kernel.kallsyms]                   [k] update_process_times
     0.70%     0.00%  GC Thread#19     [kernel.kallsyms]                   [k] tick_sched_timer
     0.70%     0.00%  GC Thread#16     [kernel.kallsyms]                   [k] tick_sched_timer
     0.70%     0.70%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_active
     0.70%     0.00%  GC Thread#15     [kernel.kallsyms]                   [k] tick_sched_handle
     0.70%     0.00%  GC Thread#0      [kernel.kallsyms]                   [k] tick_sched_handle
     0.69%     0.00%  GC Thread#1      [kernel.kallsyms]                   [k] tick_sched_handle
     0.69%     0.00%  GC Thread#12     [kernel.kallsyms]                   [k] tick_sched_timer
     0.69%     0.04%  Executor task l  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.69%     0.03%  GC Thread#15     [kernel.kallsyms]                   [k] update_process_times
     0.69%     0.02%  GC Thread#0      [kernel.kallsyms]                   [k] update_process_times
     0.69%     0.02%  GC Thread#1      [kernel.kallsyms]                   [k] update_process_times
     0.69%     0.00%  GC Thread#4      [kernel.kallsyms]                   [k] tick_sched_timer
     0.69%     0.00%  GC Thread#18     [kernel.kallsyms]                   [k] tick_sched_handle
     0.68%     0.00%  GC Thread#21     [kernel.kallsyms]                   [k] tick_sched_timer
     0.68%     0.02%  GC Thread#18     [kernel.kallsyms]                   [k] update_process_times
     0.67%     0.00%  GC Thread#7      [kernel.kallsyms]                   [k] tick_sched_handle
     0.67%     0.00%  GC Thread#5      [kernel.kallsyms]                   [k] tick_sched_handle
     0.67%     0.00%  GC Thread#19     [kernel.kallsyms]                   [k] tick_sched_handle
     0.67%     0.00%  GC Thread#11     [kernel.kallsyms]                   [k] tick_sched_handle
     0.66%     0.02%  GC Thread#7      [kernel.kallsyms]                   [k] update_process_times
     0.66%     0.00%  GC Thread#16     [kernel.kallsyms]                   [k] tick_sched_handle
     0.66%     0.02%  GC Thread#5      [kernel.kallsyms]                   [k] update_process_times
     0.66%     0.02%  GC Thread#19     [kernel.kallsyms]                   [k] update_process_times
     0.66%     0.02%  GC Thread#11     [kernel.kallsyms]                   [k] update_process_times
     0.66%     0.03%  GC Thread#16     [kernel.kallsyms]                   [k] update_process_times
     0.65%     0.00%  GC Thread#12     [kernel.kallsyms]                   [k] tick_sched_handle
     0.64%     0.00%  GC Thread#21     [kernel.kallsyms]                   [k] tick_sched_handle
     0.64%     0.64%  Executor task l  [kernel.kallsyms]                   [k] __const_udelay
     0.64%     0.03%  GC Thread#12     [kernel.kallsyms]                   [k] update_process_times
     0.64%     0.00%  GC Thread#4      [kernel.kallsyms]                   [k] tick_sched_handle
     0.64%     0.02%  GC Thread#21     [kernel.kallsyms]                   [k] update_process_times
     0.64%     0.02%  GC Thread#4      [kernel.kallsyms]                   [k] update_process_times
     0.63%     0.41%  Executor task l  [kernel.kallsyms]                   [k] irqtime_account_irq
     0.62%     0.04%  Executor task l  [kernel.kallsyms]                   [k] clockevents_program_event
