# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 81K of event 'cycles'
# Event count (approx.): 6486313969415
#
# Children      Self  Command          Shared Object      Symbol                                           
# ........  ........  ...............  .................  .................................................
#
     0.56%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] wb_workfn
     0.56%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] wb_writeback
     0.56%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] worker_thread
     0.56%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.55%     0.21%  postgres         [kernel.kallsyms]  [k] migrate_pages
     0.55%     0.00%  postgres         [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.55%     0.01%  kworker/u97:1-w  [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.55%     0.00%  postgres         [kernel.kallsyms]  [k] nvme_irq
     0.54%     0.02%  postgres         [kernel.kallsyms]  [k] nvme_process_cq
     0.54%     0.00%  postgres         [kernel.kallsyms]  [k] sock_sendmsg
     0.54%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_sync_file
     0.53%     0.00%  postgres         [kernel.kallsyms]  [k] file_write_and_wait_range
     0.52%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     0.52%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     0.52%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     0.52%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     0.52%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     0.52%     0.00%  postgres         [kernel.kallsyms]  [k] nvme_pci_complete_rq
     0.52%     0.01%  postgres         [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.52%     0.18%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.51%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_da_write_end
     0.51%     0.02%  postgres         [kernel.kallsyms]  [k] __wake_up_common
     0.50%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_fdatawrite_wbc
     0.50%     0.00%  postgres         [kernel.kallsyms]  [k] do_writepages
     0.50%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_writepages
     0.49%     0.02%  postgres         [kernel.kallsyms]  [k] wait_on_page_bit_common
     0.49%     0.04%  postgres         [kernel.kallsyms]  [k] generic_write_end
     0.48%     0.00%  postgres         [kernel.kallsyms]  [k] nvme_complete_rq
     0.48%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     0.48%     0.04%  postgres         [kernel.kallsyms]  [k] newidle_balance
     0.48%     0.00%  postgres         [kernel.kallsyms]  [k] blk_mq_end_request
     0.46%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_fdatasync
     0.46%     0.01%  postgres         [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.46%     0.14%  postgres         [kernel.kallsyms]  [k] enqueue_entity
     0.45%     0.43%  postgres         [kernel.kallsyms]  [k] psi_group_change
     0.45%     0.00%  postgres         [kernel.kallsyms]  [k] io_schedule
     0.45%     0.00%  postgres         [kernel.kallsyms]  [k] task_work_run
     0.45%     0.03%  postgres         [kernel.kallsyms]  [k] task_numa_fault
     0.44%     0.27%  postgres         [kernel.kallsyms]  [k] rmqueue_bulk
     0.44%     0.01%  postgres         [kernel.kallsyms]  [k] blk_update_request
     0.44%     0.05%  postgres         [kernel.kallsyms]  [k] get_futex_key
     0.44%     0.00%  postgres         [kernel.kallsyms]  [k] do_filp_open
     0.43%     0.01%  postgres         [kernel.kallsyms]  [k] path_openat
     0.43%     0.03%  kworker/u97:1-w  [kernel.kallsyms]  [k] mpage_process_page_bufs
     0.42%     0.00%  postgres         [kernel.kallsyms]  [k] bio_endio
     0.42%     0.23%  postgres         [kernel.kallsyms]  [k] __activate_page
     0.42%     0.40%  postgres         [kernel.kallsyms]  [k] free_swap_cache
     0.41%     0.01%  postgres         [kernel.kallsyms]  [k] task_numa_migrate.isra.0
     0.40%     0.37%  postgres         [kernel.kallsyms]  [k] next_uptodate_page
     0.40%     0.37%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.40%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] mpage_submit_page
     0.39%     0.17%  postgres         [kernel.kallsyms]  [k] update_curr
     0.39%     0.01%  postgres         [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.39%     0.05%  postgres         [kernel.kallsyms]  [k] __block_commit_write.constprop.0.isra.0
     0.39%     0.02%  postgres         [kernel.kallsyms]  [k] __mod_lruvec_state
     0.39%     0.36%  postgres         [kernel.kallsyms]  [k] xas_load
     0.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] page_referenced
     0.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] rmap_walk
     0.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_active_list
     0.38%     0.04%  postgres         [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.38%     0.02%  kswapd1          [kernel.kallsyms]  [k] __remove_mapping
     0.38%     0.01%  postgres         [kernel.kallsyms]  [k] hrtimer_interrupt
     0.38%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_sendto
     0.38%     0.00%  postgres         [kernel.kallsyms]  [k] get_user_pages_fast
     0.37%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_poll
     0.37%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sys_sendto
