# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3285379816649
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ................................................  ...............................................................................................................................................................................................................
#
     0.33%     0.00%  kworker/u64:38-  [kernel.kallsyms]                                 [k] process_one_work
     0.32%     0.18%  Executor task l  [kernel.kallsyms]                                 [k] start_this_handle
     0.32%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] exit_to_user_mode_loop
     0.31%     0.08%  Executor task l  [kernel.kallsyms]                                 [k] enqueue_hrtimer
     0.31%     0.31%  Executor task l  [kernel.kallsyms]                                 [k] irqtime_account_process_tick
     0.31%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] __ext4_journal_stop
     0.30%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] ext4_get_inode_loc
     0.30%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] mark_buffer_dirty
     0.30%     0.13%  Executor task l  [kernel.kallsyms]                                 [k] xas_create
     0.30%     0.30%  Executor task l  [kernel.kallsyms]                                 [k] irq_work_tick
     0.30%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] wb_check_start_all
     0.30%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] __ext4_get_inode_loc
     0.29%     0.29%  Executor task l  [kernel.kallsyms]                                 [k] arch_scale_freq_tick
     0.29%     0.17%  Executor task l  [kernel.kallsyms]                                 [k] balance_dirty_pages_ratelimited
     0.29%     0.16%  Executor task l  [kernel.kallsyms]                                 [k] try_charge_memcg
     0.29%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] syscall_exit_work
     0.29%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] ext4_inode_csum_set
     0.28%     0.28%  Executor task l  [kernel.kallsyms]                                 [k] x86_pmu_disable
     0.28%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] jbd2_journal_stop
     0.28%     0.28%  Executor task l  [kernel.kallsyms]                                 [k] irq_enter_rcu
     0.27%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] schedule
     0.27%     0.21%  kswapd0          [kernel.kallsyms]                                 [k] __free_one_page
     0.27%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] error_entry
     0.26%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] __schedule
     0.26%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] sched_clock_cpu
     0.26%     0.26%  Executor task l  [kernel.kallsyms]                                 [k] rb_next
     0.26%     0.02%  swapper          [kernel.kallsyms]                                 [k] asm_sysvec_call_function_single
     0.26%     0.25%  Executor task l  [kernel.kallsyms]                                 [k] cgroup_rstat_updated
     0.26%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] ext4_inode_csum
     0.25%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] __set_page_dirty
     0.25%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] do_open
     0.25%     0.22%  kswapd0          [kernel.kallsyms]                                 [k] xas_create
     0.25%     0.25%  Executor task l  [kernel.kallsyms]                                 [k] __const_udelay
     0.24%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] mpage_submit_page
     0.24%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] workingset_refault
     0.24%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] __mod_lruvec_state
     0.24%     0.00%  swapper          [kernel.kallsyms]                                 [k] sysvec_call_function_single
     0.24%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] load_balance
     0.23%     0.19%  Executor task l  [kernel.kallsyms]                                 [k] timerqueue_add
     0.23%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __fdget_pos
     0.23%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] try_to_free_buffers
     0.23%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] nvme_pci_complete_rq
     0.23%     0.11%  Executor task l  [kernel.kallsyms]                                 [k] alloc_pages
     0.22%     0.14%  Executor task l  [kernel.kallsyms]                                 [k] __audit_syscall_exit
     0.22%     0.00%  kworker/u64:38-  [kernel.kallsyms]                                 [k] ext4_do_flush_completed_IO.isra.0
     0.22%     0.00%  kworker/u64:38-  [kernel.kallsyms]                                 [k] ext4_release_io_end
     0.22%     0.07%  kworker/u64:38-  [kernel.kallsyms]                                 [k] ext4_finish_bio
     0.22%     0.13%  Executor task l  [kernel.kallsyms]                                 [k] ext4_es_lookup_extent
     0.22%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] lookup_fast
     0.21%     0.00%  C2 CompilerThre  [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.21%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ___slab_alloc
     0.21%     0.01%  swapper          [kernel.kallsyms]                                 [k] __irq_exit_rcu
     0.21%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] __fget_light
     0.21%     0.21%  Executor task l  [kernel.kallsyms]                                 [k] __mod_node_page_state
