# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 13352864578870
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.45%     0.00%  kworker/u98:1-w  [kernel.kallsyms]  [k] __writeback_single_inode
     0.45%     0.00%  kworker/u98:1-w  [kernel.kallsyms]  [k] do_writepages
     0.45%     0.03%  kworker/u98:1-w  [kernel.kallsyms]  [k] ext4_writepages
     0.44%     0.01%  java             [kernel.kallsyms]  [k] migrate_page_copy
     0.44%     0.42%  LocalJobRunner   [kernel.kallsyms]  [k] __ptep_modify_prot_start
     0.44%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_block_write_begin
     0.44%     0.01%  java             [kernel.kallsyms]  [k] schedule
     0.43%     0.07%  java             [kernel.kallsyms]  [k] migrate_page_states
     0.43%     0.35%  LocalJobRunner   [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.43%     0.01%  java             [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.42%     0.08%  java             [kernel.kallsyms]  [k] __schedule
     0.42%     0.09%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.42%     0.01%  java             [kernel.kallsyms]  [k] hrtimer_interrupt
     0.42%     0.08%  java             [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.41%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_get_pages
     0.41%     0.03%  kswapd1          [kernel.kallsyms]  [k] __remove_mapping
     0.40%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] worker_thread
     0.40%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] kthread
     0.40%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] ret_from_fork
     0.40%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.40%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] process_one_work
     0.40%     0.39%  java             [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.40%     0.40%  localfetcher#1   [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.40%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] wb_workfn
     0.40%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] wb_writeback
     0.40%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.40%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.40%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] __writeback_single_inode
     0.40%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] do_writepages
     0.40%     0.03%  kworker/u97:10-  [kernel.kallsyms]  [k] ext4_writepages
     0.40%     0.03%  java             [kernel.kallsyms]  [k] lru_cache_add
     0.40%     0.03%  kworker/u96:0-e  [kernel.kallsyms]  [k] end_page_writeback
     0.39%     0.32%  LocalJobRunner   [kernel.kallsyms]  [k] rmqueue_bulk
     0.39%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] __alloc_pages
     0.39%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     0.39%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     0.39%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     0.39%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     0.39%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] alloc_pages
     0.39%     0.19%  java             [kernel.kallsyms]  [k] numa_migrate_prep
     0.38%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     0.38%     0.01%  VM Thread        [kernel.kallsyms]  [k] asm_exc_page_fault
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     0.36%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] exc_page_fault
     0.36%     0.01%  java             [kernel.kallsyms]  [k] irqentry_exit
     0.36%     0.09%  java             [kernel.kallsyms]  [k] __pagevec_lru_add
     0.36%     0.01%  java             [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.35%     0.04%  java             [kernel.kallsyms]  [k] mem_cgroup_migrate
     0.35%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.35%     0.01%  java             [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.35%     0.16%  java             [kernel.kallsyms]  [k] charge_memcg
     0.35%     0.03%  java             [kernel.kallsyms]  [k] lock_page_lruvec_irq
     0.35%     0.06%  InMemoryMerger   [kernel.kallsyms]  [k] get_page_from_freelist
     0.35%     0.08%  kworker/u96:0-e  [kernel.kallsyms]  [k] test_clear_page_writeback
     0.34%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_user_addr_fault
     0.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_end
     0.33%     0.03%  java             [kernel.kallsyms]  [k] remove_migration_pte
     0.33%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.33%     0.00%  java             [kernel.kallsyms]  [k] __mem_cgroup_uncharge
     0.32%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_write_end
     0.32%     0.00%  VM Thread        [kernel.kallsyms]  [k] exc_page_fault
     0.31%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] exc_page_fault
     0.31%     0.00%  java             [kernel.kallsyms]  [k] tick_sched_timer
