# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 246K of event 'cycles'
# Event count (approx.): 6610041225293
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.44%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] task_work_run
     0.44%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] task_numa_work
     0.44%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] change_prot_numa
     0.43%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] lru_cache_add
     0.42%     0.41%  LocalJobRunner   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.42%     0.41%  InMemoryMerger   [kernel.kallsyms]   [k] change_protection
     0.41%     0.31%  localfetcher#1   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.41%     0.02%  InMemoryMerger   [kernel.kallsyms]   [k] jbd2__journal_start
     0.41%     0.41%  java             [kernel.kallsyms]   [k] clear_page_erms
     0.41%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] irqentry_exit
     0.41%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] irqentry_exit_to_user_mode
     0.41%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kthread
     0.41%     0.00%  kcompactd1       [kernel.kallsyms]   [k] ret_from_fork
     0.41%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kcompactd
     0.41%     0.00%  kcompactd1       [kernel.kallsyms]   [k] proactive_compact_node
     0.41%     0.00%  kcompactd1       [kernel.kallsyms]   [k] compact_zone
     0.39%     0.01%  kcompactd1       [kernel.kallsyms]   [k] migrate_pages
     0.39%     0.11%  pool-4-thread-1  [kernel.kallsyms]   [k] __pagevec_lru_add
     0.38%     0.00%  java             [kernel.kallsyms]   [k] rmap_walk
     0.38%     0.13%  pool-4-thread-1  [kernel.kallsyms]   [k] __handle_mm_fault
     0.37%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] alloc_pages_vma
     0.37%     0.06%  pool-4-thread-1  [kernel.kallsyms]   [k] __block_commit_write.constprop.0.isra.0
     0.37%     0.00%  java             [kernel.kallsyms]   [k] __alloc_pages_slowpath.constprop.0
     0.37%     0.13%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_mark_iloc_dirty
     0.37%     0.36%  java             [kernel.kallsyms]   [k] sync_regs
     0.36%     0.04%  localfetcher#1   [kernel.kallsyms]   [k] __mem_cgroup_charge
     0.35%     0.03%  java             [kernel.kallsyms]   [k] rmap_walk_anon
     0.35%     0.00%  java             [kernel.kallsyms]   [k] move_to_new_page
     0.35%     0.00%  java             [kernel.kallsyms]   [k] migrate_page
     0.35%     0.35%  pool-4-thread-1  [kernel.kallsyms]   [k] __get_user_nocheck_1
     0.35%     0.00%  java             [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     0.35%     0.07%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_get_block_prep
     0.34%     0.00%  java             [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
