# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 4274814276032
#
# Children      Self  Command          Shared Object                      Symbol                                                                                                                                                                                                         
# ........  ........  ...............  .................................  ...............................................................................................................................................................................................................
#
     1.89%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] shrink_node_memcgs
     1.89%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] shrink_zones
     1.89%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] shrink_lruvec
     1.89%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] shrink_inactive_list
     1.89%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] shrink_inactive_list
     1.89%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] shrink_inactive_list
     1.89%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] shrink_lruvec
     1.89%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] shrink_lruvec
     1.89%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] do_try_to_free_pages
     1.89%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] shrink_node
     1.89%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] shrink_node_memcgs
     1.89%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] shrink_zones
     1.89%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] try_to_free_pages
     1.88%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] shrink_inactive_list
     1.88%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] shrink_inactive_list
     1.88%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] __alloc_pages_slowpath.constprop.0
     1.88%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] shrink_lruvec
     1.88%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] shrink_inactive_list
     1.84%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] do_try_to_free_pages
     1.84%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] shrink_node
     1.84%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] shrink_zones
     1.84%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] try_to_free_pages
